taxon,glottocode,xd_ids,soc_ids
J_Hun,hund1239,xd133,Ae15
J_Hav,havu1238,,
J_Shi,shii1238,xd131,Ae13
J_Ful,fuli1240,,
J_Vir,,,
J_Tem,temb1270,,
J_Kig,,,
J_Nig,,,
J_Rer,,,
J_Rwa,,,
J_Run,rund1242,xd184,Ae8
J_Vin,vinz1238,,
K_Hol,holu1245,,
K_Cio,chok1245,xd36,Ac12
K_Luv,luva1239,xd35,Ac11
K_Lwe,luva1239,xd35,Ac11
K_Mbu,mbun1249,,
K_Gan,,,
K_Sal,sala1268,,
K_Nde,,,
K_Lun,lund1266,xd72,Ac6
K_Ruu,ruun1238,,
K_Luy,luya1241,,
K_Kwa,kwan1273,,
K_Dci,diri1252,,
K_Mb4,mbal1257,xd39,Ac15
K_Phe,phen1239,xd44,Ac2
K_Kwe,kwes1244,,
L_Bwi,bwil1245,,
L_Keb,,,
L_Yaz,hemb1242,,
L_Kei,kete1252,,
L_Mba,,,
L_Lw1,lwal1238,,
L_Son,song1303,xd136,Ae18
L_Ba2,bang1350,,
L_LuK,luba1249,xd134,Ae16
L_Kan,kany1247,,
L_LuS,luba1250,"xd182, xd61","Ac35, Ae6"
L_He1,hemb1242,,
L_He2,hemb1242,,
L_San,sang1331,xd137,Ae19
L_Kao,kaon1241,xd58,Ac32
L_Nko,nkoy1244,,
M_Mam,mamb1296,xd70,Ac43
M_Kon,mako1251,xd68,Ac41
M_Ny1,nyak1260,,
M_Tem,,,
M_Ta1,shil1264,,
M_Bem,bemb1257,,
M_Aus,aush1241,,
M_Ngu,,,
M_Lal,lala1264,xd59,Ac33
M_Lam,lamb1271,xd71,Ac5
M_Len,lenj1248,,
M_Sol,soli1239,,
M_To2,tong1318,xd56,Ac30
N_Mpo,mpot1240,,
N_Tu2,tumb1250,xd62,Ac36
N_Suk,,,
N_Lam,lamb1272,,
N_Nys,mwer1247,xd65,Ac39
N_Nyj,nyan1308,,
N_Cew,,,
N_Sng,nsen1242,,
N_Kun,kund1255,xd63,Ac37
N_Sen,nucl1396,xd67,Ac40
P_Ya1,yaoo1241,xd73,Ac7
P_Ma4,makh1264,xd69,Ac42
P_Lom,lomw1241,,
R_Um1,umbu1257,xd28,"Ab5, SCCS5"
R_Nku,,,
R_Kwa,kuan1247,,
R_Ndo,ndon1254,xd20,Ab19
R_Her,here1253,xd10,Ab1
S_Mba,,,
S_Sho,shon1251,xd19,Ab18
S_Kor,kore1281,,
S_Zez,zezu1238,,
S_Man,many1258,,
S_Kar,kara1480,,
S_Nda,ndau1241,xd18,Ab17
S_Kal,kala1384,,
S_Ven,vend1245,xd29,Ab6
S_Twn,tswa1253,xd14,Ab13
S_Kha,kgal1244,,
S_Sot,sout2807,xd31,Ab8
S_Loz,lozi1239,xd26,"Ab3, SCCS4"
S_Xho,xhos1239,,
S_Zul,zulu1248,xd13,Ab12
S_Swa,swat1243,xd21,Ab2
S_Nde,nort2795,xd32,Ab9
S_Ngo,ngon1269,xd75,Ac9
S_Tsw,tswa1255,,
S_Nku,,,
S_Tso,tson1249,xd27,"Ab4, SCCS3"
S_Ron,rong1268,,
S_Kon,kond1296,,
S_Lul,lule1255,,
Eja,ejag1239,xd195,Af18
