id,related
Nd43,Binford: White Knife Shoshoni [B216]; WNAI: Battle Mountain Shoshone [WNAI123]
Nd44,
Ad48,
Nd45,Binford: Bohogue (Northern Shoshoni) [B229]; WNAI: Bohogue Shoshone [WNAI125]
Nd47,Binford: Sheep Eater Shoshoni [B232]
Nd46,Binford: Salmon Eater Shoshoni [B207]; WNAI: Agaiduka Shoshone [WNAI126]
Nd48,Binford: Gosiute Shoshoni [B214]; WNAI: Gosiute Shoshone [WNAI124]
Nd49,Binford: Antarianunts Southern Paiute [B201]
Nd5,Binford: Hukundika Shoshoni [B213]; WNAI: Hukundika Shoshone [WNAI127]
Nd50,
Nd51,
Nd52,WNAI: Shivwits Southern Paiute [WNAI132]
Nd53,Binford: Kaibab Southern Paiute [B204]; WNAI: Kaibab Southern Paiute [WNAI133]
Nd55,Binford: Kaibab Southern Paiute [B204]; WNAI: Kaibab Southern Paiute [WNAI133]
Ad49,
Nd54,WNAI: Chemehuevi Southern Paiute [WNAI135]
Nd56,WNAI: San Juan Southern Paiute [WNAI134]
Nd57,
Nd58,Binford: Uintah Ute [B230]; WNAI: Uintah Ute [WNAI129]
Nd59,
Nd6,Binford: Washo [B225]; WNAI: Washo [WNAI119]
Nd60,
Nd61,
Nd62,Binford: Uncompahgre Ute [B234]; WNAI: Uncompaghre Ute [WNAI130]
Ab11,
Ad5,
Nd63,Binford: Bannock [B252]
Nd64,Binford: Wind River Shoshoni [B227]; WNAI: Wind River Shoshone [WNAI128]
Nd65,Binford: Walapai [B198]; WNAI: Walapai [WNAI137]
Nd66,Binford: Yavapai [B196]; WNAI: Northeast Yavapai [WNAI138]; WNAI: Southeast Yavapai [WNAI139]
Nd67,
Nd7,Binford: Kutenai [B250]; SCCS: Kutenai [SCCS139]; WNAI: Kutenai [WNAI106]
Nd8,Binford: Chilcotin [B348]; WNAI: Chilcotin [WNAI95]
Nd9,Binford: Lillooet [B276]; WNAI: Upper Lillooet [WNAI97]
Ne1,Binford: Gros-Ventre [B253]; SCCS: Gros Ventre [SCCS140]
Ne10,
Ad50,
Ne11,Binford: Assiniboine [B257]
Ne12,Binford: Blackfoot [B256]
Ne13,Binford: Blood [B259]
Ne14,Binford: Bungi (Plains Ojibwa) [B254]
Ne15,SCCS: Hidatsa [SCCS141]
Ne16,Binford: Karankawa [B193]
Ne17,Binford: Kiowa [B243]
Ne18,Binford: Piegan [B255]
Ne19,Binford: Plains Cree [B258]
Ne2,Binford: Kiowa Apache [B244]
Ad51,
Ne20,
Ne21,Binford: Coahuilenos [B194]
Ne3,Binford: Comanche [B241]; SCCS: Comanche [SCCS147]
Ne4,Binford: Crow [B248]
Ne5,Binford: Cheyenne [B245]
Ne6,
Ne7,Binford: Sarsi [B260]
