Taxon,ISOCode,GlottoCode
Matukar,mjk,matu1261
Megiar,tbc,taki1248
MelanauMukah,mel,cent2101
MelayuBrunei_D,kxd,brun1242
Merei,lmb,mere1242
Modang,mxd,moda1244
Mokilese,mkj,moki1238
Mor,mhz,morm1235
Mori,xmz,mori1268
Mouk,mwh,mouk1239
MunaKatobuTongkuno_D,mnb,muna1247
MurnatenAlune,alp,alun1238
Mussau,emi,muss1246
Mwotlap,mlv,motl1237
Nalik,nal,nali1244
Namakir,nmk,nama1268
Naman,lzl,litz1237
Nanggu,ngr,nang1262
Nati,,
Nauna,ncn,naun1237
NehanHape,nsn,neha1247
Nelemwa,nee,kuma1276
Nembao,utp,amba1266
Nengone,nen,neng1238
Nese,,
Neveei,vnm,vinm1237
Ngadha,nxg,ngad1261
NgaiborSAru,,
Nggela,nlg,gela1263
Nguna,llp,nort2836
Nias,nia,nias1242
Nila,nil,nila1244
Nissan,nsn,neha1247
NorthBabar,bcd,nort2860
Nukuoro,nkr,nuku1260
NumbamiSiboma,sij,numb1247
Numfor,bhw,biak1248
Ogan,ogn,
OldChinese,,
Orkon,,
PaameseSouth,pma,paam1238
Pangasinan,pag,pang1290
Patpatar,gfk,patp1243
Paulohi,phl,phal1254
Pazeh,uun,kulo1237
Perai,wet,pera1257
PeteraraMaewo,mwa,mwat1237
Pondok,,
Popalia,bhq,tuka1249
PuloAnnan,sov,sons1242
Puluwatese,pul,
Raga,lml,hano1246
RejangRejang,rej,reja1240
Ririo,rri,riri1237
Roviana,rug,rovi1238
Rukai,dru,ruka1240
Rurutuan,aut,aust1304
Saaroa,sxr,saar1237
Saisiat,xsy,sais1237
SakaoPortOlry,sku,saka1289
Saliba,sbe,sali1295
SamalSiasi_D,sml,cent2092
SangilSaraganiIslands,snl,sang1337
Sangir,sxn,sang1336
SangirTabukang_D,sxn,sang1336
SantaAna,stn,owaa1237
SaranganiBlaan,bps,sara1326
Sasak,sas,sasa1249
Satawalese,stw,sata1237
Savu,hvn,sabu1255
Sediq,trv,taro1264
Seimat,ssg,seim1238
Sekar,skz,seka1247
Sengseng,ssz,seng1281
Serili,sve,seri1255
Serua,srw,seru1245
Siar,sjr,siar1238
