id,related
B70,EA:Dorobo (Aa2)
B65,EA:Mbuti (Aa5);SCCS:Mbuti (SCCS13)
B25,EA:Gilyak (Ec1);SCCS:Gilyak (SCCS119)
B27,EA:Nganasan (ec12)
B28,EA:Ungazikmit (ec14)
B26,EA:Yukaghir (Ec6);SCCS:Yukaghir (SCCS120)
B22,EA:Ainu (Ec7);SCCS:Ainu (SCCS118)
B24,EA:Ket (Ec8)
B15,EA:Chenchu (Eg1)
B8,EA:Andamese (Eh1);SCCS:Andamanese (SCCS79)
B10,EA:Vedda (Eh4);SCCS:Vedda (SCCS80)
B73,EA:Naron (Aa7)
B9,EA:Semang (Ej3);SCCS:Semang (SCCS77)
B3,EA:Kubu (Ib8)
B1,
B124,EA:Aranda (Id1);SCCS:Aranda (SCCS91);CHIRILA:Eastern and Central Arrernte (1048)
B109,EA:Walbiri (Id10);CHIRILA:Warlpiri (192)
B87,EA:Gidjingali (Id11);CHIRILA:Burarra (1143)
B94,EA:Yir Yoront (Id12);CHIRILA:Yir-Yoront (27)
B97,EA:Groote Eylandt (Id13);CHIRILA:Anindilyakwa (1229)
B88,EA:Murngin (Id2);CHIRILA:Dhuwal (1093)
B95,EA:Tiwi (Id3);SCCS:Tiwi (SCCS90);CHIRILA:Tiwi (300)
B121,EA:Dieri (Id4);CHIRILA:Diyari (1088)
B106,EA:Kariera (Id5);CHIRILA:Kariyarra (855)
B90,EA:Wikmunkan (Id6);CHIRILA:Wik-Mungkan (138)
B137,EA:Tasmanians (Id8)
B130,EA:Wongaibon (Id9);CHIRILA:Ngiyambaa (520)
B79,EA:Xam (Aa8)
B69,EA:Hatsa Kindiga (Aa9);SCCS:Hadza (SCCS9)
B2,
B4,
B5,
B6,
B7,
B11,
B12,
B13,
B14,
B16,
B17,
B18,
B19,
B20,
B21,
B23,
B37,
B40,
B44,
B46,
B47,
B49,
B52,
B60,
B61,
B62,
B63,
B64,
B66,
B67,
B68,
B71,
B74,
B75,
B76,
B77,
B78,
B82,CHIRILA:Kala Lagaw Ya (96)
B83,CHIRILA:Larrakiya (759)
B84,CHIRILA:Gunwinygu (936)
B85,CHIRILA:Djinba (1066)
B86,CHIRILA:Burarra (1143)
B89,CHIRILA:Wunambal (81)
B91,CHIRILA:Gagudju (1458)
B92,CHIRILA:Wubuy (94)
B93,CHIRILA:Umpila (283)
B96,CHIRILA:Kuku Yalanji (802)
B98,CHIRILA:Flinders Island (1044)
B99,CHIRILA:Malak Malak (738)
B100,CHIRILA:Worrorra (99)
B101,CHIRILA:Kija (841)
B102,CHIRILA:Lardil (760)
B103,CHIRILA:Kayardild (846)
B104,CHIRILA:Karajarri (860)
B105,CHIRILA:Dyirbal (1050)
B107,CHIRILA:Warungu (179)
B108,CHIRILA:Jaru (888)
B110,CHIRILA:Dyirbal (1050)
B111,CHIRILA:Manjiljarra (714)
B112,CHIRILA:Warnman (188)
B113,CHIRILA:Pintupi (419)
B114,CHIRILA:Turubul (291)
B115,CHIRILA:Duungidjawu (1051)
B116,CHIRILA:Karuwali (849)
B117,CHIRILA:Alyawarr (1239)
B118,CHIRILA:Ngaanyatjarra (577)
B119,CHIRILA:Bandjalang (1203)
B120,CHIRILA:Pitjantjatjara (413)
B122,CHIRILA:Lower Southern Aranda (750)
B123,CHIRILA:Yankunytjatjara (53)
B125,CHIRILA:Yuwaalaraay (5)
B126,CHIRILA:NA (413)
B127,CHIRILA:Wirangu (121)
B128,CHIRILA:Paakantyi (444)
B129,CHIRILA:Kaurna (847)
B131,CHIRILA:Yaraldi (50)
B132,CHIRILA:Ngatjumaya (529)
B133,CHIRILA:Tjapwurrung (297)
B134,CHIRILA:Boonwurrung (1164)
B135,CHIRILA:Kurnai (36)
B136,
B168,
B190,
B203,
B205,
B209,
B212,EA:Wadatkuht (Nd26)
B219,WNAI:San Joaquin Mono (Uto-Aztecan) (J71)
B223,
B215,EA:Spring Valley (Nd39);WNAI:Spring Valley Shoshone (J121)
B224,EA:Spring Valley (Nd39);WNAI:Spring Valley Shoshone (J121)
B272,
B293,WNAI:Gitksan Tsimshian (J6)
B294,
