taxon,glottocode,xd_ids,soc_ids
H41_Mbala,mbal1257,xd39,Ac15
H42_Hunganna,hung1278,,
JD53_Shi,shii1238,xd131,Ae13
JD62_Rundi,rund1242,xd184,Ae8
JD64_Shubi,shub1238,,
JD65_Hangaza,hang1260,,
JD66_Kiha,haaa1252,xd132,Ae14
JD67_Kivinza,vinz1238,,
JE11_Runyoro,nyor1246,xd87,Ad2
JE12_Rutooro,toor1238,xd118,Ad48
JE13_Runyankore,nyan1307,,
JE14_Rukiga,chig1238,,
JE15_Luganda,gand1255,xd124,"Ad7, SCCS12"
JE16_Lusoga,soga1242,xd116,Ad46
JE17_Gwere,gwer1238,,
JE21_Runyambo,nyam1277,,
JE22_Haya,haya1250,xd112,Ad42
JE23_Zinza,zinz1238,xd119,Ad49
JE24_Kerebe,kere1283,xd113,Ad43
JE25_Jita,jita1239,,
JE25_Kilegi,jita1239,,
JE25_Mkwaya,jita1239,,
JE31_Lumasaaba,masa1299,xd126,Ad9
JE31c_Bukusu,buku1249,xd111,Ad41
JE32_Luyia,saam1283,,
JE34_Samialugwe,saam1283,,
JE401_Ngoreme,ngur1263,,
JE402_Ikizu,ikiz1238,,
JE403_Suba,suba1238,,
JE404_Shasi,ikiz1238,,
JE41_Maragoli,logo1258,,
JE42_Gusii,gusi1247,xd79,Ad12
JE43_Kuria,kuri1259,,
JE43_Kuria_Mago,kuri1259,,
JE43_Kuria_Tari,kuri1259,,
JE44_Zanaki,zana1238,,
JE45_Nata,ikom1245,,
K11_Ciokwe,chok1245,xd36,Ac12
K14_Lwena,luva1239,xd35,Ac11
K15_Mbunda,mbun1249,,
K21_Lozi,lozi1239,xd26,"Ab3, SCCS4"
K31_Luyana,luya1241,,
K33_Kwangali,kwan1273,,
K332_Rumanyo,diri1252,,
Kom_Grassfields,komc1235,xd176,Ae54
Kulung_Jarawan,kulu1255,,
L11_Pende,phen1239,xd44,Ac2
L12b_Holu,holu1245,,
L13_Kwese,kwes1244,,
L221_Lwalwa,lwal1238,,
L23_Songe,song1303,xd136,Ae18
L31a_Luba-Kasai,luba1250,xd182,Ae6
L32_Kanyok,kany1247,,
L33_Luba-Shaba,luba1250,,
L34_Hemba,kaon1241,,
L35_Sanga,sang1331,xd137,Ae19
L41_Kaonde,kaon1241,xd58,Ac32
L51_Salampasu,sala1268,,
L52_Lunda,lund1266,xd72,Ac6
L53_Runda,ruun1238,,
L62_Nkoya,nkoy1244,,
M11_Pimbwe,pimb1238,xd89,Ad21
M12_Lungwa,rung1255,,
M13_Fipa,fipa1238,xd86,Ad19
M14_Rungu,mamb1296,,
M15_Mambwe,mamb1296,,
M21_Ndali,ndal1241,,
M21_Wanda,wand1264,,
M22_Namwanga,nyih1240,,
M23_Nyiha,nyih1240,,
M24_Malila,mali1279,,
M25_Safwa,safw1238,xd84,Ad17
M28_Lambya,lamb1272,,
M31_Nyakyusa,nyak1260,"xd123, xd83","Ad6, SCCS8, Ad16"
M41_Taabwa,shil1264,xd61,Ac35
M42_Bemba,bemb1257,"xd55, xd60","Ac3, SCCS7, Ac34"
M52_Lala,lala1264,xd59,Ac33
M54_Lamba,lamb1271,xd71,Ac5
M61_Lenje,lenj1248,,
M62_Soli,soli1239,,
M64_Tonga,tong1321,xd37,Ac13
Mbula_Jarawan,mbul1260,,
Moghamo_Grassfields,meta1238,xd181,Ae59
Mungaka_Grassfields,mung1266,xd170,Ae49
N11_Manda,mand1423,xd65,Ac39
N12_Ngoni,ngon1269,xd75,Ac9
N13_Matengo,mate1258,,
N14_Mpoto,mpot1240,,
N21_Tumbuka_Malawi,tumb1250,xd62,Ac36
N31_Chewa,nyan1308,"xd34, xd64","Ac10, Ac38"
N42_Kunda,kund1255,xd63,Ac37
Njen_Grassfields,njen1238,,
Oku_Grassfields,okuu1243,,
P11_Ndengeleko,nden1248,,
P12_Rufiji,rufi1234,,
P13_Matumbi,matu1259,,
P14_Ngindo,ngin1244,,
P15_Mbunga,mbun1248,,
P21_Yao,yaoo1241,xd73,Ac7
P22_Mwera,mwer1247,,
P23_Simakonde,mako1251,xd68,Ac41
P25_Mabia,mako1251,,
P31_Emakhua,makh1264,xd69,Ac42
P31G_Ikorovere,makh1261,,
R11_Umbundu,umbu1257,xd28,"Ab5, SCCS5"
R21_Kwanyama,kuan1247,,
R22_Ndonga,shon1251,,
R31_Herero,here1253,xd10,Ab1
S11_Shona,shon1251,xd19,Ab18
S16_Kalanga,here1253,,
S21_Venda,vend1245,xd29,Ab6
S31_Tswana,tswa1253,xd14,Ab13
S311_Shekgalagari,kgal1244,,
S41_Xhosa,xhos1239,"xd12, xd24, xd11","Ab11, Ab21b, Ab10"
S42_Zulu,zulu1248,xd13,Ab12
S44_Ndebele,nort2795,xd32,Ab9
S51_Tshwa,tswa1255,,
S53_Tsonga,tson1249,xd27,"Ab4, SCCS3"
Tiv_Tivoid,tivv1240,xd320,"Ah3, SCCS16"
Zaambo_Jarawan,mbul1260,,
