id,xd_id,pref_name_for_society,glottocode,ORIG_name_and_ID_in_this_dataset,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_link,origLat,origLong,Lat,Long,Comment,glottocode_comment
WNAI72,xd1122,Kings River Western Mono,mono1275,Kings River Mono (Uto-Aztecan) (J72),"Monachi, Western Mono, Monache, Kings River Mono (Uto-Aztecan)",NA,,,36.7,119,36.7,-119,Original,
WNAI73,xd1129,Northern Foothills Yokuts,nort2937,Chuckchansi Yokuts (J73),"Northern Foothill Yokuts, Chuckchansi Yokuts",NA,Yokuts (NS29),http://ehrafworldcultures.yale.edu/collection?owc=NS29,37.2,119.8,37.2,-119.8,Original,
WNAI74,xd1436,Kings River Yokuts,sout2955,Kings River Yokuts (J74),Central Foothill Yokuts,NA,Yokuts (NS29),http://ehrafworldcultures.yale.edu/collection?owc=NS29,36.8,119.4,36.8,-119.4,Original,
WNAI75,xd1124,Wukchumni,tule1245,Kaweah Yokuts (J75),"Kawi'a, Kaweah, Kaweah Yokuts, Central Foothills Yokuts",NA,Yokuts (NS29),http://ehrafworldcultures.yale.edu/collection?owc=NS29,36.4,119.1,36.4,-119.1,Original,
WNAI76,xd1123,Southern Valley Yokuts (Lake),vall1251,Lake Yokuts (J76),"Lake Yokuts, Tachi Yokuts, Chunut Yokuts",NA,Yokuts (NS29),http://ehrafworldcultures.yale.edu/collection?owc=NS29,36.2,120,36.2,-120,Original,
WNAI77,xd1123,Southern Valley Yokuts (Yauelmani),vall1251,Yauelmani Yokuts (J77),"Yowlumne, Yawelmani, Southern Valley Yokuts",NA,Yokuts (NS29),http://ehrafworldcultures.yale.edu/collection?owc=NS29,35.3,118.8,35.3,-118.8,Original,
WNAI78,xd1118,Tübalulabal,tuba1278,Tubatulabal (J78),Tubatulabal,NA,Tubatulabal (NS22),http://ehrafworldcultures.yale.edu/collection?owc=NS22,36,118.2,36,-118.2,Original,
WNAI79,xd1126,Kawaiisu,kawa1283,Kawaiisu (J79),Kawaiisu Shoshoni,NA,,,35.5,118.5,35.5,-118.5,Original,
WNAI80,xd1125,Salinan,sali1253,Salinan (J80),,NA,,,35,120,35,-120,Original,
WNAI81,xd1128,Tongva,tong1329,Gabrielino (J81),"Gabrielo, Gabrielino, Gabrieleno",NA,,,34.8,118,34.8,-118,Original,
