taxon,glottocode,xd_ids,soc_ids
vagl1239,vagl1239,xd281,Ag43
vend1245,vend1245,xd29,Ab6
vute1244,vute1244,xd335,Ah8
wame1240,wame1240,xd296,Ag8
west2454,west2454,xd472,Cb22
west2458,west2458,xd337,Ai1
west2488,west2488,xd227,Af47
xesi1238,xesi1238,xd12,Ab11
yaka1269,yaka1269,xd45,Ac20
yans1239,yans1239,xd51,Ac26
yaoo1241,yaoo1241,xd73,Ac7
yekh1238,yekh1238,xd204,Af26
yela1238,yela1238,xd140,Ae21
yomb1244,yomb1244,xd74,Ac8
zand1248,zand1248,xd359,"Ai3, SCCS28"
zigu1242,zigu1242,xd96,Ad28
zinz1238,zinz1238,xd119,Ad49
zulu1248,zulu1248,xd13,Ab12
