92188	borong	warm	mcelhanon-1967	geriawok	warm	
91432	borong	dog	mcelhanon-1967	kasuk	dog	094.1f4d
91852	borong	to-wash	mcelhanon-1967	soŋgbaŋ-	(he) washes	094.1f36
90956	borong	to-die	mcelhanon-1967	komu-	(he) dies	094.1ef4
91824	borong	to-pull	mcelhanon-1967	oro-	(he) pulls	094.1e83
90970	borong	to-see	mcelhanon-1967	nii-	(he) sees me	094.1ee1
92328	borong	to-play	mcelhanon-1967	aoŋgolok	(they) play	094.1f5a
90575	dedua	to-say	mcelhanon-1967	de-	(he) says	094.1e90
91961	dedua	lake	mcelhanon-1967	dzokoŋ	lake	094.1e71
90981	dedua	to-sleep	mcelhanon-1967	fe-	(he) sleeps	094.1f39
92157	dedua	to-spit	mcelhanon-1967	sofok-	(he) spits	094.1e9f
90715	dedua	to-stand	mcelhanon-1967	nan-	(he) stands	094.1df6
91583	dedua	eye	mcelhanon-1967	kiwa	(its) eye	094.1eb8
90995	dedua	to-eat	mcelhanon-1967	ne-	(he) eats	094.207f
92283	dedua	rope	mcelhanon-1967	witik	rope	
91009	dedua	to-bite	mcelhanon-1967	ki-	(he) bites it	094.1e5e
91765	dedua	to-hold	mcelhanon-1967	me-	(he) holds	094.1e6a
90589	dedua	moon	mcelhanon-1967	afo	moon	
92353	dedua	to-work	mcelhanon-1967	ua	work	
91023	dedua	black	mcelhanon-1967	dzadzu	black	
91625	dedua	bone	mcelhanon-1967	sir-	(its) bone	094.1f1a
90729	dedua	all	mcelhanon-1967	sasawa	all	094.1e32
92213	dedua	brother	mcelhanon-1967	dar-	(his) brother	094.1e93
90519	dedua	that	mcelhanon-1967	yo	that	094.1edb
91527	dedua	tooth	mcelhanon-1967	enar-	(its) tooth	
91037	dedua	green	mcelhanon-1967	ârâŋbârik	green	094.1ea3
91863	dedua	to-dig	mcelhanon-1967	usu-	(he) digs	094.1eca
91051	dedua	white	mcelhanon-1967	koŋak	white	
92087	dedua	to-breathe	mcelhanon-1967	naka-	(its) breath	094.1dfb
90743	dedua	many	mcelhanon-1967	homak	many	
92367	dedua	spear-n	mcelhanon-1967	damu	spear	094.1e1e
91065	dedua	red	mcelhanon-1967	sak sak	red	
91975	dedua	flower	mcelhanon-1967	ori-	(its) flower	094.1e04
90757	dedua	night	mcelhanon-1967	tofonak	night	
91485	dedua	blood	mcelhanon-1967	sawa	(its) blood	094.1f5d
91079	dedua	yellow	mcelhanon-1967	dzagea	yellow	
92269	dedua	to-sew	mcelhanon-1967	kpebi-	(she) sews	094.1f60
90603	dedua	round	mcelhanon-1967	orâŋ	round	094.1e8a
91681	dedua	where	mcelhanon-1967	dahae	where	
90477	dedua	we	mcelhanon-1967	nini	we	094.1f50
91779	dedua	to-fall	mcelhanon-1967	ma-	(he) falls	094.1e21
91093	dedua	good	mcelhanon-1967	gombuŋa	good	
92101	dedua	to-vomit	mcelhanon-1967	urun-	(he) vomits	
90771	dedua	long	mcelhanon-1967	herea	long	094.1def
91499	dedua	hand	mcelhanon-1967	mari	(his) hand	094.1dfd
91107	dedua	hot	mcelhanon-1967	gerek	hot	094.1e44
92381	dedua	to-blow	mcelhanon-1967	fifi-	(he) blows	094.354c
91121	dedua	new	mcelhanon-1967	gboria	new	094.1e87
91989	dedua	fruit	mcelhanon-1967	forak-	(its) fruit	094.1e51
90533	dedua	this	mcelhanon-1967	i	this	094.1f04
91877	dedua	to-cut	mcelhanon-1967	herege-	(he) cuts	094.1f21
91135	dedua	dry	mcelhanon-1967	kereŋ-	(it is) dry	094.1deb
92227	dedua	sister	mcelhanon-1967	nawiŋ-	(his) sister	
90785	dedua	big	mcelhanon-1967	kuneŋ	big	094.1e3e
91597	dedua	skin	mcelhanon-1967	sebi-	(its) skin	094.1f17
90617	dedua	full	mcelhanon-1967	wake-	(it is) full	
92395	dedua	to-swell	mcelhanon-1967	siwiŋe-	(it) swells	094.1edc
91149	dedua	cold	mcelhanon-1967	moteŋa	cold	094.1f44
91611	dedua	head	mcelhanon-1967	fufu-	(its) head	
90491	dedua	who	mcelhanon-1967	moŋ	who	094.1f2a
92115	dedua	to-laugh	mcelhanon-1967	dzomore-	(he) laughs	094.1f27
91163	dedua	name	mcelhanon-1967	kiwa	(its) name	094.1e0b
91695	dedua	how	mcelhanon-1967	dafi	how	
90799	dedua	small	mcelhanon-1967	kapia	small	
92143	dedua	to-cry	mcelhanon-1967	kiak-	(he) cries	
91177	dedua	not	mcelhanon-1967	mi	not	094.1f51
91793	dedua	to-turn	mcelhanon-1967	meren-	(he) turns	094.1e66
90813	dedua	star	mcelhanon-1967	bâpiŋ	star	094.1e3a
91541	dedua	foot	mcelhanon-1967	hani-	(its) foot	094.1e2d
91191	dedua	to-burn	mcelhanon-1967	dza-	(it) burns	094.1e08
92129	dedua	to-suck	mcelhanon-1967	abere-	(he) sucks	
90463	dedua	thou	mcelhanon-1967	ge	thou	094.1e7f
90911	dedua	fat	mcelhanon-1967	wokemaŋ-	(its) fat	094.1f56
91205	dedua	road	mcelhanon-1967	siŋ	road	fbc
91513	dedua	tongue	mcelhanon-1967	nameŋ-	(its) tongue	094.1f49
90631	dedua	knee	mcelhanon-1967	fakuruŋ-	(his) knee	
92255	dedua	mother	mcelhanon-1967	neŋgak-	(his) mother	094.1f5c
90827	dedua	sun	mcelhanon-1967	wonak	sun	
92017	dedua	worm	mcelhanon-1967	gbosu	worm	094.1e0f
91219	dedua	water	mcelhanon-1967	doku	water	094.1f31
91807	dedua	to-throw	mcelhanon-1967	wa-	(he) throws:	094.1eab
91233	dedua	smoke	mcelhanon-1967	husuk	smoke	094.1f63
91709	dedua	and	mcelhanon-1967	ama	and	094.1e62
90645	dedua	claw	mcelhanon-1967	boŋ-	(its) claw	094.1ef0
91891	dedua	some	mcelhanon-1967	go-	some	094.1ecd
91247	dedua	to-hit	mcelhanon-1967	kpe-	(he) hit him	094.1f2f
92339	dedua	cloth-clothes	mcelhanon-1967	kambaŋ	clothing	094.1de4
90841	dedua	cloud	mcelhanon-1967	kurumeŋ	cloud	
91821	dedua	to-pull	mcelhanon-1967	tae-	(he) pulls	
91261	dedua	to-know	mcelhanon-1967	negen-	(he) knows	
92003	dedua	stick	mcelhanon-1967	gbaru	stick	094.1e28
90547	dedua	one	mcelhanon-1967	mokgu	one	094.1ec7
91905	dedua	short	mcelhanon-1967	wegen	short	
91275	dedua	sand	mcelhanon-1967	moŋgeŋ	sand	094.1e99
91919	dedua	wind	mcelhanon-1967	firaŋ	wind	
90855	dedua	rain	mcelhanon-1967	kia	rain	094.1ed9
92297	dedua	to-shoot	mcelhanon-1967	wedek-	(he) shoots	094.1f59
91289	dedua	stone	mcelhanon-1967	hok	stone	094.1e55
91723	dedua	there	mcelhanon-1967	edi	there	094.1e1a
90869	dedua	belly	mcelhanon-1967	kera-	(its) belly	094.1f2c
91457	dedua	woman	mcelhanon-1967	ŋak	woman	094.1e2c
91303	dedua	mountain	mcelhanon-1967	tiki	mountain	094.1eb2
92045	dedua	animal	mcelhanon-1967	yaŋ	animal	094.1f3e
90659	dedua	breast	mcelhanon-1967	namu-	breast	094.1e96
92171	dedua	old	mcelhanon-1967	esea	old	
91317	dedua	ashes	mcelhanon-1967	hama	ashes	094.1e68
91835	dedua	to-push	mcelhanon-1967	tuŋge-	(he) pushes	094.1ec3
90883	dedua	nose	mcelhanon-1967	soge-	(its) nose	094.1f54
91639	dedua	he-she	mcelhanon-1967	ye	he	094.1ec0
91331	dedua	earth	mcelhanon-1967	bânek	earth	094.1e7c
91555	dedua	tail	mcelhanon-1967	dzi-	(its) tail	094.1ecf
91345	dedua	leaf	mcelhanon-1967	mari-	(its) leaf	
91933	dedua	sky	mcelhanon-1967	kurumeŋ	sky	094.1ef7
90449	dedua	i	mcelhanon-1967	ni	I	1746,094.1ea4
91737	dedua	right-side	mcelhanon-1967	foi	right (side)	094.1e75
91359	dedua	tree	mcelhanon-1967	ik	tree	094.1f55
91471	dedua	man	mcelhanon-1967	ŋik	man	094.1e14
90897	dedua	heart	mcelhanon-1967	woso honduŋ-	(its) heart	
92311	dedua	to-count	mcelhanon-1967	âso-	(he) counts	094.1e11
90673	dedua	to-come	mcelhanon-1967	ere-	(he) comes	094.1eef
92059	dedua	back	mcelhanon-1967	nade-	(its) back	
91373	dedua	root	mcelhanon-1967	gode-	(its) root	094.1e59
92241	dedua	father	mcelhanon-1967	mam-	(his) father	094.4a8
90561	dedua	two	mcelhanon-1967	yohokaŋ	two	094.1e07
91667	dedua	they	mcelhanon-1967	yeni	they	094.1f0e
91387	dedua	seed	mcelhanon-1967	honduŋ-	(its) seed	094.1e6f
92031	dedua	snake	mcelhanon-1967	bâidzok	snake	
90925	dedua	neck	mcelhanon-1967	ube-	its neck	094.1f06
91947	dedua	dust	mcelhanon-1967	wondok	dust	
91401	dedua	ear	mcelhanon-1967	hedza-	(its) ear	094.1ebc
91569	dedua	meat	mcelhanon-1967	fusi-	(its) meat	094.1f13
90939	dedua	hair	mcelhanon-1967	dzowe-	(its) hair	094.1f41
92185	dedua	warm	mcelhanon-1967	hâroŋa	warm	094.1f18
91415	dedua	louse	mcelhanon-1967	yomiŋ	louse	094.1e02
92073	dedua	wing	mcelhanon-1967	kpegaŋ-	(its) wing	094.1ead
90505	dedua	what	mcelhanon-1967	dafi	what	094.1e4e
92199	dedua	dull	mcelhanon-1967	enarakpak	dull	
91429	dedua	dog	mcelhanon-1967	kasi	dog	094.1f4d
91751	dedua	left-side	mcelhanon-1967	kana	left side	094.1e22
90687	dedua	to-sit	mcelhanon-1967	tak-	(he) sits	094.1f0a
91849	dedua	to-wash	mcelhanon-1967	dzuak-	(he) washes	094.1f35
90953	dedua	to-die	mcelhanon-1967	home-	(he) dies	094.1ef4
92325	dedua	to-play	mcelhanon-1967	ariak	(they) play	094.1f5b
91443	dedua	bird	mcelhanon-1967	neŋ	bird	094.34a2
