id,name,family_id,family_name,iso_code,language_id,macroarea,lineage,level
abru1239,Abruzzese,indo1319,Indo-European,,ital1282,Eurasia,indo1319/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/ital1286/ital1287/ital1282,dialect
absh1238,Absheron,indo1319,Indo-European,,musl1236,Eurasia,indo1319/indo1320/iran1269/sout3157/midd1352/mode1259/fars1254/cauc1242/musl1236,dialect
abua1243,Abua-Odual,atla1278,Atlantic-Congo,,,,atla1278/volt1241/benu1247/delt1251/cent2028,family
abua1244,Abua,atla1278,Atlantic-Congo,abn,abua1244,Africa,atla1278/volt1241/benu1247/delt1251/cent2028/abua1243,language
abua1245,Abu' Arapesh,nucl1708,Nuclear Torricelli,aah,abua1245,Papunesia,nucl1708/komb1276/arap1279/mufi1239/buki1250,language
abui1241,Abui,timo1261,Timor-Alor-Pantar,abz,abui1241,Papunesia,timo1261/alor1249/alor1250,language
abuj1237,Abujmaria,drav1251,Dravidian,,mari1414,Eurasia,drav1251/sout3133/sout3139/gond1265/sout3234/hill1257/mari1414,dialect
abul1238,Abuldugu,nilo1247,Nilotic,,buru1301,Africa,nilo1247/west2493/luob1235/buru1301,dialect
abun1252,Abun,,,kgr,abun1252,Papunesia,,language
abun1253,Abun Je,abun1252,Abun,,abun1252,Papunesia,abun1252,dialect
abun1254,Abun Tat,abun1252,Abun,,abun1252,Papunesia,abun1252,dialect
abun1255,Abun Ji,abun1252,Abun,,abun1252,Papunesia,abun1252,dialect
abur1243,Abure,atla1278,Atlantic-Congo,abu,abur1243,Africa,atla1278/volt1241/kwav1236/nyoa1234/poto1254/tano1248/west2816,language
abur1244,Abureni,atla1278,Atlantic-Congo,mgj,abur1244,Africa,atla1278/volt1241/benu1247/delt1251/cent2028/kugb1242,language
abus1238,Abu Sinun,kadu1256,Kadugli-Krongo,,kang1288,Africa,kadu1256/cent2229/katc1251/kang1288,dialect
abuu1241,Abu,lowe1437,Lower Sepik-Ramu,ado,abuu1241,Papunesia,lowe1437/ramu1234/agoa1234,language
abzh1238,Abzhui,abkh1242,Abkhaz-Adyge,,abkh1244,Eurasia,abkh1242/abkh1243/abkh1244,dialect
acad1238,Acadian,indo1319,Indo-European,,stan1290,Eurasia,indo1319/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/nort3208/gall1280/oila1234/cent2283/macr1273/glob1239/stan1290,dialect
acat1239,Acatepec Me'phaa,otom1299,Otomanguean,tpx,acat1239,North America,otom1299/west2783/tlap1252/subt1249/meph1234,language
acat1240,Acatepec,otom1299,Otomanguean,,acat1239,South America,otom1299/west2783/tlap1252/subt1249/meph1234/acat1239,dialect
acch1238,Acchami,indo1319,Indo-European,,nepa1254,Eurasia,indo1319/indo1320/indo1321/indo1310/east1436/nepa1254,dialect
acha1249,Longchuan Achang,sino1245,Sino-Tibetan,acn,acha1249,Eurasia,sino1245/burm1265/lolo1265/burm1266/nort2720/high1273/acha1252,language
acha1250,Achagua,araw1281,Arawakan,aca,acha1250,South America,araw1281/nort2990/inla1264/japu1236/nucl1764/piap1247,language
acha1252,Achangic,sino1245,Sino-Tibetan,,,,sino1245/burm1265/lolo1265/burm1266/nort2720/high1273,family
ache1244,Ache,sino1245,Sino-Tibetan,yif,ache1244,Eurasia,sino1245/burm1265/lolo1265/lolo1267/nili1235/liso1234/unun9958,language
ache1245,Acheron,narr1279,Narrow Talodi,acz,ache1245,Africa,narr1279/bura1298/ache1247,language
ache1246,Aché,tupi1275,Tupian,guq,ache1246,South America,tupi1275/mawe1252/awet1245/tupi1276/sout3271/tupi1277,language
ache1247,Acheron-Tocho,narr1279,Narrow Talodi,,,,narr1279/bura1298,family
achi1247,Achik,sino1245,Sino-Tibetan,,garo1247,Eurasia,sino1245/brah1260/bodo1279/garo1247,dialect
achi1255,A'chick,sino1245,Sino-Tibetan,,garo1247,Eurasia,sino1245/brah1260/bodo1279/garo1247,dialect
achi1256,Achi,maya1287,Mayan,acr,achi1256,North America,maya1287/core1254/quic1274/grea1276/core1251/quic1275,language
achi1257,Achinese,aust1307,Austronesian,ace,achi1257,Eurasia,aust1307/mala1545/mala1536/nort3170/cham1327,language
achi1258,"Achi', Cubulco",book1242,Bookkeeping,acc,achi1258,North America,book1242,language
acht1238,Achterhoeks,indo1319,Indo-European,act,west2356,Eurasia,indo1319/germ1287/nort3152/west2793/nort3175/alts1234/midd1345/lowg1239/west2357/west2356,dialect
achu1247,Achumawi,pala1350,Palaihnihan,acv,achu1247,North America,pala1350,language
achu1248,Achuar-Shiwiar,jiva1245,Chicham,acu,achu1248,South America,jiva1245/shua1256,language
achu1249,Achuar,jiva1245,Chicham,,achu1248,,jiva1245/shua1256/achu1248,dialect
acii1238,Aci,nucl1709,Nuclear Trans New Guinea,,apal1256,Papunesia,nucl1709/mada1298/kala1403/sout3148/soge1235/cent2257/apal1256,dialect
acod1234,Acodi,nucl1709,Nuclear Trans New Guinea,,wano1243,,nucl1709/dani1287/wano1243/east2809,dialect
acol1236,Acoli,nilo1247,Nilotic,ach,acol1236,Africa,nilo1247/west2493/luob1235/sout2831,language
acom1246,Acoma,kere1287,Keresan,,west2632,North America,kere1287/west2632,dialect
acro1239,Acroá,nucl1710,Nuclear-Macro-Je,acs,acro1239,South America,nucl1710/jeee1236/jece1235,language
adaa1238,Ada,atla1278,Atlantic-Congo,,adan1247,Africa,atla1278/volt1241/kwav1236/gada1257/adan1247,dialect
adab1235,Adabe,book1242,Bookkeeping,adb,adab1235,Papunesia,book1242,language
adai1235,Adai,,,xad,adai1235,North America,,language
adam1238,Adamorobe Sign Language,sign1238,Sign Language,ads,adam1238,Africa,sign1238/vill1244,language
adam1253,Adamawa Fulfulde,atla1278,Atlantic-Congo,fub,adam1253,Africa,atla1278/nort3146/peul1234/fula1264/fula1265/adam1260,language
adam1254,Adamawa Fali,atla1278,Atlantic-Congo,,,,atla1278/volt1241/unun9902,family
adam1257,Adamawa Bua,atla1278,Atlantic-Congo,,,,atla1278/volt1241/nort3149/buak1234,family
adam1260,Adamawa-Bagirmi Fulfulde,atla1278,Atlantic-Congo,,,,atla1278/nort3146/peul1234/fula1264/fula1265,family
adan1247,Adangme,atla1278,Atlantic-Congo,ada,adan1247,Africa,atla1278/volt1241/kwav1236/gada1257,language
adan1248,Adangbe,atla1278,Atlantic-Congo,adq,adan1248,Africa,atla1278/volt1241/kwav1236/gbee1241/west2802,language
adan1249,Adan,atla1278,Atlantic-Congo,,ewee1241,Africa,atla1278/volt1241/kwav1236/gbee1241/west2802/ewee1241,dialect
adan1250,Adang (Lundayeh),aust1307,Austronesian,,lund1271,Papunesia,aust1307/mala1545/nort3253/nort3171/kela1257/lund1271,dialect
