id,society_name,lat,long,source,iso
Ae39,Ngombe,2,20,EA,ngc
Ad16,Ngonde,-10,34,EA,nyy
Ac9,Ngoni,-12,33,EA,NA
Ad51,Ngulu,-6,38,EA,ngp
Ae42,Ngumba,3,11,EA,nmg
Ab20,Ngumbi,-15,15,EA,NA
Ae4,Nkundo,0,20,EA,lol
Ae56,Nsaw,6,11,EA,lns
Ae57,Nsungli,6,11,EA,lmp
Ad6,Nyakyusa,-9,34,EA,nyy
Ad20,Nyamwezi,-5,33,EA,num
Ab7,Nyaneka,-15,14,EA,nyk
Ac38,Nyanja,-16,36,EA,nya
Ad45,Nyankole,0,31,EA,nyn
Ac39,Nyasa,-13,35,EA,NA
Ad2,Nyoro,2,32,EA,nyo
Ad36,Pare,-4,38,EA,asa
Ab15,Pedi,-25,30,EA,nso
Ac2,Pende,-6,20,EA,pem
Ad21,Pimbwe,-7,31,EA,piw
Ae34,Plains Bira,1,30,EA,brf
Ac30,Plateau Tonga,-18,28,EA,toi
Ad33,Pokomo,-1,40,EA,pkb
Af4,Yako,6,8,EA,yaz
Ae29,Poto,2,22,EA,lse
Ae47,Puku,2,10,EA,bnm
Ad25,Rangi,-5,36,EA,lag
Ae17,Rega,-3,28,EA,NA
Ah15,Reshe,11,5,EA,res
Ae10,Ruanda,-2,30,EA,kin
Ae8,Rundi,-3,30,EA,run
Ad17,Safwa,-8,33,EA,sbk
Ac24,Sakata,-3,18,EA,skt
Ae43,Sanga,2,16,EA,bmw
Ad23,Sangu,-8,34,EA,sbp
Ac40,Sena,-18,35,EA,seh
Ad10,Shambala,-5,38,EA,ksb
Ac35,Shila,-10,28,EA,NA
Ac16,Shogo,-1,12,EA,tsv
Ab18,Shona,-19,31,EA,sna
Ad46,Soga,1,33,EA,xog
Ae18,Songe,-6,25,EA,sop
Ac25,Songo,-5,18,EA,soo
Ae11,Songola,-4,26,EA,sod
Ad39,Sonjo,-3,36,EA,soz
Ab8,Sotho,-29,28,EA,sot
Ac17,Suku,-6,18,EA,sub
Ad22,Sukuma,-3,34,EA,suk
Ad47,Sumbwa,-4,32,EA,suw
Ac18,Sundi,-5,14,EA,sdj
Ab2,Swazi,-27,32,EA,NA
Ad37,Teita,-4,39,EA,dav
Ac19,Teke,-3,15,EA,NA
Ae25,Tetela,-4,25,EA,tll
Ab4,Thonga,-24,32,EA,tso
Ah25,Tigon,17,11,EA,nza
Ae58,Tikar,6,12,EA,tik
Ad40,Tiriki,0,35,EA,ida
Ah3,Tiv,7,9,EA,tiv
Ae26,Topoke,0,24,EA,pof
Ad48,Toro,1,31,EA,NA
Ab13,Tswana,-24,27,EA,tsn
Ac36,Tumbuka,-12,34,EA,tum
Ad26,Turu,-5,34,EA,rim
Ab6,Venda,-23,30,EA,ven
Af40,Assini,5,-4,EA,abu
Ah8,Wute,6,12,EA,vut
Ab11,Xhosa,-33,28,EA,xho
Ac20,Yaka,-7,17,EA,yaf
Af44,Alagya,5,-4,EA,ald
Ac26,Yanzi,-4,18,EA,yns
Ac7,Yao,-13,36,EA,yao
Af50,Dan,8,8,EA,daf
Ah22,Yergum,9,10,EA,yer
Ac8,Yombe,-5,13,EA,NA
Ad28,Zigula,-6,39,EA,ziw
Ad49,Zinza,-3,31,EA,zin
Ah27,Zuande,7,11,EA,brt
Ab12,Zulu,-29,31,EA,zul
Ai27,Abarambo,4,27,EA,brm
Ai3,Azande,5,27,EA,zne
Ai1,Banda,7,22,EA,bbp
Ai7,Baya,6,16,EA,gya
Ai23,Bwaka,3,19,EA,nbm
Ah28,Chamba,8,11,EA,ndi
Af56,Ngere,7,-8,EA,NA
Ai12,Fali,10,14,EA,fll
Ai13,Laka,8,16,EA,NA
Ah30,Longuda,10,12,EA,lnu
Ai24,Mandja,6,18,EA,mzv
Ag25,Soninke,15,10,EA,snk
Ai25,Mbandja,4,21,EA,zmz
Ai14,Mbum,7,14,EA,mdd
Ah31,Mumuye,9,12,EA,mzm
Ai15,Mundang,10,14,EA,mua
Ai16,Namshi,9,13,EA,dow
Ai26,Ngbandi,4,22,EA,ngb
Ah32,Vere,9,13,EA,ver
Ah33,Yungur,10,12,EA,NA
