ISO,LMP_LAT,LMP_LON
aan,-2.71388,-49.29882
apy,1.44910,-54.74173
api,-8.00005,-57.79686
apn,-6.11522,-47.63758
apu,-8.16286,-66.64035
arj,0.13727,-67.72816
axg,-13.17500,-55.86900
aap,-3.83351,-53.26333
awt,-4.90498,-52.50174
ark,-12.44435,-62.64651
ait,-8.92400,-63.74200
arx,-12.12909,-62.43217
atx,3.62579,-63.11025
asn,-4.11858,-52.33386
asu,-3.56830,-49.88412
aux,-4.13700,-46.79200
avv,-13.43217,-47.98266
awe,-12.94285,-53.58973
bkq,-14.26170,-54.70186
bwi,1.45568,-68.10198
bor,-16.63392,-55.32254
bzs,-15.49999,-47.99999
ccd,-22.89251,-43.58648
ram,-6.10387,-45.12635
cin,-10.59981,-60.83953
kwa,-0.12024,-67.30395
dny,-6.80024,-67.86196
des,0.32751,-69.12526
unk,-12.43329,-58.97378
gvo,-10.73091,-61.67771
gvp,-4.92677,-49.03253
gub,-4.67804,-45.53879
gvj,-3.85296,-46.29670
gvc,1.07648,-69.46299
gqn,-19.16665,-54.03332
gun,-25.15090,-48.23910
gta,-17.86830,-57.27804
hir,-6.26363,-64.71942
hix,-0.15977,-58.79008
hrx,-29.32550,-51.72188
jup,0.46252,-69.98387
iap,0.96896,-53.34406
fun,-9.02828,-37.14252
txi,-11.35951,-53.49076
irn,-12.75127,-57.96691
jbt,-12.03674,-64.66563
jaa,-7.55670,-66.49937
jua,-7.27113,-64.10007
jur,-10.94185,-53.35408
uks,-2.54656,-46.41572
urb,-2.45140,-46.19639
xbx,-14.26330,-58.98091
kbc,-19.59639,-57.50423
xai,-12.99999,-41.99999
kgp,-25.40311,-51.36153
zkp,-23.57076,-46.76093
kgk,-22.86499,-55.00908
vkm,-13.06782,-40.34337
kay,-12.26803,-53.46178
xba,-18.83332,-57.33332
xbw,-8.16666,-37.49999
knm,-6.59393,-68.82912
kxo,-12.17894,-64.58121
xpn,-8.49999,-38.33332
xkh,-0.75300,-58.11227
kpj,-11.00229,-50.47933
kmv,3.50086,-51.66700
kgm,2.08332,-52.96666
kuq,-10.14935,-64.32667
kzw,-9.84999,-36.33332
