dataset,soc_id,origLat,origLong,Lat,Long,Comment
Binford,B336,51.32,-124.02,51.32,-124.02,Original
Binford,B337,49.34,-88.31,49.34,-88.31,Original
Binford,B338,51.75,-72.66,51.75,-72.66,Original
Binford,B339,51.22,-83.1,51.22,-83.1,Original
Binford,B340,49.78,-76.64,49.78,-76.64,Original
Binford,B341,52.79,-90.64,52.79,-90.64,Original
Binford,B342,52.42,-63.33,52.42,-63.33,Original
Binford,B343,56.14,-120,56.14,-120,Original
Binford,B344,58.51,-115.76,58.51,-115.76,Original
Binford,B345,61.15,-119.5,61.15,-119.5,Original
Binford,B346,59.73,-125,59.73,-125,Original
Binford,B347,57.66,-127.85,57.66,-127.85,Original
Binford,B348,51.68,-124,51.68,-124,Original
Binford,B349,53.33,-123.15,53.33,-123.15,Original
Binford,B35,9.9,-72.41,9.9,-72.41,Original
Binford,B350,63.68,-125.37,63.68,-125.37,Original
Binford,B351,64.79,-141.2,64.79,-141.2,Original
Binford,B352,67.47,-125,67.47,-125,Original
Binford,B353,53.62,-83.88,53.62,-83.88,Original
Binford,B354,66.52,-153.78,66.52,-153.78,Original
Binford,B355,59.47,-106.19,59.47,-106.19,Original
Binford,B356,65.94,-135.23,65.94,-135.23,Original
Binford,B357,61.82,-157.75,61.82,-157.75,Original
Binford,B358,65.75,-122.89,65.75,-122.89,Original
Binford,B359,63.44,-143.12,63.44,-143.12,Original
Binford,B36,3.86,-66.17,3.86,-66.17,Original
Binford,B360,51.08,-77.81,51.08,-77.81,Original
Binford,B361,63.85,-115.61,63.85,-115.61,Original
Binford,B362,61.74,-150.45,61.74,-150.45,Original
Binford,B363,61.24,-138.21,61.24,-138.21,Original
Binford,B364,63.33,-157.54,63.33,-157.54,Original
Binford,B365,56.19,-68.92,56.19,-68.92,Original
Binford,B369,63.98,-160.75,63.98,-160.75,Original
Binford,B37,3,-55,3,-55,Original
Binford,B370,66.95,-156.94,66.95,-156.94,Original
Binford,B371,66.77,-161.53,66.77,-161.53,Original
Binford,B372,57.97,-62.02,57.83,-62.32,Revised
Binford,B373,55.32,-77.69,55.32,-77.69,Original
Binford,B374,64.33,-96.2,64.33,-96.2,Original
Binford,B375,68.09,-160,68.09,-160,Original
Binford,B377,68.18,-151.71,68.18,-151.71,Original
Binford,B378,69.96,-132.09,69.67,-132.08,Revised
Binford,B379,63.49,-170.31,63.49,-170.31,Original
Binford,B38,6.85,-68.77,6.85,-68.77,Original
Binford,B380,68.29,-166.62,68.41,-166.21,Revised
Binford,B381,68.58,-106.61,68.58,-106.61,Original
Binford,B382,66.99,-95.18,66.99,-95.08,Revised
Binford,B383,65.16,-88.12,65.16,-88.12,Original
Binford,B384,69.44,-81.51,69.45,-81.51,Revised
Binford,B385,69.31,-50.21,69.31,-50.21,Original
Binford,B386,65,-65,65.21,-64.65,Revised
Binford,B387,71.46,-94.93,71.46,-94.93,Original
Binford,B388,65.63,-37.64,65.64,-37.64,Revised
Binford,B389,71.32,-156.78,71.24,-156.78,Revised
Binford,B39,5.38,-68.31,5.38,-68.31,Original
Binford,B390,77.49,-69.5,77.53,-69.5,Revised
Binford,B4,7,93.77,7,93.77,Original
Binford,B40,2.56,-71.81,2.56,-71.81,Original
Binford,B41,16.52,-55,-16,-55,Revised
Binford,B42,-18,-57.5,-18,-57.5,Original
Binford,B43,-15,-63.58,-15,-63.58,Original
Binford,B44,-16.46,-64.97,-16.46,-64.97,Original
Binford,B45,-12.73,-59.55,-12.73,-59.55,Original
Binford,B46,-26.5,-82,26.48,-81.96,Revised
Binford,B47,-25.7,-55.38,-25.7,-55.38,Original
Binford,B48,-18.71,-41.86,-18.71,-41.86,Original
Binford,B49,-23.52,-53.68,-23.52,-53.68,Original
Binford,B5,10.7,92.47,10.7,92.47,Original
Binford,B50,-28,-50,-28,-50,Original
Binford,B51,-46,-68.7,-46,-68.7,Original
Binford,B52,-45,-73.83,-45,-73.83,Original
Binford,B53,-49.55,-74.52,-49.55,-74.52,Original
Binford,B54,-53.9,-68.62,-53.9,-68.62,Original
Binford,B55,-60,-68.66,-55.02,-68.98,Revised
Binford,B6,12.19,92.37,12.17,92.65,Revised
Binford,B60,2,17,2,17,Original
Binford,B61,3.58,17.76,3.58,17.76,Original
Binford,B62,-6.64,28.26,-6.64,28.26,Original
Binford,B63,2.39,15.31,2.39,15.31,Original
Binford,B64,2.7,27.64,2.7,27.64,Original
Binford,B65,1.54,28.61,1.54,28.61,Original
Binford,B66,-22.32,43.81,-22.32,43.81,Original
Binford,B67,-16.93,24.32,-16.93,24.32,Original
Binford,B68,-18.65,16.12,-18.65,16.12,Original
Binford,B69,-3.82,35.32,-3.82,35.32,Original
Binford,B7,15.5,120.33,15.5,120.33,Original
Binford,B70,0,36,0,36,Original
Binford,B71,-16.42,19.53,-16.42,19.53,Original
Binford,B72,-20,21.18,-20,21.18,Original
Binford,B73,-21.64,21.61,-21.64,21.61,Original
Binford,B74,-22.46,23.39,-22.46,23.39,Original
Binford,B75,-22.88,24.41,-22.88,24.41,Original
Binford,B76,-23.86,22.2,-23.86,22.2,Original
Binford,B77,-27.37,19.82,-27.37,19.82,Original
Binford,B78,-26.28,30.23,-26.28,30.23,Original
Binford,B79,-31.47,19.77,-31.47,19.77,Original
Binford,B8,13.32,92.89,13.32,92.89,Original
Binford,B82,-10.77,142.12,-10.73,142.15,Revised
Binford,B83,-12.6,130.78,-12.6,130.79,Revised
Binford,B84,-12.43,134.12,-12.43,134.12,Original
Binford,B85,-12.31,135.2,-12.31,135.2,Original
Binford,B86,-12.2,134.73,-12.2,134.73,Original
Binford,B87,-12.18,134.4,-12.18,134.4,Original
Binford,B88,-12.93,135.84,-12.93,135.84,Original
Binford,B89,-15.55,128.19,-15.55,128.19,Original
Binford,B9,5.86,101,5.86,101,Original
Binford,B90,-13.47,142,-13.47,142,Original
Binford,B91,-13.13,132.95,-13.13,132.95,Original
Binford,B92,-13.76,135.98,-13.76,135.98,Original
Binford,B93,-14,143.5,-14,143.5,Original
Binford,B94,-15,142.17,-15,142.17,Original
Binford,B95,-11.59,130.87,-11.59,130.87,Original
Binford,B96,-15.92,145.32,-15.92,145.32,Original
Binford,B97,-14,136.62,-14,136.62,Original
Binford,B98,-14.34,144.22,-14.34,144.22,Original
Binford,B99,-13.58,130.58,-13.58,130.58,Original
EA,Aa1,-20,21,-20,21,Original
EA,Aa2,0,36,0,36,Original
EA,Aa3,-26,18,-26,18,Original
