xd_id,xd_name,iso_6933,N_iso_shared,DisplayGlottocode,DisplayGlottocodeLevel,HighestGlottocode,HighestGlottocodeName,HighestGlottocodeLevel,Ethnologue
xd386,Dinka,dik,1,sout2832,language,nilo1247,Nilotic,family,"Nilo-Saharan, Eastern Sudanic"
xd816,Dani,dnt,1,midg1235,language,nucl1709,Nuclear Trans New Guinea,family,Trans-New Guinea
xd271,Dorosie,dos,1,dogo1295,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd754,Dusun,dtp,1,cent2100,language,aust1307,Austronesian,family,Austronesian
xd1320,Choco,emp,1,nort2972,language,choc1280,Chocoan,family,Chocoan
xd821,Enga,enq,1,enga1252,language,nucl1709,Nuclear Trans New Guinea,family,Trans-New Guinea
xd340,Fali,fll,1,nort2770,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd345,Gisiga,giz,1,sout3051,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd381,Baya,gya,1,nort2775,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd647,Miao,hea,1,nort2747,language,hmon1336,Hmong-Mien,family,Hmong-Mien
xd663,Uttar Pradesh,hin,1,hind1269,language,indo1319,Indo-European,family,Indo-European
xd1370,Witoto,huu,1,muru1274,language,huit1251,Huitotoan,family,Witotoan
xd645,Lolo,iii,1,sich1238,language,sino1245,Sino-Tibetan,family,Sino-Tibetan
xd255,Yatenga,kfz,1,koro1298,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd162,Kota,koq,1,kota1274,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1413,Botocudo,kqq,1,kren1239,language,nucl1710,Nuclear-Macro-Je,family,Botocudoan
xd38,Kongo,kwy,1,sans1272,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd719,Lawa,lcp,1,west2396,language,aust1305,Austroasiatic,family,Austro-Asiatic
xd135,Rega,lea,1,lega1249,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1312,Lenca,len,1,lenc1244,language,lenc1239,Lencan,family,Lencan
xd147,Ngala,lin,1,ling1263,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd708,Kuki,lus,1,lush1249,language,sino1245,Sino-Tibetan,family,Sino-Tibetan
xd662,Bihari,mai,1,mait1250,language,indo1319,Indo-European,family,Indo-European
xd682,Kerala,mal,2,cent1998,dialect,drav1251,Dravidian,family,Dravidian
xd1304,Mazateco,mau,1,huau1238,language,otom1299,Otomanguean,family,Otomanguean
xd738,Manobo,mbb,1,west2555,language,aust1307,Austronesian,family,Austronesian
xd660,Magar,mgp,1,east2352,language,sino1245,Sino-Tibetan,family,Sino-Tibetan
xd1306,Mixe,mir,1,isth1238,language,mixe1284,Mixe-Zoque,family,Mixe-Zoquean
xd1328,Motilon,mot,1,bari1297,language,chib1249,Chibchan,family,Chibchan
xd351,Sara,mwm,1,sarr1246,language,cent2225,Central Sudanic,family,"Nilo-Saharan, Central Sudanic"
xd1298,Mixtec,mxa,1,nort2986,language,otom1299,Otomanguean,family,Otomanguean
xd819,Keraki,ncm,1,namb1293,language,more1255,Morehead-Wasur,family,South-Central Papuan
xd32,Ndebele,nde,1,nort2795,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd20,Ambo,ndo,1,ndon1254,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd158,Ndoko,ngc,2,doko1244,dialect,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd43,Teke,nzu,1,teke1279,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd2,Dorobo,oki,1,okie1245,language,nilo1247,Nilotic,family,"Nilo-Saharan, Eastern Sudanic"
xd598,Afghans,pbu,3,dura1243,dialect,indo1319,Indo-European,family,Indo-European
xd604,Nuri,pbu,3,nort2648,dialect,indo1319,Indo-European,family,Indo-European
xd608,Iranians,pes,2,tehr1242,dialect,indo1319,Indo-European,family,Indo-European
xd705,Palaung,pll,1,shwe1236,language,aust1305,Austroasiatic,family,Austro-Asiatic
xd600,Punjabi,pnb,1,west2386,language,indo1319,Indo-European,family,Indo-European
xd713,Karen,pwo,1,pwow1235,language,sino1245,Sino-Tibetan,family,Sino-Tibetan
xd107,Kara,reg,1,kara1481,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd265,Samo,sbd,1,sout2844,language,mand1469,Mande,family,"Niger-Congo, Mande"
xd657,Dard,scl,1,shin1264,language,indo1319,Indo-European,family,Indo-European
xd269,Senufo,sef,1,ceba1235,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd706,Chin,sez,1,sent1260,language,sino1245,Sino-Tibetan,family,Sino-Tibetan
xd758,Punan1,sge,1,sega1243,language,aust1307,Austronesian,family,Austronesian
xd137,Yeke,sng,1,sang1331,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1377,Tunebo,tuf,1,cent2150,language,chib1249,Chibchan,family,Chibchan
xd28,Mbundu,umb,1,umbu1257,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd69,Makua,vmw,1,makh1264,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd980,Tasmanians (Eastern),x06,1,sout1439,language,sout1293,South-Eastern Tasmanian,family,Unclassified
xd783,Tasmanians,xtz,1,tasm1247,language,nort1442,North-Eastern Tasmanian,family,Unclassified
xd634,Yukaghir,ykg,1,nort2745,language,yuka1259,Yukaghir,family,Yukaghir
xd1129,Yokuts,yok,2,nort2937,dialect,yoku1255,Yokutsan,family,Yokutsan
xd1123,Lake Yokuts,yok,2,sout2955,dialect,yoku1255,Yokutsan,family,Yokutsan
xd46,Bunda,zmp,1,mpuo1241,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1296,Zapotec,zpu,1,yala1267,language,otom1299,Otomanguean,family,Otomanguean
xd1248,Abnaki,aaq,2,peno1243,dialect,algi1248,Algic,family,Algic
xd1253,Penobscot,aaq,2,peno1243,dialect,algi1248,Algic,family,Algic
xd454,Afar,aar,1,afar1241,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd577,Abkhaz,abk,1,abkh1244,language,abkh1242,Abkhaz-Adyge,family,West Caucasian
xd904,Ayta (Pinatubo),abp,1,aben1249,language,aust1307,Austronesian,family,Austronesian
xd217,Abron,abr,1,abro1238,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd761,Ambonese,abs,1,ambo1250,language,aust1307,Austronesian,family,Creole
xd791,Abelam,abt,1,ambu1247,language,nduu1242,Ndu,family,Sepik
xd220,Assini,abu,1,abur1243,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd385,Acholi,ach,2,dhop1238,dialect,nilo1247,Nilotic,family,"Nilo-Saharan, Eastern Sudanic"
xd398,Labwor,ach,2,labw1238,dialect,nilo1247,Nilotic,family,"Nilo-Saharan, Eastern Sudanic"
xd587,Madan,acm,1,meso1252,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd1417,Coroa,acs,1,acro1239,language,nucl1710,Nuclear-Macro-Je,family,Jean
xd1108,Achomawi,acv,1,achu1247,language,pala1350,Palaihnihan,family,Palaihnihan
xd214,Adangme,ada,1,adan1247,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd803,Ngarawapum,adz,1,adze1240,language,aust1307,Austronesian,family,Austronesian
xd511,Hamama,aeb,3,sout3114,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd520,Tunisians,aeb,3,tuni1260,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd516,Saadi,aec,1,said1239,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd772,Northern Aranda,aer,1,east2379,language,pama1250,Pama-Nyungan,family,Pama-Nyungan
xd205,Afo,afo,1,eloy1241,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd537,Boers,afr,1,afri1274,language,indo1319,Indo-European,family,Indo-European
xd908,Agta (Cagayan),agt,1,cent2084,language,aust1307,Austronesian,family,Austronesian
