Dataset,soc_id,xd_id,SpecRef,Year,DND.VarID_Code,VarID,Code,Comment,References,DND.SourceCodedData,DND.Display,DND.AdminComment
LRB,B71,xd931,,1928,5_2,5,2,,,,,
LRB,B72,xd1,,1950,5_1,5,1,,,,,
LRB,B73,xd7,,1910,5_2,5,2,,,,,
LRB,B74,xd932,,1962,5_1,5,1,,,,,
LRB,B75,xd933,,1976,5_2,5,2,,,,,
LRB,B76,xd934,,1968,5_1,5,1,,,,,
LRB,B77,xd935,,1920,5_1,5,1,,,,,
LRB,B78,xd936,,1950,5_2,5,2,,,,,
LRB,B79,xd8,,NA,5_1,5,1,,,,,
LRB,B82,xd937,,1848,5_2,5,2,,,,,
LRB,B83,xd938,,1900,5_1,5,1,,,,,
LRB,B84,xd939,,1978,5_2,5,2,,,,,
LRB,B85,xd940,,1970,5_2,5,2,,,,,
LRB,B86,xd941,,1973,5_1,5,1,,,,,
LRB,B87,xd774,,1950,5_2,5,2,,,,,
LRB,B88,xd777,,1930,5_1,5,1,,,,,
LRB,B89,xd942,,1920,5_1,5,1,,,,,
LRB,B90,xd781,,1920,5_1,5,1,,,,,
LRB,B91,xd943,,1920,5_1,5,1,,,,,
LRB,B92,xd944,,1960,5_1,5,1,,,,,
LRB,B93,xd945,,1930,5_1,5,1,,,,,
LRB,B94,xd775,,1937,5_1,5,1,,,,,
LRB,B95,xd778,,1920,5_1,5,1,,,,,
LRB,B96,xd946,,1880,5_1,5,1,,,,,
LRB,B97,xd776,,1930,5_1,5,1,,,,,
LRB,B98,xd947,,1926,5_1,5,1,,,,,
LRB,B99,xd948,,1900,5_1,5,1,,,,,
LRB,B100,xd949,,NA,5_1,5,1,,,,,
LRB,B101,xd950,,1934,5_1,5,1,,,,,
LRB,B102,xd951,,1909,5_1,5,1,,,,,
LRB,B103,xd952,,1928,5_1,5,1,,,,,
LRB,B104,xd953,,NA,5_1,5,1,,,,,
LRB,B105,xd954,,1900,5_2,5,2,,,,,
LRB,B106,xd780,,1910,5_1,5,1,,,,,
LRB,B107,xd955,,1870,5_1,5,1,,,,,
LRB,B108,xd956,,1934,5_1,5,1,,,,,
LRB,B109,xd773,,1965,5_1,5,1,,,,,
LRB,B110,xd957,,1880,5_2,5,2,,,,,
LRB,B111,xd958,,1960,5_1,5,1,,,,,
LRB,B112,xd959,,1968,5_1,5,1,,,,,
LRB,B113,xd960,,1936,5_1,5,1,,,,,
LRB,B114,xd961,,1848,5_1,5,1,,,,,
LRB,B115,xd962,,1840,5_1,5,1,,,,,
LRB,B116,xd963,,1900,5_1,5,1,,,,,
LRB,B117,xd964,,1965,5_1,5,1,,,,,
LRB,B118,xd965,,1968,5_1,5,1,,,,,
LRB,B119,xd966,,1850,5_1,5,1,,,,,
LRB,B120,xd967,,1968,5_1,5,1,,,,,
LRB,B121,xd779,,1900,5_1,5,1,,,,,
LRB,B122,xd968,,1870,5_1,5,1,,,,,
LRB,B123,xd969,,1922,5_1,5,1,,,,,
