xd_id,iso_6933,N_iso_shared,DialectLanguageGlottocode,DialectLanguageLevel,FamilyGlottocode,FamilyLevel
xd1276,kee,4,ziaa1251,dialect,kere1287,family
xd770,kei,1,keii1239,language,aust1307,family
xd912,kej,1,kada1242,language,drav1251,family
xd140,kel,1,kela1254,language,atla1278,family
xd193,ken,1,keny1279,language,atla1278,family
xd389,keo,1,kakw1240,language,nilo1247,family
xd636,ket,1,kett1243,language,yeni1252,family
xd681,kfa,1,koda1255,language,drav1251,family
xd674,kff,1,koya1251,language,drav1251,family
xd368,kgo,1,kron1241,language,kadu1256,family
xd808,kgq,1,kamo1255,language,nucl1709,family
xd714,kha,1,khas1269,language,aust1305,family
xd611,khk,1,halh1238,language,mong1329,family
xd722,khm,2,nucl1298,dialect,aust1305,family
xd727,khm,2,sout2688,dialect,aust1305,family
xd22,khu,1,nkhu1238,language,atla1278,family
xd146,khy,1,kele1255,language,atla1278,family
xd367,kib,1,koal1240,language,heib1242,family
xd1235,kic,1,kick1244,language,algi1248,family
xd852,kij,1,kili1267,language,aust1307,family
xd109,kik,1,kiku1240,language,atla1278,family
xd128,kin,1,kiny1244,language,atla1278,family
xd1216,kio,1,kiow1266,language,kiow1265,family
xd789,kjd,1,sout2949,language,kiwa1251,family
xd1263,kjq,2,acom1246,dialect,kere1287,family
xd1264,kjq,2,acom1246,dialect,kere1287,family
xd121,kki,1,kagu1239,language,atla1278,family
xd1056,kkz,1,kask1239,language,atha1245,family
xd1134,klb,1,kili1268,language,coch1271,family
xd970,kld,1,gami1243,language,pama1250,family
xd228,klu,1,klao1243,language,atla1278,family
xd788,kmo,1,kwom1262,language,sepi1257,family
xd152,kmw,1,komo1260,language,atla1278,family
xd478,kna,1,dera1248,language,afro1255,family
xd739,knb,1,lubu1243,language,aust1307,family
xd260,knk,1,kura1250,language,mand1469,family
xd725,kns,1,kens1248,language,aust1305,family
xd763,kod,1,kodi1247,language,aust1307,family
xd1327,kog,1,cogu1240,language,chib1249,family
xd114,koo,1,konz1239,language,atla1278,family
xd638,kor,1,kore1280,language,kore1284,family
xd826,kos,1,kosr1238,language,aust1307,family
xd346,kot,1,lagw1237,language,afro1255,family
xd1010,koy,1,koyu1237,language,atha1245,family
xd1352,kpc,1,curr1243,language,araw1281,family
xd886,kpg,1,kapi1249,language,aust1307,family
xd1407,kpj,1,kara1500,language,nucl1710,family
xd633,kpy,1,kory1246,language,chuk1271,family
xd403,kpz,1,kups1238,language,nilo1247,family
xd797,kqi,1,koit1244,language,koia1260,family
xd58,kqn,1,kaon1241,language,atla1278,family
xd197,kqs,1,nort2765,language,atla1278,family
xd449,kqy,2,koor1239,language,gong1255,family
xd418,kqy,2,koor1239,language,gong1255,family
