xd_id,iso_6933,N_iso_shared,DialectLanguageGlottocode,DialectLanguageLevel,FamilyGlottocode,FamilyLevel,xd_id
xd821,enq,1,enga1252,language,nucl1709,family,xd821
xd340,fll,1,nort2770,language,atla1278,family,xd340
xd345,giz,1,sout3051,language,afro1255,family,xd345
xd381,gya,1,nort2775,language,atla1278,family,xd381
xd647,hea,1,nort2747,language,hmon1336,family,xd647
xd663,bho,1,bhoj1244,language,indo1319,family,xd663
xd1370,huu,1,muru1274,language,huit1251,family,xd1370
xd645,iii,1,sich1238,language,sino1245,family,xd645
xd255,kfz,1,koro1298,language,atla1278,family,xd255
xd162,koq,1,kota1274,language,atla1278,family,xd162
xd1413,kqq,1,kren1239,language,nucl1710,family,xd1413
xd38,kwy,1,sans1272,language,atla1278,family,xd38
xd719,lcp,1,west2396,language,aust1305,family,xd719
xd135,lea,1,lega1249,language,atla1278,family,xd135
xd1312,len,1,lenc1244,language,lenc1239,family,xd1312
xd147,lin,1,ling1263,language,atla1278,family,xd147
xd708,lus,1,lush1249,language,sino1245,family,xd708
xd662,mai,1,mait1250,language,indo1319,family,xd662
xd682,mal,2,cent1998,dialect,drav1251,family,xd682
xd1304,mau,1,huau1238,language,otom1299,family,xd1304
xd738,mbb,1,west2555,language,aust1307,family,xd738
xd660,mgp,1,east2352,language,sino1245,family,xd660
xd1306,mir,1,isth1238,language,mixe1284,family,xd1306
xd1328,mot,1,bari1297,language,chib1249,family,xd1328
xd351,mwm,1,sarr1246,language,cent2225,family,xd351
xd1298,mxa,1,nort2986,language,otom1299,family,xd1298
xd819,ncm,1,namb1293,language,more1255,family,xd819
xd32,nde,1,nort2795,language,atla1278,family,xd32
xd20,ndo,1,ndon1254,language,atla1278,family,xd20
xd158,ngc,2,doko1244,dialect,atla1278,family,xd158
xd43,nzu,1,teke1279,language,atla1278,family,xd43
xd2,oki,1,okie1245,language,nilo1247,family,xd2
xd598,pbu,2,ghil1238,dialect,indo1319,family,xd598
xd604,pbu,1,kamv1242,language,indo1319,family,xd604
xd608,pes,2,tehr1242,dialect,indo1319,family,xd608
xd705,pll,1,shwe1236,language,aust1305,family,xd705
