ID,Society_name_EA,ISO693_3,LangNam,ISO_PAST (use with WLMS language GIS data),LangNam_PAST (use with WLMS language GIS data),LangFamily,LangFamily_R,Class2,Class3,ISO_Note,Prelim_BantuTreeName,Prelim_ANTreeName,Prelim_IETreeName,Prelim_UATreeName,Prelim_SemiticTreeName,Possible Bantoid society?,Possible Bantu society (narrow Bantu)?,Possible Austronesian society?,Possible Indo-European society?,Possible Uto-Aztecan society?,Possible Semitic society?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nb28,Alsea,aes,Alsea,aes,Alsea,Oregon Penutian,Oregon Penutian,NA,NA,EXTINCT not in Ethnologue,NA,NA,NA,NA,NA,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Af27,Afo,afo,Eloyi,afo,Eloyi,"Niger-Congo,  Atlantic-Congo","Niger-Congo, Atlantic-Congo",Atlantic-Congo,Volta-Congo,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cf2,Boers,afr,Afrikaans,afr,Afrikaans,Indo-European,Indo-European,Germanic,West,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca31,Falasha,ahg,Qimant,ahg,Qimant,Afro-Asiatic,Afro-Asiatic,Cushitic,Central,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ej7,Akha,ahk,Akha,ahk,Akha,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Ngwi-Burmese,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Af31,Koro,ahs,Ashe,ahs,Ashe,"Niger-Congo,  Atlantic-Congo","Niger-Congo, Atlantic-Congo",Atlantic-Congo,Volta-Congo,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ei11,Aimol,aim,Aimol,aim,Aimol,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Sal,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ec7,Ainu,ain,Ainu,ain,Ainu,Language_isolate2,Language isolate,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca23,Bako,aiw,Aari,aiw,Aari,Afro-Asiatic,Afro-Asiatic,Omotic,South,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca25,Shangama,aiw,Aari,aiw,Aari,Afro-Asiatic,Afro-Asiatic,Omotic,South,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca26,Ubamer,aiw,Aari,aiw,Aari,Afro-Asiatic,Afro-Asiatic,Omotic,South,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ih5,Ajie,aji,Ajië,aji,Ajie,Austronesian,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cj6,Jordanians,ajp,"Arabic, South Levantine Spoken",ajp,"Arabic, South Levantine Spoken",Afro-Asiatic,Afro-Asiatic,Semitic,Central,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Af12,Akyem,aka,Akan,aka,Akan,"Niger-Congo,  Atlantic-Congo","Niger-Congo, Atlantic-Congo",Atlantic-Congo,Volta-Congo,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Af3,Ashanti,aka,Akan,aka,Akan,"Niger-Congo,  Atlantic-Congo","Niger-Congo, Atlantic-Congo",Atlantic-Congo,Volta-Congo,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Af42,Fanti,aka,Akan,aka,Akan,"Niger-Congo,  Atlantic-Congo","Niger-Congo, Atlantic-Congo",Atlantic-Congo,Volta-Congo,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ia18,Bisayan,akl,Inakeanon,akl,Inakeanon,Austronesian,Austronesian,Malayo-Polynesian,Philippine,NA,NA,AklanonBisayan,NA,NA,NA,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
