ID,STANDARD SOCIETY NAME Binford,ISO693_3,LangNam,ISO_PAST (use with WLMS language GIS data),LangNam_PAST (use with WLMS language GIS data),LangFamily_R,Class2,Class3,ISO_Note,Prelim_BantuTreeName,Prelim_ANTreeName,Prelim_IETreeName,Prelim_UATreeName,Prelim_SemiticTreeName,Possible Bantoid society?,Possible Bantu society (narrow Bantu)?,Possible Austronesian society?,Possible Indo-European society?,Possible Uto-Aztecan society?,Possible Semitic society?
B60,Aka,axk,Yaka,axk,Yaka,"Niger-Congo, Atlantic-Congo",Atlantic-Congo,Volta-Congo,NA,Check,NA,NA,NA,NA,1,1,0,0,0,0
B61,Bayaka,axk,Yaka,axk,Yaka,"Niger-Congo, Atlantic-Congo",Atlantic-Congo,Volta-Congo,NA,Check,NA,NA,NA,NA,1,1,0,0,0,0
B62,Bambote,les,Lese,les,Lese,"Nilo-Saharan, Central Sudanic",Central Sudanic,East,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B63,Baka,bkc,Baka,bkc,Baka,"Niger-Congo, Atlantic-Congo",Atlantic-Congo,Volta-Congo,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B64,Efe,les,Lese,les,Lese,"Nilo-Saharan, Central Sudanic",Central Sudanic,East,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B65,Mbuti,les,Lese,les,Lese,"Nilo-Saharan, Central Sudanic",Central Sudanic,East,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B66,Mikea,plt,"Malagasy, Plateau",plt,"Malagasy, Plateau",Austronesian,Malayo-Polynesian,Greater Barito,NA,NA,Check,NA,NA,NA,0,0,1,0,0,0
B67,Hukwe,xuu,Khwe,xuu,Khwe,Southern Africa,Central,Tshu-Khwe,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B68,Hai//om,naq,Nama,naq,Nama,Southern Africa,Central,Nama,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B69,Hadza,hts,Hadza,hts,Hadza,Hatsa,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B70,Dorobo,oki,Okiek,oki,Okiek,"Nilo-Saharan, Eastern Sudanic",Eastern Sudanic,Nilotic,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B71,Sekele,oun,!O!ung,oun,Oung,Southern Africa,Northern,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
