Dataset,soc_id,VarID,Code,Comment
EA,Ad2,Elevation,1056.74864,
EA,Ad20,Elevation,1216.432017,
EA,Ad21,Elevation,1231.306998,
EA,Ad22,Elevation,1341.945418,
EA,Ad23,Elevation,1185.911008,
EA,Ad24,Elevation,1081.528711,
EA,Ad25,Elevation,1343.785994,
EA,Ad26,Elevation,1222.508299,
EA,Ad27,Elevation,83.76199101,
EA,Ad28,Elevation,146.4706581,
EA,Ad29,Elevation,8.542145004,
EA,Ad3,Elevation,1403.036781,
EA,Ad30,Elevation,183.3620979,
EA,Ad31,Elevation,183.3620979,
EA,Ad32,Elevation,20.48755663,
EA,Ad33,Elevation,87.86830919,
EA,Ad34,Elevation,680.2117225,
EA,Ad35,Elevation,1848.29882,
EA,Ad36,Elevation,738.4069813,
EA,Ad37,Elevation,183.3620979,
EA,Ad38,Elevation,1155.978735,
EA,Ad39,Elevation,1306.431889,
EA,Ad4,Elevation,1443.924385,
EA,Ad40,Elevation,1848.29882,
EA,Ad41,Elevation,1867.520637,
EA,Ad42,Elevation,1134.053885,
EA,Ad43,Elevation,1201.318525,
EA,Ad44,Elevation,1620.813157,
EA,Ad45,Elevation,1281.147693,
EA,Ad46,Elevation,1106.103161,
EA,Ad47,Elevation,1167.441218,
EA,Ad48,Elevation,1255.884295,
EA,Ad49,Elevation,1245.142922,
EA,Ad5,Elevation,1239.679539,
EA,Ad50,Elevation,886.4657628,
EA,Ad51,Elevation,289.5403082,
EA,Ad6,Elevation,1891.420399,
EA,Ad7,Elevation,1138.752423,
EA,Ad8,Elevation,1664.467506,
EA,Ad9,Elevation,1324.999475,
EA,Ae1,Elevation,1353.303649,
EA,Ae10,Elevation,1422.333399,
EA,Ae11,Elevation,527.5604946,
EA,Ae12,Elevation,148.1939092,
EA,Ae13,Elevation,1818.137141,
EA,Ae14,Elevation,1177.431469,
EA,Ae15,Elevation,1281.011477,
EA,Ae16,Elevation,689.7285097,
EA,Ae17,Elevation,1229.181234,
EA,Ae18,Elevation,792.2875244,
EA,Ae19,Elevation,1129.53401,
EA,Ae2,Elevation,260.7785801,
EA,Ae20,Elevation,313.2196962,
EA,Ae21,Elevation,496.5754499,
EA,Ae22,Elevation,506.5761566,
EA,Ae23,Elevation,431.3161509,
EA,Ae24,Elevation,443.4814252,
EA,Ae25,Elevation,543.0975803,
EA,Ae26,Elevation,444.9197048,
EA,Ae27,Elevation,446.3755702,
EA,Ae28,Elevation,325.1818202,
EA,Ae29,Elevation,429.7026454,
EA,Ae3,Elevation,511.4060011,
EA,Ae30,Elevation,944.1058059,
EA,Ae31,Elevation,805.0753666,
EA,Ae32,Elevation,701.6460528,
EA,Ae33,Elevation,643.1330612,
EA,Ae34,Elevation,1353.303649,
EA,Ae35,Elevation,886.4802815,
EA,Ae36,Elevation,494.9571706,
EA,Ae37,Elevation,464.3729312,
EA,Ae38,Elevation,392.0993837,
EA,Ae39,Elevation,371.2893366,
EA,Ae4,Elevation,350.2710052,
EA,Ae40,Elevation,608.9443632,
EA,Ae41,Elevation,551.4667221,
EA,Ae42,Elevation,643.7513262,
EA,Ae43,Elevation,392.733899,
EA,Ae44,Elevation,172.7890058,
EA,Ae45,Elevation,958.4210598,
EA,Ae46,Elevation,147.0001287,
EA,Ae47,Elevation,448.0832787,
