"soc_id","Latitude","Longitude","OldLat","OldLong"
"Ac27",-13,23,-13,23
"Ad14",-8,38,-8,38
"Ac28",-12,18,-12,18
"Ae16",-6,23,-6,23
"Ac11",-12,22,-12,22
"Ae59",6,10,6,10
"Ac41",-11,40,-11,40
"Ac42",-15,39,-15,39
"Ah4",7,12,7,12
"Ac15",-5,18,-5,18
"Ad5",-4,36,-4,36
"Ab5",-12,16,-12,16
"Aa5",2,28,2,28
"Ad35",0,35,0,35
"Ae24",1,22,1,22
"Ae46",-2,10,-2,10
"Ae33",1,27,1,27
"Ab17",-20,34,-20,34
"Ab9",-20,28,-20,28
"Ac6",-11,26,-11,26
"Ae55",6,10,6,10
"Ae9",6,10,6,10
"Ah26",7,11,7,11
"Ae28",1,18,1,18
"Ae39",2,20,2,20
"Ad16",-10,34,-10,34
"Ac9",-12,33,-12,33
"Ad51",-6,38,-6,38
"Ae42",3,11,3,11
"Ab20",-15,15,-15,15
"Ae4",0,20,0,20
"Ae56",6,11,6,11
"Ae57",6,11,6,11
"Ad6",-9,34,-9,34
"Ad20",-5,33,-5,33
"Ab7",-15,14,-15,14
"Ac38",-16,36,-16,36
"Ad45",0,31,0,31
"Ac39",-13,35,-13,35
"Ad2",2,32,2,32
"Ad36",-4,38,-4,38
"Ab15",-25,30,-25,30
"Ac2",-6,20,-6,20
"Ad21",-7,31,-7,31
"Ae34",1,30,1,30
"Ac30",-18,28,-18,28
"Ad33",-1,40,-1,40
"Af4",6,8,6,8
"Ae29",2,22,2,22
"Ae47",2,10,2,10
"Ad25",-5,36,-5,36
"Ae17",-3,28,-3,28
"Ah15",11,5,11,5
"Ae10",-2,30,-2,30
"Ae8",-3,30,-3,30
"Ad17",-8,33,-8,33
"Ac24",-3,18,-3,18
"Ae43",2,16,2,16
"Ad23",-8,34,-8,34
"Ac40",-18,35,-18,35
"Ad10",-5,38,-5,38
"Ac35",-10,28,-10,28
"Ac16",-1,12,-1,12
"Ab18",-19,31,-19,31
"Ad46",1,33,1,33
"Ae18",-6,25,-6,25
"Ac25",-5,18,-5,18
"Ae11",-4,26,-4,26
"Ad39",-3,36,-3,36
"Ab8",-29,28,-29,28
"Ac17",-6,18,-6,18
"Ad22",-3,34,-3,34
"Ad47",-4,32,-4,32
"Ac18",-5,14,-5,14
"Ab2",-27,32,-27,32
"Ad37",-4,39,-4,39
"Ac19",-3,15,-3,15
"Ae25",-4,25,-4,25
"Ab4",-24,32,-24,32
"Ah25",17,11,17,11
"Ae58",6,12,6,12
"Ad40",0,35,0,35
"Ah3",7,9,7,9
"Ae26",0,24,0,24
"Ad48",1,31,1,31
"Ab13",-24,27,-24,27
"Ac36",-11.975,33.95,-12,34
"Ad26",-5,34,-5,34
"Ab6",-23,30,-23,30
"Af40",5.4,-4,5,-4
"Ah8",6,12,6,12
"Ab11",-32.85,27.9,-33,28
"Ac20",-7,17,-7,17
"Af44",5.4,-4,5,-4
"Ac26",-4,18,-4,18
"Ac7",-13,36,-13,36
"Af50",8,8,8,8
"Ah22",9,10,9,10
"Ac8",-5,13,-5,13
"Ad28",-6,39,-6,39
"Ad49",-3,31,-3,31
"Ah27",7,11,7,11
"Ab12",-29,31,-29,31
"Ai27",4,27,4,27
"Ai3",5,27,5,27
"Ai1",7,22,7,22
"Ai7",6,16,6,16
"Ai23",3,19,3,19
"Ah28",8,11,8,11
"Af56",7,-8,7,-8
"Ai12",10,14,10,14
"Ai13",8,16,8,16
"Ah30",10,12,10,12
"Ai24",6,18,6,18
"Ag25",15,10,15,10
"Ai25",4,21,4,21
"Ai14",7,14,7,14
"Ah31",9,12,9,12
"Ai15",10,14,10,14
"Ai16",9,13,9,13
"Ai26",4,22,4,22
"Ah32",9,13,9,13
"Ah33",10,12,10,12
"Ag37",11,-2,11,-2
"Ag48",9,1,9,1
"Ag5",10,-3,10,-3
"Ag30",13,-4,13,-4
"Ag38",11,-2,11,-2
"Ag39",11,-3,11,-3
"Ag44",9,0,9,0
"Ag33",11,-3,11,-3
"Ag3",15,-3,15,-3
"Ag34",11,-4,11,-4
"Ag45",12,2,12,2
"Ag40",10,-2,10,-2
"Ag49",10,2,10,2
"Ag13",11,-1,11,-1
"Ag10",10,0,10,0
"Ag35",7,-3,7,-3
"Ag41",11,0,11,0
"Ag11",10,-4,10,-4
"Ag28",14,-4,14,-4
"Ag46",10,-1,10,-1
"Ag31",12,-6,12,-6
"Ag50",11,1,11,1
"Ag47",12,-2,12,-2
"Ag12",10,-1,10,-1
"Ag42",12,-3,12,-3
"Ag32",10,-6,10,-6
"Ag51",11,1,11,1
"Ag36",11,-3,11,-3
"Ag52",11,1,11,1
"Ag43",8,-2,8,-2
"Ag2",13,-2,13,-2
"Af21",4.55,6.65,2,6
"Af38",5.25,-3,5,-3
"Af35",6,0,6,0
"Af23",6,8,6,8
"Af27",8,8,8,8
"Af12",7,-1,7,-1
"Ag4",11,-1,11,-1
"Af39",7,-4,7,-4
"Af3",7,-2,7,-2
"Ag6",11,-13,11,-13
"Af41",6,-4,6,-4
"Af45",5.25,-5,5,-5
"Af46",5,-7,5,-7
"Af9",8,-5,8,-5
"Af7",6,-7,6,-7
"Af37",6.05,0.85,3,1
"Af24",6,6,6,6
"Af32",7,3,7,3
"Af33",8,5,8,5
"Af36",7,1,7,1
"Af42",6,-1,6,-1
"Af1",7,2,7,2
"Af43",6,0,6,0
"Af28",10,10,10,10
"Af10",6,7,6,7
"Af29",7,8,7,8
"Af34",7,5,7,5
"Af30",7,7,7,7
"Af13",8,7,8,7
"Af25",5,6,5,6
"Af22",6,5,6,5
"Af31",18,8,18,8
"Af47",6,-8,6,-8
"Af48",5,-9,5,-9
"Af26",7,6,7,6
"Af8",9,6,9,6
"Af6",8,4,8,4
"Af49",6,-9,6,-9
"Ag1",13,-7,13,-7
"Ag53",12,0,12,0
"Ag7",14,-5,14,-5
"Ah29",8,11,8,11
"Ag27",9,-4,9,-4
"Af51",7,-6,7,-6
"Af54",8,-10,8,-10
"Af52",7,-6,7,-6
"Ag23",13,-11,13,-11
"Ag24",9,-11,9,-11
"Af15",7,-9,7,-9
"Ag9",11,-9,11,-9
"Af5",8,-11,8,-11
"Ai45",10,34,10,34
"Ai9",10,16,10,16
"Ag29",13,-3,13,-3
"Aj23",1,36,1,36
"Ag26",15,-13,15,-13
"Af11",11,-9,11,-9
"Af53",8,-7,8,-7
"Af58",7.05,-11.6,7,-12
"Ag54",10,-12,10,-12
"Ai21",11,17,11,17
"Ai35",7,29,7,29
"Ai29",2,30,2,30
"Ai30",2,29,2,29
"Ai31",3,30,3,30
"Ai32",3,32,3,32
"Ai33",4,32,4,32
"Ai5",3,29,3,29
"Ai11",3,28,3,28
"Ai34",5,30,5,30
"Ai28",2,26,2,26
"Aj25",0,36,0,36
"Ai22",9,18,9,18
"Aj10",3,32,3,32
"Aj17",2,31,2,31
"Ai44",8,34,8,34
"Ca32",16,38,16,38
"Aj8",5,32,5,32
"Aj18",5,35,5,35
"Aj19",4,34,4,34
"Aj11",9,29,9,29
"Aa2",0,36,0,36
"Aj13",4,31,4,31
"Aj26",1,36,1,36
"Aj21",3,34,3,34
"Ai36",8,28,8,28
"Aj14",4,31,4,31
"Cb21",8,13,8,13
"Aj9",-1,36,-1,36
"Aj15",4,32,4,32
"Aj22",3,34,3,34
"Aj4",2,33,2,33
"Aj12",4,33,4,33
"Aj6",-1,34,-1,34
"Aj2",-2,36,-2,36
"Cb22",14,0,14,0
"Aj16",6,31,6,31
"Aj7",0,35,0,35
"Aj3",8,32,8,32
"Cb8",13,5,13,5
"Aj29",1,37,1,37
"Aj27",1,35,1,35
"Ai6",10,32,10,32
"Aj20",6,35,6,35
"Aj28",-5,35,-5,35
"Aj1",2,34,2,34
"Aj24",5,34,5,34
"Aj5",4,35,4,35
"Ca33",15,37,15,37
"Cd1",23,33,23,33
"Ai8",12,30,12,30
"Cb11",16,27,16,27
"Ai43",12,29,12,29
"Cc14",17,18,17,18
"Cb18",14,14,14,14
"Cb19",12,13,12,13
"Cc2",21,17,21,17
"Ai46",9,35,9,35
"Ai47",9,35,9,35
"Cc5",18,-3,18,-3
"Cc10",18,8,18,8
"Cc8",8,2,8,2
"Cc11",25,10,25,10
"Cd7",33,-7,33,-7
"Cc15",31,-7,31,-7
"Cd11",28,-16,28,-16
"Cc12",20,2,20,2
"Cd4",36,4,36,4
"Cc4",33,4,33,4
"Cd3",35,-4,35,-4
"Cd8",36,7,36,7
"Cd5",30,-9,30,-9
"Cc3",29,26,29,26
"Cd9",28,-11,28,-11
"Cc9",23,6,23,6
"Cc13",16,0,16,0
"Cd10",34,-2,34,-2
"Ca34",24,34,24,34
"Ca6",12,42,12,42
"Ca35",20,36,20,36
"Ca27",9,35,9,35
"Ca18",5,37,5,37
"Ca11",8,40,8,40
"Ca40",6,38,6,38
"Ca23",6,37,6,37
"Ca19",6,36,6,36
"Ca28",6,37,6,37
"Ca36",18,38,18,38
"Ca5",20,35,20,35
"Ca37",16,36,16,36
"Ca14",5,38,5,38
"Ca15",6,38,6,38
"Ca24",6,36,6,36
"Ca41",6,38,6,38
"Ca10",10,43,10,43
"Ca20",5,36,5,36
"Ca12",8,37,8,37
"Ca9",-4,36,-4,36
"Ca21",5,36,5,36
"Ca4",-4,35,-4,35
"Ca29",8,38,8,38
"Ca39",8,37,8,37
"Ca30",7,36,7,36
"Ca1",6,37,6,37
"Ca13",9,37,9,37
"Ca22",6,37,6,37
"Ca42",7,36,7,36
"Ca25",6,37,6,37
"Ca16",7,38,7,38
"Ca2",8,48,8,48
"Ca17",5,37,5,37
"Ca26",6,37,6,37
"Ah16",9,9,9,9
"Cb27",10,12,10,12
"Ah34",10,13,10,13
"Cb7",11,11,11,11
"Cb5",13,15,13,15
"Ah35",10,12,10,12
"Cb28",10,12,10,12
"Ai17",10,14,10,14
"Ah36",10,13,10,13
"Cb9",12,9,12,9
"Ah37",10,13,10,13
"Ah38",11,14,11,14
"Cb10",12,11,12,11
"Ai18",12,15,12,15
"Cb1",12,10,12,10
"Ah5",11,13,11,13
"Ah7",11,14,11,14
"Ai19",11,15,11,15
"Cb29",12,10,12,10
"Ah39",11,14,11,14
"Cb25",14,8,14,8
"Cb6",11,12,11,12
"Ai20",10,15,10,15
"Cb26",11,8,11,8
"Cd6",30,31,30,31
"Cd12",31,2,31,2
"Ca7",13,38,13,38
"Cj4",32,45,32,45
"Cc7",20,-5,20,-5
"Cc16",32,3,32,3
"Cc17",22,-15,22,-15
"Cj8",33,35,33,35
"Cd2",25,33,25,33
"Ca31",12,37,12,37
"Cb12",13,32,13,32
"Ca8",8,38,8,38
"Cb13",11,25,11,25
"Cd13",30,9,30,9
"Cd14",35,2,35,2
"Cb4",14,32,14,32
"Cj3",32,35,32,35
"Cb14",11,20,11,20
"Cd15",35,-5,35,-5
"Cj6",32,36,32,36
"Cc6",17,31,17,31
"Cc18",19,-1,19,-1
"Cj7",34,36,34,36
"Cj10",31,47,31,47
"Cb15",11,28,11,28
"Cd16",33,-8,33,-8
"Cj5",28,47,28,47
"Cd17",35,5,35,5
"Cc1",22,-13,22,-13
"Cj2",33,37,33,37
"Cd18",30,28,30,28
"Cd19",35,11,35,11
"Cd20",31,22,31,22
"Cb16",13,15,13,15
"Cj1",36,36,36,36
"Ca38",17,39,17,39
"Ca3",14,39,14,39
"Cc19",18,-15,18,-15
"Cd21",37,10,37,10
"Cj9",15,45,15,45
"Cc20",18,-8,18,-8
"Ee1",28,95,28,95
"Ei11",25,94,25,94
"Ej7",21,100,21,100
"Ei13",26,94,26,94
"Ei14",27,94,27,94
"Ei3",20,95,20,95
"Ei19",22,94,22,94
"Ei1",26,91,26,91
"Ei5",26,97,26,97
"Ei7",17,97,17,97
"Ei4",22,93,22,93
"Ee3",28,89,28,89
"Ei2",27,94,27,94
"Ch4",43,46,43,46
"Ee8",28,84,28,84
"Ed8",26,100,26,100
"Ei9",20.6,92.6,20,92
"Ei6",25,94,25,94
"Ei16",26,95,26,95
"Ee6",28,87,28,87
"Ei12",25,94,25,94
"Ee4",30,91,30,91
"Ci2",43,45,43,45
"Ci5",38,30,38,30
"Ea12",30,52,30,52
"Eg1",16,79,16,79
"Eg5",12,76,12,76
"Eb3",46,97,46,97
"Eg11",19,78,19,78
"Eg3",19,81,19,81
"Eg13",20,81,20,81
"Ef6",23,85,23,85
"Eg14",18,82,18,82
"Eg2",11,79,11,79
"Eg10",18,79,18,79
"Eg4",12,77,12,77
"Ej5",12,105,12,105
"Ej15",13,104,13,104
"Ej2",12,107,12,107
"Ei8",26,92,26,92
"Ej1",20,101,20,101
"Ej12",18,98,18,98
"Eh5",7.05,93.7,9,92
"Ei18",23,97,23,97
"Eg9",22,81,22,81
"Eb7",41,115,41,115
"Ef4",22,85,22,85
"Ed10",37,118,37,118
"Ef1",24,87,24,87
"Ej3",5,101,5,101
"Ej14",4,102,4,102
"Ej4",17,107,17,107
"Ej13",21,105,21,105
"Ih5",-21.35,165.25,-22,165
"Ic2",-8,125,-8,125
"Ic11",-3.63,128.1,-4,128
"Ia9",22.5,120.9,22,121
"Eh9",-23,47.7,-23,48
"Eh7",-25,46,-25,46
"Ia1",24,121,24,121
"Ig13",-1.8,142.8,-2,143
"Ia13",-5.17,120,5,120
"Ib3",-8,115,-8,115
"Ib4",2,99,2,99
"Ic3",-8.9,125.9,-9,126
"If12",12,165,12,165
"Ia8",17,121,17,121
"Ih3",-16,168,-16,168
"Ia10",24,121,24,121
"Ie28",-7,147,-7,147
"If15",15.1,145.9,15,146
"Ej11",11,108,11,108
"If8",13.7,144.7,15,145
"Ig12",-6.7,156.55,-6,156
"Ig14",-10,150,-10,150
"Ig5",-10,151,-10,151
"Ib5",6,117,6,117
"Ij9",-27,-109,-27,-190
"Ii4",-7.9,178.7,-8,178
"Ii8",-14.2,-178.1,-14,-178
"If7",-2,174,-2,174
"Ia5",13,121,13,121
"Ij6",20,-155.9,20,-156
"Ib1",2,112,2,112
"Ia3",17,121,17,121
"If4",7,147,7,147
"Ic7",-8,123,-8,123
"Ib2",-7,110,-7,110
"Ia16",18,121,18,121
"Ig20",-10,161,-10,161
"Ii7",1.1,154.9,1,155
"Ic8",-5.7,132.95,-6,133
"Ib8",-3,103,-3,103
"Ig3",-5.6,154.85,-5,154
"If11",5.3,162.95,5,163
"Ig7",-5,151,-5,151
"If16",7.3,143.8,7,146
"Ih4",-18,179,-18,179
"Ig4",-3.15,151.65,-3,153
"Ih7",-21,164.75,-21,163
"Ic1",-5.1,119.45,-5,119
"If3",7.1,171.1,7,171
"If14",3.1,173.1,3,173
"Ej8",5,103,5,103
"Ie29",-4.3,145,-4,145
"Ij1",-21.9,-158,-22,-158
"Ij7",-20,-134,-20,-134
"Ij4",-10.2,-160.55,-10,-160
"Ia15",8,126,8,126
"Ig9",-2,147,-2,147
"Ij2",-37,175,-35,175
"Ij3",-8.9,-140.1,-9,-140
"If17",6,169,6,169
"Ih14",-18,179,-18,179
"Ib7",-3,100,-3,100
"Eh2",-19,46,-19,46
"Ib6",-1,101,-1,101
"Ih1",-13.7,167.7,-14,168
"Ie10",-9,147,-9,147
"If13",-0.9,166.6,-1,166
"Ej16",21,102,21,102
"Ii9",-19,-169.8,-19,-169
"Ii5",-5,160,-5,160
"Ia6",22,120.75,22,121
"If1",7.3,134.7,7,135
"If5",7,158,7,158
"Ii3",-10.9,-165.9,-11,-166
"Ia11",23,121,23,121
"Ij5",-16,-142,-16,-142
"Ii10",-11.7,160.3,-12,160
"Ej10",13,108,13,108
"Ic4",-10.8,123,-11,123
"Ih6",-12.7,177.1,-13,177
"Ia2",17,121,17,121
"Eh8",-21,44,-21,41
"Ii1",-14.1,-170.75,-14,-170
"Ej6",12,98,12,98
"Ih2",-16.5,167.5,-17,167
"Ia4",8,123,8,123
"Ia12",10,124,10,124
"Ic9",-10,120,-10,120
"Ic12",-4,118,-4,118
"Ia7",10.1,119,10,119
"Ij8",-17.7,-149.55,-18,-150
"Eh3",-22,47,-22,47
"Ig21",-4.3,153,-3,153
"Ic6",-8,131,-8,131
"Ih10",-19.5,169.3,-20,168
"Ii2",-12,168,-12,168
"Ii6",-9.1,-171.9,-9,-172
"Ii12",-19.9,-174.1,-20,-174
"Ij10",-9,-158.1,-9,-158
"Ic5",-2,121,-2,121
"Ig2",-8.6,151.1,-8,151
"If2",7.4,151.9,7,152
"Ig6",-10,161,-10,161
"If9",10,139.9,10,140
"Ii14",-14,172,-14,172
"Ig10",-2,147,-2,147
"Ii13",-13.1,-176.1,-13,-176
"Ih8",-17.6,178.4,-17,179
"Ie6",-2,137,-2,137
"Ie4",-3.8,144,-3,144
"Ia14",22.7,121.1,22,122
"If6",9.55,138.15,9,138
"Ie22",-9,147,-9,147
"Ih9",-10.7,165.9,-11,166
"Ie15",4,-145,4,-145
"Ie3",-4,144,-4,144
"Ie27",-4.3,145,-4,145
"Ie38",-4,139,-4,139
"Ie39",-7.7,145,-8,145
"Ie7",-6,144,-6,144
"Ie31",-6,145,-6,145
"Ie35",-4,143,-4,143
"Ie11",-6,144,-6,144
"Ie1",-4,136,-4,136
"Ed15b",31,120,31,120
"Ed2",29,103,29,103
"Ie13",-9,143,-9,143
"Ie24",-9,148,-9,148
"Ie20",-9,147,-9,147
"Ie16",-6,143,-6,143
"Ie12",-4,142,-4,142
"Ed6",24,115,24,115
"Ie21",-10,149,-10,149
"Ed9",19,109,19,109
"Ie30",-4,135,-4,135
"Ie14",-9.9,143.9,-10,144
"Eg6",11,76,11,76
"Eg7",21,85,21,85
"Ie9",-9,148,-9,148
"Ie8",-7,145,-7,145
"Ig11",-11.4,154.1,-9,154
"Ie17",-6,145,-6,145
"Ie32",-6,147,-6,147
"Eg8",22,85,22,85
"Ej9",15,100,15,100
"Ic10",1,128,1,128
"Ie2",-7,147,-7,147
"Id11",-12,135,-12,135
"Id3",-12,131,-12,131
"Id1",-24,134,-24,134
"Id4",-28,138,-28,138
"Id5",-21,118,-21,118
"Id2",-12,136,-12,136
"Id10",-22,132,-22,132
"Id6",-14,142,-14,142
"Id9",-32,146,-32,146
"Id12",-15,142,-15,142
"Ie18",-7.45,138.4,-7,138
"Ie19",-8,139,-8,139
"Ce1",42,20,42,20
"Ch9",55,24,55,24
"Cg3",53,-9,53,-9
"Cf2",-16,28,-16,28
"Cg1",53,7,53,7
"Cg2",64,-20,64,-20
"Cf1",42,-73,42,-73
"Cf3",-37.1,-12.1,-37,-12
"Ce7",39,23,39,23
"Ef2",23,88,23,88
"Ef5",22,74,22,74
"Ei10",23,92,23,92
"Ee5",35,73,35,73
"Ef9",20,77,20,77
"Ef8",34,75,34,75
"Ea4",35,73,35,73
"Ea5",36,71,36,71
"Ef7",30,78,30,78
"Ea13",32,73,32,73
"Ea1",25,68,25,68
"Eh6",7,80,7,80
"Ef11",26,83,26,83
"Eh4",8,81,8,81
"Ci10",40,45,40,45
"Ea11",33,68,33,68
"Ea8",33,48,33,48
"Ea6",30,34,30,34
"Ea3",35,66,35,66
"Ea9",36,52,36,52
"Ci11",32,44,32,44
"Ea10",30,69,30,69
"Ci6",43,44,43,44
"Ea2",35,72,35,72
"Cf4",-14.13,-51.85,-43,-47
"Se7",-18,-63,-18,-63
"Sc18",5,-54,5,-54
"Cf5",47,-72,47,-72
"Sb9",18.15,-72,18,-72
"Ce5",41.35,13,41,13
"Ce2",42,-7,42,-7
"Ce3",42,12,42,12
"Sc6",4,-56,4,-56
"Ce6",37,-6,37,-6
"Cg5",50,5,50,5
"Ch5",43,24,43,24
"Ch6",55,28,55,28
"Ch3",50,16,50,16
"Ch2",49,24,49,24
"Ch11",53,41,53,41
"Ch1",44,20,44,20
"Ch7",48,36,48,36
"Ci12",43,41,43,41
"Ci4",44,42,44,42
"Ci7",43,46,43,46
"Ci8",42,45,42,45
"Ie23",-6,141,-6,141
"Ci9",43,43,43,43
"Ie25",-8,147,-8,147
"Ch8",47,20,47,20
"Cg4",68,22,68,22
"Ec11",59,90,59,90
"Ec4",68,75,68,75
"Ec10",62,74,62,74
"Ec9",47,132,47,132
"Ed3",45,126,45,126
"Eb6",52,107,52,107
"Ie26",-6,146,-6,146
"Eb4",49,125,49,125
"Ci1",46,46,46,46
"Ie33",-2,138,-2,138
"Ea7",34,63,34,63
"Eb2",39,100,39,100
"Eb1",48,70,48,70
"Ci3",42,48,42,48
"Ie5",-9,142,-9,142
"Eb5",38,62,38,62
"Ig1",-6,155,-6,155
"Ec2",65,125,65,125
"Ed5",35,136,35,136
"Ed7",26.3,127.8,26,128
"Ec3",66,177,66,177
"Ec5",62,164,62,164
"Ed4",26,107,26,107
"Na9",54,-167,54,-167
"Na11",63.1,-170,63,-170
"Na13",65.5,-64.95,65,-65
"Na21",63,-96,63,-96
"Na10",60.27,-147,60,-147
"Na3",69,-110,69,-110
"Na25",68.3,-53,69,-53
"Na12",68,-152,68,-152
"Na23",58,-65,58,-65
"Na43",69,-96,69,-96
"Na16",65,-119,65,-119
"Na6",60,-166,60,-166
"Na14",78,-70,78,-70
"Na2",71,-157,71,-157
"Na22",70,-81.85,70,-82
"Na24",66,-37,66,-37
"Na34",52,-94,52,-94
"Na29",58,-117,58,-117
"Na19",54,-124,54,-124
"Na35",50,-88,50,-88
"Na30",60,-105,60,-105
"Na15",63,-117,63,-117
"Na8",62,-160,62,-160
"Na4",59,-128,59,-128
"Na20",66,-135,66,-135
"Na1",63,-141,63,-141
"Ne7",54,-110,54,-110
"Na38",46,-92,46,-92
"Na28",56,-123,56,-123
"Na17",61,-120,61,-120
