soc_id,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v1001,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88
Nc31,6,4,0,0,0,6,8,7,2,8,2,1,8,3,9,6,1,6,6,1,1,9,9,7,8,15,9,5,1,1,2,0,3,1,2,5,0,1,0,1,1,1,1,1,9,9,1,8,9,0,0,1,1,9,9,10,10,9,9,10,0,0,9,9,10,10,1,9,1,9,1,1,1,1,0,0,1,9,0,5,2,8,8,8,0,0,0,0,0
Nc32,6,4,0,0,0,6,8,2,2,8,2,1,8,3,9,6,1,6,6,1,1,9,9,7,8,15,9,5,1,1,2,0,2,1,0,5,0,1,0,1,1,1,1,1,9,9,1,8,9,0,6,1,0,9,9,10,10,9,9,10,0,9,9,0,10,10,1,9,1,9,1,1,1,1,0,0,1,9,0,2,2,11,4,8,0,0,0,0,0
Nc5,6,3,1,0,0,6,8,5,3,8,2,1,8,9,11,6,1,6,3,1,1,9,9,8,7,15,9,6,1,1,3,0,2,1,0,5,3,1,1,1,1,1,1,1,9,9,0,9,9,0,0,1,0,9,9,10,10,0,10,10,0,0,9,0,10,10,1,9,1,9,1,1,1,1,1,9,1,9,0,2,1,11,2,4,0,0,0,0,0
Nd10,2,3,5,0,0,6,8,7,6,12,2,1,12,3,9,4,9,1,1,1,1,1,9,7,8,15,9,4,1,1,2,0,3,2,0,5,3,1,0,1,1,1,2,6,9,8,5,9,8,0,0,2,2,9,9,10,9,9,10,9,0,0,9,9,10,10,2,9,1,9,4,3,7,5,0,0,0,0,3,2,1,11,9,9,5,1,7,8,7
Nd12,3,4,3,0,0,6,8,5,3,12,2,1,12,3,9,3,9,1,1,1,1,2,9,7,8,15,9,4,1,1,2,0,2,2,1,5,6,1,1,1,4,1,3,6,9,9,6,9,8,6,6,1,2,1,9,10,10,9,10,9,9,9,9,9,9,10,1,9,1,9,2,3,1,1,1,9,0,0,3,3,1,11,8,7,2,2,11,4,5
Nd14,3,4,3,0,0,6,8,7,3,10,2,1,10,9,11,3,9,1,1,1,1,1,9,12,5,15,9,0,1,1,2,3,3,2,1,5,3,1,2,1,4,1,3,6,9,9,6,9,8,6,5,1,2,0,9,10,10,9,10,9,9,9,9,9,0,10,2,9,1,9,2,3,6,5,1,9,0,0,2,2,1,11,4,7,3,1,11,8,7
Nd2,3,6,1,0,0,6,8,2,2,11,2,3,11,1,10,3,9,1,1,1,1,1,9,7,8,15,9,4,2,0,2,0,2,1,2,5,5,1,1,1,4,1,3,6,9,9,6,9,9,6,5,1,1,1,3,10,10,9,10,10,9,9,9,9,9,9,1,9,1,9,1,1,1,1,1,9,1,9,6,2,2,11,4,4,2,2,11,2,8
Nd22,5,3,2,0,0,6,8,2,2,9,1,3,11,1,10,3,9,1,1,1,1,1,9,7,8,15,9,4,1,1,2,1,2,1,1,5,3,1,1,1,1,1,1,6,9,9,6,9,9,1,6,1,1,9,9,10,10,9,10,10,9,9,9,9,10,10,1,9,1,9,1,1,7,5,1,9,1,9,3,2,2,11,2,7,2,2,11,4,8
Nd27,5,2,3,0,0,6,8,2,2,9,2,3,9,9,11,3,9,1,1,1,1,1,9,7,8,15,9,4,1,1,2,1,2,1,1,5,4,1,1,1,1,1,1,6,9,9,2,9,9,3,5,1,1,9,9,10,10,9,10,10,9,9,9,9,10,10,1,9,1,9,1,1,7,5,1,9,1,9,0,2,2,11,2,7,0,0,0,0,0
Nd32,6,4,0,0,0,6,8,2,2,9,2,3,9,2,6,3,9,1,1,1,1,1,9,7,8,15,9,4,1,1,2,1,2,1,0,5,2,1,1,1,1,1,1,6,9,9,5,6,9,1,6,1,9,9,9,10,10,9,9,10,9,9,9,10,10,10,1,9,1,9,1,1,1,1,1,9,1,9,0,2,1,11,4,8,2,2,11,2,8
Nd43,5,4,1,0,0,6,8,2,2,11,2,3,11,1,10,3,9,1,1,1,1,1,9,1,3,15,9,4,1,1,2,1,2,1,2,5,0,1,1,1,1,1,1,6,9,6,4,6,9,4,6,1,1,9,9,10,9,9,9,10,9,9,9,9,10,10,1,9,1,9,1,1,9,9,1,9,1,9,6,2,2,11,2,8,2,2,11,4,8
Nd48,5,4,1,0,0,6,8,2,2,11,2,3,11,1,10,3,9,1,1,1,1,1,9,1,3,1,1,4,1,1,2,1,2,1,0,5,5,1,1,1,1,1,1,6,9,6,6,8,9,1,5,1,0,9,9,10,9,9,9,10,9,9,9,0,10,10,1,9,1,9,1,1,9,9,1,9,1,9,3,0,0,0,0,0,0,0,0,0,0
Nd49,5,3,2,0,0,6,8,2,2,9,2,3,9,9,11,0,0,1,1,1,1,1,9,7,8,15,9,4,1,1,2,1,2,1,0,5,5,1,1,1,1,1,1,6,9,5,6,9,9,1,5,1,0,9,9,10,9,9,10,10,9,9,9,0,10,10,1,9,1,9,1,1,7,5,1,9,1,9,3,2,1,11,8,8,0,0,0,0,0
Nd5,5,3,2,0,0,6,8,7,3,2,2,2,2,9,11,1,9,1,1,1,1,1,9,7,8,15,9,4,1,1,2,0,2,1,1,5,0,1,1,1,1,1,1,6,9,9,8,9,9,0,4,1,0,9,9,10,10,9,10,10,0,9,9,0,10,10,1,9,1,9,1,1,1,1,1,9,7,1,0,2,2,11,4,8,2,2,11,2,8
Nd52,5,4,0,0,1,6,8,2,2,9,1,2,2,9,11,3,9,1,1,1,1,1,9,7,8,15,9,4,6,6,2,0,2,1,0,5,3,1,1,1,1,1,1,6,9,5,6,6,9,1,6,1,9,9,2,10,9,9,9,10,9,9,9,10,10,9,1,9,1,9,1,1,4,5,5,1,1,9,0,2,2,11,4,8,0,0,0,0,0
Nd53,7,3,0,0,0,6,8,2,2,9,1,1,10,9,11,3,9,1,1,1,1,1,9,7,8,15,9,4,6,6,2,1,2,1,0,5,3,1,1,1,1,1,1,6,9,9,6,1,9,3,5,1,9,9,3,10,10,9,9,10,9,9,9,10,10,9,1,9,1,9,1,1,7,5,7,1,1,9,6,2,2,11,4,8,0,0,0,0,0
Nd54,6,3,0,0,1,6,8,1,1,2,2,2,2,9,11,3,9,1,1,1,1,1,9,7,8,15,9,4,6,6,2,0,2,1,1,5,3,1,1,1,1,1,1,6,9,9,1,6,9,0,5,1,9,9,0,10,10,9,9,10,0,9,9,10,10,0,1,9,1,9,1,1,1,1,0,0,1,9,0,2,1,11,9,9,0,0,0,0,0
Nd56,5,3,1,0,1,6,8,2,2,11,2,3,11,1,10,0,0,1,1,1,1,1,9,7,8,15,9,4,6,6,2,0,2,1,0,5,3,1,1,1,4,1,1,6,9,6,1,9,9,4,4,1,8,8,0,10,9,9,10,10,9,9,9,9,9,0,1,9,1,9,1,1,7,5,5,1,1,9,3,5,2,8,8,8,2,2,11,4,4
Nd58,3,4,3,0,0,6,8,2,2,11,2,3,11,1,10,3,9,1,1,1,1,1,9,7,8,15,9,4,1,1,2,0,2,1,0,5,5,1,0,1,4,1,3,6,9,6,6,6,9,6,5,1,1,0,9,10,9,9,9,10,9,9,9,9,0,10,1,9,1,9,1,1,1,1,1,9,1,9,0,2,2,11,2,8,2,2,11,4,8
Nd6,4,3,3,0,0,6,8,2,2,9,1,2,2,2,6,3,9,1,1,1,1,1,9,7,8,15,9,4,1,1,2,1,2,1,1,5,4,1,1,1,1,1,1,6,9,9,1,9,9,4,5,1,4,9,9,10,10,9,10,10,9,9,9,9,10,10,1,9,1,9,1,1,1,1,1,9,1,9,0,2,2,11,4,3,2,2,11,2,8
Nd63,3,5,2,0,0,6,8,2,2,11,2,3,11,1,10,4,9,1,1,1,1,1,9,8,7,15,9,4,1,1,2,2,2,2,0,5,3,1,1,1,4,1,3,6,9,9,6,9,9,0,6,1,1,0,9,10,10,9,10,10,0,9,9,9,0,10,1,9,1,9,1,1,7,5,1,9,1,9,3,2,2,11,4,5,2,2,11,4,8
Nd65,6,4,0,0,0,6,8,7,2,9,1,1,12,3,9,3,9,1,1,1,1,1,9,1,3,15,9,5,2,6,2,1,3,1,1,5,3,1,1,1,4,1,1,6,9,4,1,6,9,1,6,1,9,9,2,10,9,9,9,10,9,9,9,10,10,9,1,9,1,9,1,1,1,1,0,0,1,9,3,2,2,11,2,8,0,0,0,0,0
Nd7,3,3,4,0,0,6,8,2,2,9,1,1,12,3,9,3,9,1,1,1,1,1,9,7,8,15,9,4,1,1,2,0,2,2,2,5,3,1,1,1,4,1,2,6,9,9,6,8,1,3,6,1,1,1,9,10,10,9,9,9,9,9,9,9,9,10,1,9,1,9,2,2,5,5,1,9,7,1,3,5,1,11,8,7,2,2,11,4,7
Nd9,2,3,5,0,0,6,8,7,3,12,2,1,12,3,9,4,9,1,1,1,1,2,9,7,8,15,9,4,1,1,2,0,3,1,1,5,3,1,1,1,1,1,2,6,9,9,4,9,8,0,0,1,2,9,9,10,10,9,10,9,0,0,9,9,10,10,2,9,1,9,2,3,1,1,1,9,7,1,2,2,1,11,9,9,5,1,11,8,7
Ne10,0,3,2,0,5,6,8,7,3,9,2,3,9,9,11,0,0,1,1,1,1,1,9,0,0,0,0,1,5,6,7,5,3,3,0,5,0,1,0,1,4,1,7,6,9,9,6,6,6,0,0,1,1,0,6,10,10,9,9,9,0,0,9,9,0,9,0,0,1,9,1,1,1,1,0,0,0,0,0,2,1,3,2,9,2,2,11,4,5
Ne14,2,6,2,0,0,6,8,2,2,0,0,0,0,0,0,3,9,4,4,1,1,9,9,12,5,15,9,5,1,1,1,4,2,1,2,5,0,1,1,1,4,1,3,1,9,9,6,9,8,6,5,1,1,1,9,10,10,9,10,9,9,9,9,9,9,10,1,9,1,9,1,1,1,1,1,9,0,0,3,2,2,11,4,5,2,2,11,4,4
Ne15,1,2,1,0,6,6,8,7,3,5,2,3,5,9,11,3,9,1,1,6,4,9,9,8,7,15,9,1,5,6,3,5,3,1,2,5,0,1,1,1,4,1,7,3,9,9,6,6,6,5,6,1,0,2,6,10,10,9,9,9,9,9,9,0,9,9,1,9,1,9,1,1,7,5,0,0,7,0,0,2,1,3,2,9,2,2,11,4,5
Ne17,1,9,0,0,0,6,8,5,3,12,2,1,12,3,9,3,9,1,1,1,1,2,9,8,7,15,9,4,1,1,2,3,3,2,0,0,0,1,1,1,4,1,3,6,9,9,8,0,0,6,0,1,9,0,9,10,10,9,0,0,9,0,9,10,0,10,1,9,1,9,1,1,5,5,1,9,0,0,0,2,2,11,4,5,0,0,0,0,0
Ne3,1,9,0,0,0,6,8,8,3,2,2,2,2,9,11,1,9,1,1,1,1,1,9,8,7,15,9,4,1,1,1,0,3,1,0,0,0,1,0,1,4,1,3,6,9,9,6,9,9,0,6,1,9,1,9,10,10,9,10,10,0,9,9,10,9,10,1,9,1,9,2,2,7,5,1,9,1,9,0,2,2,11,4,5,0,0,0,0,0
Ne6,0,3,2,0,5,6,8,7,3,5,2,3,5,1,10,3,9,1,1,6,4,9,9,6,4,15,9,1,5,6,3,0,3,2,0,0,0,1,1,1,4,1,7,3,9,9,0,8,0,0,9,1,1,1,6,10,10,0,9,0,0,10,9,9,9,9,1,9,1,9,1,1,0,0,0,0,2,0,0,2,1,11,2,9,2,2,11,4,5
Ne9,2,8,0,0,0,6,8,8,3,9,2,3,9,9,11,4,9,1,1,1,1,1,9,7,8,15,9,4,1,1,2,4,3,2,1,5,6,1,1,1,4,1,3,6,9,9,6,9,0,6,6,1,9,1,9,10,10,9,10,0,9,9,9,10,9,10,1,9,1,9,1,1,5,5,1,9,1,9,2,2,2,11,4,5,0,0,0,0,0
Nf10,0,5,0,0,5,6,8,2,2,9,1,1,8,9,11,0,0,6,4,1,1,9,9,0,0,0,0,6,3,6,3,0,3,2,0,5,0,1,1,1,4,1,8,1,9,9,6,6,0,1,0,1,0,1,0,10,10,9,9,0,9,0,9,0,9,0,4,9,1,9,1,1,1,2,0,0,0,0,0,2,1,3,2,9,2,2,11,4,5
Nf6,1,4,0,0,5,6,8,8,3,5,2,3,5,9,11,1,9,1,1,3,3,9,9,12,5,11,5,1,3,6,3,4,3,2,2,5,2,1,3,1,4,1,6,3,9,9,6,6,0,3,0,1,0,1,6,10,10,9,9,0,9,0,9,0,9,9,4,9,1,9,2,2,1,1,1,9,3,4,0,2,1,11,2,9,2,2,11,4,5
Nf8,1,3,1,0,5,6,8,8,2,11,2,3,11,1,10,3,9,1,1,1,1,1,9,7,8,15,9,4,3,6,6,0,3,3,4,5,0,1,1,1,1,1,6,6,9,9,5,6,0,1,6,1,0,9,5,10,10,9,9,0,9,9,9,0,10,9,4,9,1,9,2,3,1,1,0,0,0,0,0,2,2,11,3,8,0,0,0,0,0
Nf9,4,2,2,0,2,6,8,7,6,8,2,1,8,9,11,6,1,6,6,1,1,9,9,8,7,15,9,6,3,6,3,0,3,2,0,5,0,1,0,1,1,1,1,1,9,0,6,6,8,6,5,1,1,9,6,10,0,9,9,9,9,9,9,9,10,9,1,9,1,9,3,2,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
Ng1,1,1,3,0,5,6,8,8,1,5,2,3,5,9,11,2,9,1,1,4,4,9,9,7,8,15,9,5,3,6,3,5,3,2,2,5,6,1,1,1,1,1,6,3,9,9,6,6,1,1,6,1,1,9,6,10,10,9,9,9,9,9,9,9,10,9,2,9,1,9,1,1,2,4,0,0,0,0,6,5,2,1,1,4,0,0,0,0,0
Ng10,1,3,2,0,4,6,8,8,1,5,2,3,5,9,11,2,9,1,1,6,6,2,9,0,0,0,0,5,3,6,7,4,3,3,2,5,5,1,2,1,1,1,6,7,9,9,8,6,1,1,6,1,1,9,6,10,10,9,9,9,9,9,9,9,10,9,1,9,1,9,1,1,2,4,0,0,2,1,6,5,2,4,1,4,0,0,0,0,0
Ng11,1,1,2,0,6,6,8,2,2,6,2,2,6,3,9,3,9,1,1,4,4,9,9,0,0,0,0,1,3,6,7,0,3,2,0,5,0,1,0,1,1,1,6,3,9,0,8,6,8,0,0,1,4,9,4,10,0,9,9,9,0,0,9,9,10,9,1,9,1,9,1,1,6,5,0,0,0,0,0,5,2,2,8,9,0,0,0,0,0
Ng12,2,2,2,0,4,6,8,2,2,5,2,3,5,2,6,3,9,1,1,6,6,9,9,7,8,15,9,1,3,6,5,0,2,2,0,0,0,1,1,1,1,1,6,3,9,9,6,6,8,1,0,1,0,9,5,10,10,9,9,9,9,0,9,0,10,9,1,9,1,9,1,1,0,0,0,0,0,0,0,2,2,2,4,4,5,2,0,8,8
Ng5,1,2,2,0,5,6,8,7,2,5,2,3,5,9,11,2,9,1,1,4,4,9,9,12,5,15,9,1,3,6,7,4,3,3,0,5,0,1,1,1,1,1,6,3,9,0,0,6,1,0,6,1,1,9,5,10,0,0,9,9,0,9,9,9,10,9,1,9,1,9,1,1,0,0,0,0,0,0,0,5,2,2,8,3,2,2,11,4,9
Ng6,2,2,2,0,4,6,8,8,2,5,2,3,5,1,10,2,9,1,1,4,4,9,9,0,0,0,0,4,3,6,3,4,3,1,3,0,0,1,1,1,1,1,6,3,9,0,6,6,1,1,5,1,1,9,5,10,0,9,9,9,9,9,9,9,10,9,1,9,1,9,1,1,2,4,3,0,0,0,6,2,2,11,2,4,5,2,4,0,4
Ng7,0,3,2,0,5,6,8,7,3,10,2,1,10,9,11,3,9,1,1,1,1,1,9,7,8,15,9,8,3,6,7,4,3,2,2,2,0,1,0,1,1,1,6,6,9,6,6,6,1,1,0,1,1,9,5,10,9,9,9,9,9,0,9,9,10,9,3,9,4,9,0,0,2,3,0,0,0,0,6,5,2,2,2,8,0,0,0,0,0
Nh1,6,4,0,0,0,6,8,7,3,11,2,3,11,1,10,3,9,1,1,1,1,1,9,7,8,15,9,4,2,6,1,0,3,1,1,5,6,1,1,1,4,1,1,6,9,9,6,6,9,6,6,1,9,1,4,10,10,9,9,10,9,9,9,10,9,9,1,9,1,9,1,1,7,5,1,9,1,9,2,2,2,11,2,8,0,0,0,0,0
