xd_id,xd_name,iso_6933,N_iso_shared,glottocode,DND.TempVsFinal,DND.glottocodeNotes,DND.glottocodeEditor,GlottoMaxParentID,GlottoMaxParentName,GlottoMaxParentLevel,EthnologueLangFam
xd55,Bemba,bem,2,town1238,TEMP,"final, though may be over-resolved",2,atla1278,Atlantic-Congo,family,
xd664,Bengali,ben,1,beng1280,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,indo1319,Indo-European,family,
xd241,Bete,bet,1,guib1246,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd366,Jur,bex,1,jurm1239,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,cent2225,Central Sudanic,family,
xd78,Bena,bez,1,bena1262,final,final,1,atla1278,Atlantic-Congo,family,
xd390,Kuku,bfa,3,kuku1285,TEMP,"final, though may be over-resolved",2,nilo1247,Nilotic,family,
xd413,Bari,bfa,3,ligo1238,final,final,3,nilo1247,Nilotic,family,
xd388,Fajulu,bfa,3,poju1239,TEMP,"final, though may be over-resolved",2,nilo1247,Nilotic,family,
xd185,Fut,bfd,1,bafu1246,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd174,Fungom,bfm,1,mmen1238,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd273,Lowiili,bfo,1,malb1235,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd669,Pahari,bfz,1,maha1287,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,indo1319,Indo-European,family,
xd249,Baga,bgo,1,baga1273,final,final,1,atla1278,Atlantic-Congo,family,
xd597,Marri,bgp,1,east2304,final,final,1,indo1319,Indo-European,family,
xd667,Bhil,bhb,1,bhil1251,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,indo1319,Indo-European,family,
xd683,Hill Bhuiya,bhc,1,biga1238,final,final,1,aust1307,Austronesian,family,
xd292,Bisa,bib,1,biss1248,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,mand1469,Mande,family,
xd252,Biafada,bif,1,biaf1240,final,final,1,atla1278,Atlantic-Congo,family,
xd202,Edo,bin,1,bini1246,final,final,1,atla1278,Atlantic-Congo,family,
xd288,Birifor,biv,1,sout2790,final,final,1,atla1278,Atlantic-Congo,family,
xd911,Birhor,biy,1,birh1242,final,final,1,aust1305,Austroasiatic,family,
xd157,Budja,bja,1,budz1238,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd253,Bijogo,bjg,1,bidy1244,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd420,Burji,bji,1,burj1242,final,final,1,afro1255,Afro-Asiatic,family,
xd226,Bakwe,bjw,1,bakw1243,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd926,Baka,bkc,1,baka1272,final,final,1,atla1278,Atlantic-Congo,family,
xd175,Koko,bkh,1,bako1249,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd176,Kom,bkm,1,mbiz1238,final,final,1,atla1278,Atlantic-Congo,family,
xd183,Babwa,bko,1,kwaa1265,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd1400,Bacairi,bkq,1,baka1277,final,final,1,cari1283,Cariban,family,
xd194,Boki,bky,1,boky1238,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd1212,Blood,bla,4,bloo1239,TEMP,"final, though may be over-resolved",2,algi1248,Algic,family,
xd1211,Blackfoot,bla,4,pieg1239,TEMP,"final, though may be over-resolved",2,algi1248,Algic,family,
xd996,Peigan,bla,4,pieg1239,TEMP,"final, though may be over-resolved",2,algi1248,Algic,family,
xd1217,Piegan,bla,4,pieg1239,TEMP,"final, though may be over-resolved",2,algi1248,Algic,family,
xd1106,Bellacoola,blc,1,bell1243,final,final,1,sali1255,Salishan,family,
xd250,Balante,ble,1,bala1301,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd350,Bagirmi,bmi,1,bagi1246,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,cent2225,Central Sudanic,family,
xd164,Sanga,bmw,1,bomw1238,final,final,1,atla1278,Atlantic-Congo,family,
xd168,Puku,bnm,1,bata1285,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd733,Bunun,bnn,1,bunu1267,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,aust1307,Austronesian,family,
xd847,Bakovi,bnp,1,bola1250,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,aust1307,Austronesian,family,
xd925,Bambote,bnx,1,homb1238,final,final,1,atla1278,Atlantic-Congo,family,
xd656,Tibetans,bod,1,tibe1272,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,sino1245,Sino-Tibetan,family,
xd484,Bolewa,bol,1,nucl1695,final,final,1,afro1255,Afro-Asiatic,family,
xd306,Birom,bom,1,bero1242,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd1397,Bororo,bor,1,boro1282,final,final,1,boro1281,Bororoan,family,
