ID,STANDARD SOCIETY NAME Binford,Name_EA_society,EA_match_Note,HRAF_ID (OWC),eHRAF Name,# in SCCS (same time/place focus)?,# in SCCS (different time/place focus),SCCS Name,StdLng_ID_Claire_Bowern_Aus_database,Name_Claire_Bowern_Aus_database
B212,Honey Lake Paiute,NA,NA,,,,,,,
B213,Hukundika Shoshoni,Hukundika,NA,,,,,,,
B214,Gosiute Shoshoni,Gosiute,NA,,,,,,,
B215,Spring Valley Shoshoni,Spring Valley,NA,,,,,,,
B216,White Knife Shoshoni,White Knife,NA,,,,,,,
B217,Railroad Valley Shoshoni,Hamilton,NA,,,,,,,
B218,Reese River Shoshoni,Mahaguaduka,NA,,,,,,,
B219,North Fork Mono Paiute,NA,NA,,,,,,,
B221,Grouse Creek Shoshoni,Tubaduka,NA,,,,,,,
B222,Southern Ute (Wimonantci Ute),Southern Ute,NA,,,,,,,
B223,Bear Creek Paiute,NA,NA,,,,,,,
B224,Antelope Valley Shoshoni,NA,NA,,,,,,,
B225,Washo,Washo,NA,,,,,,,
B226,Kidutokado (Surprise Valley Paiute),Kidutokado,NA,,,,,,,
B227,Wind River Shoshoni,Wind River,NA,,,,,,,
B228,Wadadika (Ruby Valley Shoshoni),Wadaduka,NA,,,,,,,
B229,Bohogue (Northern  Shoshoni),Bohogue,NA,,,,,,,
B230,Uintah Ute,Uintah,NA,,,,,,,
B231,Wadadokado Paiute,Wadadokado,NA,,,,,,,
B232,Agaiduka Shoshoni,Agaiduka,NA,,,,,,,
B233,Little Smokey Shoshoni,Wiyambituka,NA,,,,,,,
B234,Uncompahgre Ute,Uncompahgre,NA,,,,,,,
B240,Lipan Apache,Lipan,NA,,,,,,,
B241,Comanche,Comanche,NA,,,,,,,
B242,Chiricahua Apache,Chiricahua,NA,,,,,,,
B243,Kiowa,Kiowa,NA,,,,,,,
B244,Kiowa Apache,Kiowa Apache,NA,,,,,,,
B245,Cheyenne,Cheyenne,NA,,,,,,,
B246,Arapaho,Arapaho,NA,,,,,,,
B248,Crow,Crow,NA,,,,,,,
B249,Teton Sioux (Lakota),Teton,NA,,,,,,,
B250,Kutenai,Kutenai,NA,,,,,,,
B252,Bannock,Bannock,NA,,,,,,,
B253,Gros-Ventre,Gros Ventre,NA,,,,,,,
B254,Bungi (Plains Ojibwa),Ojibwa,NA,,,,,,,
B255,Peigan,NA,NA,,,,,,,
B256,Blackfoot,Blackfoot,NA,,,,,,,
B257,Assiniboine,Assiniboin,NA,,,,,,,
B258,Plains Cree,Plains Cree,NA,,,,,,,
B259,Blood,Blood,NA,,,,,,,
B260,Sarsi,Sarsi,NA,,,,,,,
B268,Squamish,Squamish,NA,,,,,,,
B269,Alsea,Alsea,NA,,,,,,,
B270,Puyallup,Puyallup,NA,,,,,,,
B271,Twana,Twana,NA,,,,,,,
B272,Chehalis,NA,NA,,,,,,,
B273,Nootka,Nootka,NA,,,,,,,
B274,Chinook,Chinook,NA,,,,,,,
B275,Coos,Coos,NA,,,,,,,
B276,Lillooet,Lillooet,NA,,,,,,,
B277,Lummi,Lummi,NA,,,,,,,
B278,Quinault,Quinault,NA,,,,,,,
B279,Stalo,Stalo,NA,,,,,,,
B280,Cowichan,Cowichan,NA,,,,,,,
B281,Tillamook,Tillamok,NA,,,,,,,
B282,Comox,Comox,NA,,,,,,,
B283,Bella-Bella,Bellabella,NA,,,,,,,
B284,Quileute,Quileute,NA,,,,,,,
B285,Clallam,Klallam,NA,,,,,,,
B286,Makah,Makah,NA,,,,,,,
B287,Haisla,Haisia,NA,,,,,,,
B288,Kwakiutl,Kwakiutl,NA,,,,,,,
B289,Tsimshim,Tsimshian,NA,,,,,,,
B290,Haida,Haida,NA,,,,,,,
B291,Bella-Coola,Bellacoola,NA,,,,,,,
B292,Tlingit,Tlingit,NA,,,,,,,
B293,Gitksan,NA,NA,,,,,,,
B294,Konaig,NA,NA,,,,,,,
B295,Eyak,Eyak,NA,,,,,,,
B296,Kuskowagmut,NA,NA,,,,,,,
B297,Chugash,Chugach,NA,,,,,,,
B298,Aleut,Aleut,NA,,,,,,,
B299,Nunivak,Nunivak,NA,,,,,,,
B315,Tenino,Tenino,NA,,,,,,,
B316,Umatilla,Umatilla,NA,,,,,,,
B317,Wenatchi,Wenatchi,NA,,,,,,,
B318,Yakima,Klikitat,NA,,,,,,,
B319,Wishram,Wishram,NA,,,,,,,
B320,Coeur d'Alene,Coeur d’Alene,NA,,,,,,,
B321,Sinkaietk,Sinkaitk,NA,,,,,,,
B322,Okanagan,NA,NA,,,,,,,
B323,Sanpoil,Sanpoil,NA,,,,,,,
B324,Nez Perce,Nez Perce,NA,,,,,,,
B325,Thompson,Thompson,NA,,,,,,,
B326,Kalispel,Kalispel,NA,,,,,,,
B327,Kitchibaun Ojibwa,NA,NA,,,,,,,
B328,Katikitegon,Katikitegon,NA,,,,,,,
B329,Micmac,Micmac,NA,,,,,,,
B330,Flathead,Flathead,NA,,,,,,,
B331,Rainy River Ojibwa,Rainy River,NA,,,,,,,
B332,North Saulteaux,Northern Saulteaux,NA,,,,,,,
B333,Shuswap,Shuswap,NA,,,,,,,
B334,Pekangekum Ojibwa,Pekangekum,NA,,,,,,,
B335,Round Lake Ojibwa,NA,NA,,,,,,,
B336,Allcatcho,Alkatcho,NA,,,,,,,
B337,Nipigon Ojibwa,Nipigon,NA,,,,,,,
B338,Mistassini Cree,Mistassini,NA,,,,,,,
B339,North Albany Ojibwa,NA,NA,,,,,,,
B340,Waswanipi Cree,NA,NA,,,,,,,
B341,Wegamon Ojibwa,NA,NA,,,,,,,
B342,Montagnais,Montagnais,NA,,,,,,,
B343,Sekani,Sekani,NA,,,,,,,
B344,Beaver,Beaver,NA,,,,,,,
B345,Slave,Slave,NA,,,,,,,
B346,Kaska,Kaska,NA,,,,,,,
B347,Tahltan,Tahltan,NA,,,,,,,
B348,Chilcotin,Chilcotin,NA,,,,,,,
B349,Carrier,Carrier,NA,,,,,,,
B350,Mountain,NA,NA,,,,,,,
B351,Han,NA,NA,,,,,,,
B352,Hare,NA,NA,,,,,,,
B353,Attawapiskat Cree,Cree Attawapiskat,NA,,,,,,,
B354,Koyukon,NA,NA,,,,,,,
B355,Chippewyan,Chipewyan,NA,,,,,,,
B356,Kutchin,Kutchin,NA,,,,,,,
B357,Ingalik,Ingalik,NA,,,,,,,
B358,Satudene-Bear Lake,Satudene,NA,,,,,,,
B359,Nabesna,Nabesna,NA,,,,,,,
B360,Rupert House Cree,NA,NA,,,,,,,
B361,Dogrib,Dogrib,NA,,,,,,,
B362,Tanaina,Tanaina,NA,,,,,,,
B363,Tutchone,NA,NA,,,,,,,
B364,Holikachuk,NA,NA,,,,,,,
B365,Naskapi,Naskapi,NA,,,,,,,
B369,Norton Sound Inuit,NA,NA,,,,,,,
B370,Kobuk Inuit,NA,NA,,,,,,,
B371,Kotzebue Sound Inuit,NA,NA,,,,,,,
