ISO 693-3 code,Language name,FAMILY-CORRECTED,Classification,Class1,Class2,Class3,,,
mlw,Moloko,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",Afro-Asiatic,Chadic,Biu-Mandara,,,
mfj,Mefele,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",Afro-Asiatic,Chadic,Biu-Mandara,,,
mfk,"Mofu, North",Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",Afro-Asiatic,Chadic,Biu-Mandara,,,
udl,Wuzlam,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",Afro-Asiatic,Chadic,Biu-Mandara,,,
syk,Sukur,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.6",Afro-Asiatic,Chadic,Biu-Mandara,,,
bhs,Buwal,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.7",Afro-Asiatic,Chadic,Biu-Mandara,,,
dkx,Mazagway,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.7",Afro-Asiatic,Chadic,Biu-Mandara,,,
dbq,Daba,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.7",Afro-Asiatic,Chadic,Biu-Mandara,,,
gou,Gavar,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.7",Afro-Asiatic,Chadic,Biu-Mandara,,,
hna,Mina,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.7",Afro-Asiatic,Chadic,Biu-Mandara,,,
xmd,Mbudum,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.7",Afro-Asiatic,Chadic,Biu-Mandara,,,
bcy,Bacama,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",Afro-Asiatic,Chadic,Biu-Mandara,,,
bta,Bata,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",Afro-Asiatic,Chadic,Biu-Mandara,,,
fli,Fali,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",Afro-Asiatic,Chadic,Biu-Mandara,,,
gde,Gude,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",Afro-Asiatic,Chadic,Biu-Mandara,,,
gdu,Gudu,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",Afro-Asiatic,Chadic,Biu-Mandara,,,
hod,Holma,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",Afro-Asiatic,Chadic,Biu-Mandara,,,
jim,Jimi,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",Afro-Asiatic,Chadic,Biu-Mandara,,,
ngw,Ngwaba,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",Afro-Asiatic,Chadic,Biu-Mandara,,,
nja,Nzanyi,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",Afro-Asiatic,Chadic,Biu-Mandara,,,
swq,Sharwa,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",Afro-Asiatic,Chadic,Biu-Mandara,,,
tsh,Tsuvan,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",Afro-Asiatic,Chadic,Biu-Mandara,,,
ziz,Zizilivakan,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",Afro-Asiatic,Chadic,Biu-Mandara,,,
jie,Jilbe,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1",Afro-Asiatic,Chadic,Biu-Mandara,,,
bdm,Buduma,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Buduma",Afro-Asiatic,Chadic,Biu-Mandara,,,
jia,Jina,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Jina",Afro-Asiatic,Chadic,Biu-Mandara,,,
xmj,Majera,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Jina",Afro-Asiatic,Chadic,Biu-Mandara,,,
aal,Afade,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North",Afro-Asiatic,Chadic,Biu-Mandara,,,
mpi,Mpade,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North",Afro-Asiatic,Chadic,Biu-Mandara,,,
mxf,Malgbe,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North",Afro-Asiatic,Chadic,Biu-Mandara,,,
msv,Maslam,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North",Afro-Asiatic,Chadic,Biu-Mandara,,,
kot,Lagwan,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, South",Afro-Asiatic,Chadic,Biu-Mandara,,,
kqx,Mser,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, South",Afro-Asiatic,Chadic,Biu-Mandara,,,
mug,Musgu,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.2",Afro-Asiatic,Chadic,Biu-Mandara,,,
mpk,Mbara,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.2",Afro-Asiatic,Chadic,Biu-Mandara,,,
mje,Muskum,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.2",Afro-Asiatic,Chadic,Biu-Mandara,,,
gid,Gidar,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, C",Afro-Asiatic,Chadic,Biu-Mandara,,,
bso,Buso,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.1",Afro-Asiatic,Chadic,East,,,
mvh,Mulgi,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.1, 1",Afro-Asiatic,Chadic,East,,,
ndm,Ndam,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.1, 1",Afro-Asiatic,Chadic,East,,,
sor,Somrai,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.1, 1",Afro-Asiatic,Chadic,East,,,
tmc,Tumak,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.1, 1",Afro-Asiatic,Chadic,East,,,
bvf,Boor,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.1, 2",Afro-Asiatic,Chadic,East,,,
gdk,Gadang,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.1, 2",Afro-Asiatic,Chadic,East,,,
mlj,Miltu,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.1, 2",Afro-Asiatic,Chadic,East,,,
swy,Sarua,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.1, 2",Afro-Asiatic,Chadic,East,,,
kqp,Kimré,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.2, 1",Afro-Asiatic,Chadic,East,,,
lln,Lele,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.2, 1",Afro-Asiatic,Chadic,East,,,
nnc,Nancere,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.2, 1",Afro-Asiatic,Chadic,East,,,
gab,Gabri,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.2, 2",Afro-Asiatic,Chadic,East,,,
kvf,Kabalai,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.2, 2",Afro-Asiatic,Chadic,East,,,
tng,Tobanga,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.2, 2",Afro-Asiatic,Chadic,East,,,
kvi,Kwang,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.3",Afro-Asiatic,Chadic,East,,,
ker,Kera,Afro-Asiatic,"Afro-Asiatic, Chadic, East, A, A.3",Afro-Asiatic,Chadic,East,,,
bid,Bidiyo,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.1, 1",Afro-Asiatic,Chadic,East,,,
daa,Dangaléat,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.1, 1",Afro-Asiatic,Chadic,East,,,
jeu,Jonkor Bourmataguil,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.1, 1",Afro-Asiatic,Chadic,East,,,
muj,Mabire,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.1, 1",Afro-Asiatic,Chadic,East,,,
mou,Mogum,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.1, 1",Afro-Asiatic,Chadic,East,,,
mcw,Mawa,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.1, 1",Afro-Asiatic,Chadic,East,,,
mmy,Migaama,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.1, 1",Afro-Asiatic,Chadic,East,,,
ubi,Ubi,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.1, 1",Afro-Asiatic,Chadic,East,,,
btf,Birgit,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.1, 2",Afro-Asiatic,Chadic,East,,,
ckq,Kajakse,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.1, 2",Afro-Asiatic,Chadic,East,,,
mub,Mubi,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.1, 2",Afro-Asiatic,Chadic,East,,,
mes,Masmaje,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.1, 2",Afro-Asiatic,Chadic,East,,,
trj,Toram,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.1, 2",Afro-Asiatic,Chadic,East,,,
zrn,Zerenkel,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.1, 2",Afro-Asiatic,Chadic,East,,,
moz,Mukulu,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.2",Afro-Asiatic,Chadic,East,,,
bva,Barein,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.3",Afro-Asiatic,Chadic,East,,,
saa,Saba,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.3",Afro-Asiatic,Chadic,East,,,
sok,Sokoro,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.3",Afro-Asiatic,Chadic,East,,,
