dataset,soc_id,xd_id,soc_name,alternate_names,main_focal_year
LRB,B117,xd964,Alyawara,,1965
LRB,B118,xd965,Ngatatjara,,1968
LRB,B119,xd966,Badjalang,,1850
LRB,B120,xd967,Pitjandjara,,1968
LRB,B121,xd779,Dieri,,1900
LRB,B122,xd968,Southern Arenda,Aranda (Southern),1870
LRB,B123,xd969,Jankundjara,,1922
LRB,B124,xd772,Northern Arenda,Aranda (Northern),1900
LRB,B125,xd970,Ualarai,,1880
LRB,B126,xd971,Nakako,,1912
LRB,B127,xd972,Ooldea,,1941
LRB,B128,xd973,Barkindji,,1890
LRB,B129,xd974,Kaurna,Karuna,1840
LRB,B130,xd784,Wongaibon,,1910
LRB,B131,xd975,Jaralde,,1850
LRB,B132,xd976,Mineng,"Mount Barker Tribe, Minang, Noongar",1850
LRB,B133,xd977,Tjapwurong,,1850
LRB,B134,xd978,Bunurong,,1850
LRB,B135,xd979,Kurnai,,1850
LRB,B136,xd980,Tasmanians (eastern),Tasmanians (southern),1830
LRB,B137,xd783,Tasmanians (western),Tasmanians(northwestern),1830
LRB,B143,xd1289,Seri,,1900
LRB,B144,xd1131,Cahuilla,,1870
LRB,B145,xd1132,Cupeno,,1870
LRB,B146,xd1134,Kiliwa,,1880
LRB,B147,xd1137,Diegueno,,1850
LRB,B148,xd1123,Lake Yokuts,,1860
LRB,B149,xd1130,Serrano,,1870
LRB,B150,xd1133,Luiseno,,1860
LRB,B151,xd1124,Wukchumi,,1860
LRB,B152,xd1118,Tubatulabal,,1850
LRB,B153,xd1107,Nomlaki,,1850
LRB,B154,xd1129,Yokuts (northern foothill),,1850
LRB,B155,xd1121,Patwin,,1850
LRB,B156,xd1128,Gabrieleno,"Gabrielino, Gabrieleno",1770
LRB,B157,xd1122,Monache,Monachi,1870
LRB,B158,xd1116,Eastern Pomo,,1860
LRB,B159,xd1116,Clear Lake Pomo,,1860
LRB,B160,xd1112,Wintu,,1860
LRB,B161,xd1127,Chumash,,1860
LRB,B162,xd1094,Chimariko,,1860
LRB,B163,xd1111,Nisenan,Nisenan Southern Maidu,1850
LRB,B164,xd1125,Salinan,Salinan,1805
LRB,B165,xd1117,Southern Pomo,Southern Pomo,1860
LRB,B166,xd1100,Sinkyone,Sinkyone,1860
LRB,B167,xd1098,Lassik,,
LRB,B168,xd983,Coast Miwok,,1850
LRB,B169,xd1099,Mattole,Mattole,
LRB,B170,xd1120,Lake Miwok,,
LRB,B171,xd1138,Yuki,Yuki (Proper),1850
LRB,B172,xd1119,Wappo,,1860
LRB,B173,xd1115,Nothern Pomo,,1860
LRB,B174,xd1109,Northern Yana,,1860
LRB,B175,xd1136,Sierra Miwok,,1850
LRB,B176,xd1091,Tekelma,Takelma,1860
LRB,B177,xd1113,Coast Yuki,,1860
