ID,STANDARD SOCIETY NAME Binford,801_FULL_NAME,807_FULLNAME,804_FULLNAME,603_FULLNAME,901_FULLNAME,,
B107,Warunggu,WARUNGGU,WARUNGGU,,,Warunggu,,
B108,Djaru,DJARU,DJARU,,,Djaru,,
B109,Walbiri,WALBIRI,WALBIRI,WALBIRI,WALBIRI,Walbiri,,
B110,Ngatjan,MARDUDJARA,MARDUDJARA,MARDUDJARA,,Ngatjan,,
B111,Mardudjara,NGATJAN,NGATJAN,,,Mardudjara,,
B112,Ildawongga,ILDAWONGGA,ILDAWONGGA,ILDAWONGGA,,Ildawongga,,
B113,Pintubi,PINTUBI,PINTUBI,PINTUBI,PINTUBI,Pintubi,,
B114,Undanbi,UNDANBI,0,,,Undambi,,
B115,Jinibarra,JINIBARRA,JINIBARRA,JINIBARRA,,Jinibarra,,
B116,Karuwali,#N/A,#N/A,KARUWALI,,Karuwali,,
B117,Alyawara,ALYAWARA,ALYAWARA,ALYAWARA,ALYAWARA,Alyawara,,
B118,Ngatatjara,NGATATJARA,NGATATJARA,NGATATJARA,,Ngatatjara,,
B119,Badjalang,BADJALANG,BADJALANG,BADJALANG,,Badjalang,,
B120,Pitjandjara,PITJANDJARA,PITJANDJARA,PITJANDJARA,PITJANDJARA,Pitjandjara,,
B121,Dieri,DIERI,DIERI,,,Dieri,,
B122,Southern Arenda,#N/A,SOUTHERN ARENDA,,ARANDA (SOUTHERN),Southern Arenda,,
B123,Jankundjara,JANKUNDJARA,JANKUNDJARA,JANKUNDJARA,,Jankundjara,,
B124,Northern Arenda,NORTHERN ARENDA,NORTHERN ARENDA,NORTHERN ARENDA,ARANDA (NORTHERN),Northern Arenda,,
B125,Ualarai,#N/A,UALARIA,,,Ualarai,,
B126,Nakako,NAKAKO,0,NAKAKO,,Nakako,,
B127,Ooldea,#N/A,OOLDEA,,,Ooldea,,
B128,Barkindji,#N/A,#N/A,,,Barkindji,,
B129,Kaurna,#N/A,KARUNA,KARUNA,KARUNA,Kaurna,,
B130,Wongaibon,#N/A,#N/A,,,Wongaibon,,
B131,Jaralde,#N/A,#N/A,,,Jaralde,,
B132,Mineng,MINENG,MINENG,,,Mineng,,
B133,Tjapwurong,TJAPWURONG,0,,,Tjapwurong,,
B134,Bunurong,BUNURONG,BUNURONG,BUNURONG,,Bunurong,,
B135,Kurnai,KURNAI,0,,,Kurnai,,
B136,Tasmanians (eastern),TASMANIANS (EASTERN),EAST TASMANIA,TASMANIANS (EASTERN),TASMANIANS,Tasmanians (southern),,
B137,Tasmanians (western),TASMANIANS (WESTERN),0,TASMANIANS (WESTERN),,Tasmanians (northwestern),,
B143,Seri,SERI,SERI,SERI,SERI,Seri,,
B144,Cahuilla,CAHUILLA,CAHUILLA,CAHUILLA,CAHUILLA,Cahuilla,,
B145,Cupeno,CUPENO,CUPENO,CUPENO,CUPENO,Cupeno,,
B146,Kiliwa,KILIWA,KILIWA,KILIWA,,Kiliwa,,
B147,Diegueno,DIEGUENO,DIGUENO,DIEGUENO,,Diegueno,,
B148,Lake Yokuts,LAKE YOKUTS,LAKE YOKUTS,LAKE YOKUTS,LAKE YOKUTS,Lake Yokuts,,
B149,Serrano,SERRANO,SERRANO,SERRANO,SERRANO,Serrano,,
B150,Luiseno,LUISENO,LUISENO,LUISENO,LUISENO,Luiseno,,
B151,Wukchumi,WUKCHUMI,WUKCHUMI,WUKCHUMI,,Wukchumi,,
B152,Tubatulabal,TUBATULABAL,TUBATULABAL,TUBATULABAL,,Tubatulabal,,
B153,Nomlaki,NOMLAKI,0,NOMLAKI,NOMLAKI,Nomlaki,,
B154,Yokuts (northern foothill),NORTH FOOTHILL YOKUTS,NORTH FOOTHILL YOKUTS,NORTH FOOTHILL YOKUTS,YOKUTS (NORTHERN HILLS),Yokuts (northern),,
B155,Patwin,PATWIN,0,PATWIN,PATWIN,Patwin,,
B156,Gabrieleno,#N/A,#N/A,GABRIELINO,,Gabrieleno,,
B157,Monache,MONACHE,MONACHE,MONACHE,,Monachi,,
B158,Eastern Pomo,#N/A,EASTERN POMO,EASTERN POMO,EASTERN POMO,Eastern Pomo,,
B159,Clear Lake Pomo,CLEAR LAKE POMO,CLEAR LAKE POMO,,,Pomo Clear Lake,,
B160,Wintu,WINTU,WINTU,WINTU,,Wintu,,
B161,Chumash,CHUMASH,0,CHUMASH,,Chumash,,
B162,Chimariko,#N/A,#N/A,CHIMARIKO,,Chimariko,,
B163,Nisenan,NISENAN,NISENAN SOUTHERN MAIDU,NISENAN SOUTHERN MAIDU,,Nisenan,,
B164,Salinan,#N/A,#N/A,,SALINAN,Salinan,,
B165,Southern Pomo,SOUTHERN POMO,0,SOUTHERN POMO,,Southern Pomo,,
B166,Sinkyone,SINKYONE,SINKYONE,SINKYONE,,Sinkyone,,
B167,Lassik,#N/A,#N/A,,,Lassik,,
B168,Coast Miwok,MIWOK (COAST),0,,,Coast Miwok,,
B169,Mattole,MATTOLE,MATTOLE,,,Mattole,,
B170,Lake Miwok,MIWOK (LAKE),,,,Lake Miwok,,
B171,Yuki Proper,YUKI (PROPER),YUKI (PROPER),,YUKI,Yuld Proper,,
B172,Wappo,WAPPO,WAPPO,WAPPO,,Wappo,,
B173,Nothern Pomo,NORTHERN POMO,NORTHERN POMO,NORTHERN POMO,NORTHERN POMO,Nothern Pomo,,
B174,Northern Yana,#N/A,#N/A,YANA,YANA,Northern Yana,,
B175,Sierra Miwok,MIWOK (MOUNTAIN),MIWOK,MIWOK,MIWOK (SIERRA),Sierra Miwok,,
B176,Tekelma,TAKELMA,0,TAKELMA,,Tekelma,,
B177,Coast Yuki,#N/A,COAST YUKI,COAST YUKI,,Coast Yuki,,
B178,Tolowa,TOLOWA,0,TOLOWA,,Tolowa,,
B179,Shasta,SHASTA,SHASTA,SHASTA,,Shasta,,
B180,Hupa,HUPA,HUPA,HUPA,HUPA,Hupa,,
B181,Tututni,TUTUTNI,0,TUTUTNI,,Coastal Tututni,,
B182,Karok,KAROK,0,KAROK,,Karok,,
B183,Atsugewi,#N/A,#N/A,,ATSUGEWI,Atsugewi,,
B184,Wiyot,WIYOT,0,WIYOT,WIYOT,Wiyot,,
