ID,Society_name_EA,EA_ID corresponding to Ember concordance database,HRAF_ID (OWC),eHRAF Name,# in SCCS (same time/place focus)?,# in SCCS (different time/place focus),SCCS Name,StdLng_ID_Claire_Bowern_Aus_database,Name_Claire_Bowern_Aus_database,Binford_ID,Name_Binford,Notes_EA_Binford_match,,,,,
Ch10,Romanians,Ch10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ni8,Opata,Ni08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ni9,Tepehuan,Ni09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ng13,Abnaki,Ng13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ef3,Aryans,Ef03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Si9,Aueto,Si09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ed16,Cantonese,Ed16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ng14,Chickasaw,Ng14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ng15,Chitimacha,Ng15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ab22,Chopi,Ab22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ne21,Coahuilteco,Ne21,NA,NA,NA,NA,NA,NA,NA,B194,Coahuilenos,NA,,,,,
Sa14,Guaymi,Sa14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Nj11,Huastec,Nj11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ai4,Ingassana,Ai04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ed13,Ishigakians,Ed13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Sa15,Jacaltec,Sa15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Sa16,Jicaque,Sa16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Aj30,Karamojong,Aj30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Eg12,Khond,Eg12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Nf15,Kickapoo,Nf15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ed14,Man,Ed14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Nj5,Mazateco,Nj05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ei17,Mikir,Ei17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Nj12,Mixtec,Nj12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ed15a,Miyakans,Ed15a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Sb3,Motilon,Sb03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Nj13,Otomi,Nj13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Aj31,Pari,Aj31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Sf8,Piro,Sf08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Sa17,Pokomam,Sa17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ei15,Rengama,Ei15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Sc14,Rucuyen,Sc14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Nh26,Santa Clara,Nh26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Nh27,Santo Domingo,Nh27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Nj14,Tequistlatec,Nj14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Se12,Tucano,Se12,SQ19,Tucano,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Sa2,Tzeltal,Sa02,NV09,Tzeltal,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Sf9,Uru,Sf09,SF24,Uru,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Eb8,Uzbek,Eb08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Aa4,Bergdama,Aa04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Aa9,Hatsa Kindiga,Aa09,NA,NA,9,NA,Hadza,NA,NA,B69,Hadza,NA,,,,,
Aa1,Kung  ,Aa01,FX10,San,2,NA,Kung,NA,NA,NA,NA,NA,,,,,
Aa3,Nama,Aa03,FX13,Hottentot,1,NA,Nama or Namaqua,NA,NA,NA,NA,NA,,,,,
Aa7,Naron,Aa07,NA,NA,NA,NA,NA,NA,NA,B73,Nharo,NA,,,,,
Aa6,Sandawe,Aa06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Aa8,Xam,Aa08,NA,NA,NA,NA,NA,NA,NA,B79,/Xam,NA,,,,,
Ai37,Koalib,Ai37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ai38,Korongo,Ai38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ai39,Mesakin,Ai39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ai40,Moro,Ai40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ai2,Nyaro,Ai02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ai10,Otoro,Ai10,NA,NA,30,NA,Otoro,NA,NA,NA,NA,NA,,,,,
Ai41,Tira,Ai41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
