soc_id,region,tdwg_code
Nb22,Subarctic America,70
Nj4,Mexico,79
Si2,Brazil,84
Nb7,Western Canada,71
Se2,Western South America,83
Sc1,Northern South America,82
Nd6,Southwestern U.S.A.,76
Sg1,Southern South America,85
Sd9,Northern South America,82
Sc2,Northern South America,82
Ng11,Southeastern U.S.A.,78
Ec6,Siberia,30
Cb20,West Tropical Africa,22
Nh4,South-Central U.S.A.,77
ec12,Siberia,30
ec13,Russian Far East,31
ec14,Russian Far East,31
ec15,Siberia,30
ec16,Siberia,30
ec17,Russian Far East,31
ec18,Russian Far East,31
ec19,Russian Far East,31
ec20,Russian Far East,31
ec21,Russian Far East,31
ch12,Eastern Europe,14
ch13,Eastern Europe,14
ch14,Eastern Europe,14
ch15,Eastern Europe,14
ch16,Eastern Europe,14
ch17,Southeastern Europe,13
ch18,Eastern Europe,14
ch19,Eastern Europe,14
ch20,Eastern Europe,14
ch21,Eastern Europe,14
ch22,Eastern Europe,14
ch23,Eastern Europe,14
ch24,Eastern Europe,14
ch25,Eastern Europe,14
ch26,Eastern Europe,14
ch27,Eastern Europe,14
ch28,Eastern Europe,14
B1,Malesia,42
B2,Malesia,42
B3,Malesia,42
B4,Indo-China,41
B5,Indo-China,41
B6,Indo-China,41
B7,Malesia,42
B8,Indo-China,41
B9,Malesia,42
B10,Indian Subcontinent,40
B11,Indian Subcontinent,40
B12,Malesia,42
B13,Malesia,42
B14,Malesia,42
B15,Indian Subcontinent,40
B16,Indo-China,41
B17,Indian Subcontinent,40
B18,Indian Subcontinent,40
B19,Indian Subcontinent,40
B20,Indian Subcontinent,40
B21,Indian Subcontinent,40
B22,Eastern Asia,38
B23,China,36
B24,Siberia,30
B25,Russian Far East,31
B26,Siberia,30
B27,Siberia,30
B28,Russian Far East,31
B35,Northern South America,82
B36,Northern South America,82
B37,Northern South America,82
B38,Northern South America,82
B39,Western South America,83
B40,Western South America,83
B41,Brazil,84
B42,Brazil,84
B43,Western South America,83
B44,Western South America,83
B45,Brazil,84
B46,Southeastern U.S.A.,78
B47,Southern South America,85
B48,Brazil,84
B49,Brazil,84
B50,Brazil,84
B51,Southern South America,85
B52,Southern South America,85
B53,Southern South America,85
B54,Southern South America,85
B55,Southern South America,85
B60,West-Central Tropical Africa,23
B61,West-Central Tropical Africa,23
B62,West-Central Tropical Africa,23
B63,West-Central Tropical Africa,23
B64,West-Central Tropical Africa,23
B65,West-Central Tropical Africa,23
B66,Western Indian Ocean,29
B67,South Tropical Africa,26
B68,Southern Africa,27
B69,East Tropical Africa,25
B70,East Tropical Africa,25
B71,South Tropical Africa,26
B72,Southern Africa,27
B73,Southern Africa,27
B74,Southern Africa,27
B75,Southern Africa,27
B76,Southern Africa,27
B77,Southern Africa,27
B78,Southern Africa,27
B79,Southern Africa,27
B82,Australia,50
B83,Australia,50
B84,Australia,50
B85,Australia,50
B86,Australia,50
B87,Australia,50
B88,Australia,50
B89,Australia,50
B90,Australia,50
B91,Australia,50
B92,Australia,50
B93,Australia,50
B94,Australia,50
B95,Australia,50
B96,Australia,50
B97,Australia,50
B98,Australia,50
B99,Australia,50
B100,Australia,50
B101,Australia,50
B102,Australia,50
B103,Australia,50
B104,Australia,50
B105,Australia,50
B106,Australia,50
B107,Australia,50
B108,Australia,50
B109,Australia,50
B110,Australia,50
B111,Australia,50
B112,Australia,50
B113,Australia,50
B114,Australia,50
B115,Australia,50
B116,Australia,50
B117,Australia,50
B118,Australia,50
B119,Australia,50
B120,Australia,50
B121,Australia,50
B122,Australia,50
B123,Australia,50
B124,Australia,50
B125,Australia,50
B126,Australia,50
B127,Australia,50
B128,Australia,50
B129,Australia,50
B130,Australia,50
B131,Australia,50
B132,Australia,50
B133,Australia,50
B134,Australia,50
B135,Australia,50
B136,Australia,50
B137,Australia,50
B143,Mexico,79
B144,Southwestern U.S.A.,76
B145,Southwestern U.S.A.,76
B146,Mexico,79
B147,Mexico,79
B148,Southwestern U.S.A.,76
B149,Southwestern U.S.A.,76
B150,Southwestern U.S.A.,76
B151,Southwestern U.S.A.,76
B152,Southwestern U.S.A.,76
B153,Southwestern U.S.A.,76
B154,Southwestern U.S.A.,76
B155,Southwestern U.S.A.,76
B156,Southwestern U.S.A.,76
B157,Southwestern U.S.A.,76
B158,Southwestern U.S.A.,76
B159,Southwestern U.S.A.,76
B160,Southwestern U.S.A.,76
B161,Southwestern U.S.A.,76
B162,Southwestern U.S.A.,76
B163,Southwestern U.S.A.,76
B164,Southwestern U.S.A.,76
B165,Southwestern U.S.A.,76
B166,Southwestern U.S.A.,76
B167,Southwestern U.S.A.,76
B168,Southwestern U.S.A.,76
B169,Southwestern U.S.A.,76
B170,Southwestern U.S.A.,76
B171,Southwestern U.S.A.,76
B172,Southwestern U.S.A.,76
B173,Southwestern U.S.A.,76
B174,Southwestern U.S.A.,76
B175,Southwestern U.S.A.,76
B176,Northwestern U.S.A.,73
B177,Southwestern U.S.A.,76
B178,Southwestern U.S.A.,76
B179,Southwestern U.S.A.,76
B180,Southwestern U.S.A.,76
B181,Northwestern U.S.A.,73
B182,Southwestern U.S.A.,76
B183,Southwestern U.S.A.,76
B184,Southwestern U.S.A.,76
B185,Southwestern U.S.A.,76
B186,Southwestern U.S.A.,76
B187,Southwestern U.S.A.,76
B188,Northwestern U.S.A.,73
B189,Northwestern U.S.A.,73
B190,Mexico,79
B191,Mexico,79
B192,Southwestern U.S.A.,76
B193,South-Central U.S.A.,77
B194,Mexico,79
B195,Southwestern U.S.A.,76
B196,Southwestern U.S.A.,76
B197,Southwestern U.S.A.,76
B198,Southwestern U.S.A.,76
B199,Southwestern U.S.A.,76
B200,Southwestern U.S.A.,76
B201,Southwestern U.S.A.,76
B202,Southwestern U.S.A.,76
B203,Southwestern U.S.A.,76
B204,Southwestern U.S.A.,76
B205,Southwestern U.S.A.,76
B206,Southwestern U.S.A.,76
B207,Northwestern U.S.A.,73
B208,Southwestern U.S.A.,76
B209,Southwestern U.S.A.,76
B210,Southwestern U.S.A.,76
B211,Southwestern U.S.A.,76
B212,Southwestern U.S.A.,76
B213,Southwestern U.S.A.,76
B214,Southwestern U.S.A.,76
B215,Southwestern U.S.A.,76
B216,Southwestern U.S.A.,76
B217,Southwestern U.S.A.,76
B218,Southwestern U.S.A.,76
B219,Southwestern U.S.A.,76
B221,Southwestern U.S.A.,76
B222,Northwestern U.S.A.,73
B223,Northwestern U.S.A.,73
B224,Southwestern U.S.A.,76
B225,Southwestern U.S.A.,76
B226,Southwestern U.S.A.,76
B227,Northwestern U.S.A.,73
B228,Southwestern U.S.A.,76
B229,Northwestern U.S.A.,73
B230,Southwestern U.S.A.,76
B231,Northwestern U.S.A.,73
B232,Northwestern U.S.A.,73
B233,Southwestern U.S.A.,76
B234,Northwestern U.S.A.,73
B240,South-Central U.S.A.,77
B241,North-Central U.S.A.,74
B242,South-Central U.S.A.,77
B243,North-Central U.S.A.,74
B244,North-Central U.S.A.,74
B245,Northwestern U.S.A.,73
B246,Northwestern U.S.A.,73
B248,Northwestern U.S.A.,73
B249,North-Central U.S.A.,74
B250,Northwestern U.S.A.,73
B252,Northwestern U.S.A.,73
B253,Northwestern U.S.A.,73
B254,North-Central U.S.A.,74
B255,Western Canada,71
B256,Western Canada,71
B257,Western Canada,71
B258,Western Canada,71
B259,Western Canada,71
B260,Western Canada,71
B268,Western Canada,71
B269,Northwestern U.S.A.,73
B270,Northwestern U.S.A.,73
B271,Northwestern U.S.A.,73
B272,Northwestern U.S.A.,73
B273,Western Canada,71
B274,Northwestern U.S.A.,73
B275,Northwestern U.S.A.,73
B276,Western Canada,71
B277,Northwestern U.S.A.,73
B278,Northwestern U.S.A.,73
B279,Western Canada,71
B280,Western Canada,71
B281,Northwestern U.S.A.,73
B282,Western Canada,71
B283,Western Canada,71
B284,Northwestern U.S.A.,73
B285,Northwestern U.S.A.,73
B286,Northwestern U.S.A.,73
B287,Western Canada,71
B288,Western Canada,71
B289,Western Canada,71
B290,Western Canada,71
B291,Western Canada,71
B292,Subarctic America,70
B293,Western Canada,71
B294,Subarctic America,70
B295,Subarctic America,70
B296,Subarctic America,70
B297,Subarctic America,70
B298,Subarctic America,70
B299,Subarctic America,70
B315,Northwestern U.S.A.,73
B316,Northwestern U.S.A.,73
B317,Northwestern U.S.A.,73
B318,Northwestern U.S.A.,73
B319,Northwestern U.S.A.,73
B320,Northwestern U.S.A.,73
B321,Northwestern U.S.A.,73
B322,Western Canada,71
B323,Northwestern U.S.A.,73
B324,Northwestern U.S.A.,73
B325,Western Canada,71
B326,Northwestern U.S.A.,73
B327,Northeastern U.S.A.,75
B328,North-Central U.S.A.,74
B329,Eastern Canada,72
B330,Northwestern U.S.A.,73
B331,Northeastern U.S.A.,75
B332,Western Canada,71
B333,Western Canada,71
B334,Eastern Canada,72
B335,Eastern Canada,72
B336,Western Canada,71
B337,Eastern Canada,72
B338,Eastern Canada,72
B339,Eastern Canada,72
B340,Eastern Canada,72
B341,Eastern Canada,72
B342,Eastern Canada,72
B343,Western Canada,71
B344,Western Canada,71
B345,Subarctic America,70
B346,Western Canada,71
B347,Western Canada,71
B348,Western Canada,71
B349,Western Canada,71
B350,Subarctic America,70
B351,Subarctic America,70
B352,Subarctic America,70
B353,Eastern Canada,72
B354,Subarctic America,70
B355,Western Canada,71
B356,Subarctic America,70
B357,Subarctic America,70
B358,Subarctic America,70
B359,Subarctic America,70
B360,Eastern Canada,72
B361,Subarctic America,70
B362,Subarctic America,70
B363,Subarctic America,70
B364,Subarctic America,70
B365,Eastern Canada,72
B369,Subarctic America,70
B370,Subarctic America,70
B371,Subarctic America,70
B372,Eastern Canada,72
B373,Eastern Canada,72
B374,Subarctic America,70
B375,Subarctic America,70
B377,Subarctic America,70
B378,Subarctic America,70
B379,Subarctic America,70
B380,Subarctic America,70
B381,Subarctic America,70
B382,Subarctic America,70
B383,Subarctic America,70
B384,Subarctic America,70
B385,Subarctic America,70
B386,Subarctic America,70
B387,Subarctic America,70
B388,Subarctic America,70
B389,Subarctic America,70
B390,Subarctic America,70
