soc_id,region,tdwg_code
Ii13,Southwestern Pacific,60
Ih8,Southwestern Pacific,60
Ie6,Papuasia,43
Ie4,Papuasia,43
Ia14,Eastern Asia,38
If6,Northwestern Pacific,62
Ie22,Papuasia,43
Ih9,Southwestern Pacific,60
Ie15,South-Central Pacific,61
Ie3,Papuasia,43
Ie27,Papuasia,43
Ie38,Papuasia,43
Ie39,Papuasia,43
Ie7,Papuasia,43
Ie31,Papuasia,43
Ie35,Papuasia,43
Ie11,Papuasia,43
Ie1,Papuasia,43
Ed15b,China,36
Ed2,China,36
Ie13,Papuasia,43
Ie24,Papuasia,43
Ie20,Papuasia,43
Ie16,Papuasia,43
Ie12,Papuasia,43
Ed6,China,36
Ie21,Papuasia,43
Ed9,China,36
Ie30,Papuasia,43
Ie14,Papuasia,43
Eg6,Indian Subcontinent,40
Eg7,Indian Subcontinent,40
Ie9,Papuasia,43
Ie8,Papuasia,43
Ig11,Papuasia,43
Ie17,Papuasia,43
Ie32,Papuasia,43
Eg8,Indian Subcontinent,40
Ej9,Indo-China,41
Ic10,Malesia,42
Ie2,Papuasia,43
Id11,Australia,50
Id3,Australia,50
Id1,Australia,50
Id4,Australia,50
Id5,Australia,50
Id2,Australia,50
Id10,Australia,50
Id6,Australia,50
Id9,Australia,50
Id12,Australia,50
Ie18,Papuasia,43
Ie19,Papuasia,43
Ce1,Southeastern Europe,13
Ch9,Eastern Europe,14
Cg3,Northern Europe,10
Cf2,South Tropical Africa,26
Cg1,Middle Europe,11
Cg2,Northern Europe,10
Cf1,Northeastern U.S.A.,75
Cf3,Subantarctic Islands,90
Ce7,Southeastern Europe,13
Ef2,Indian Subcontinent,40
Ef5,Indian Subcontinent,40
Ei10,Indian Subcontinent,40
Ee5,Indian Subcontinent,40
Ef9,Indian Subcontinent,40
Ef8,Indian Subcontinent,40
Ea4,Indian Subcontinent,40
Ea5,Western Asia,34
Ef7,Indian Subcontinent,40
Ea13,Indian Subcontinent,40
Ea1,Indian Subcontinent,40
Eh6,Indian Subcontinent,40
Ef11,Indian Subcontinent,40
Eh4,Indian Subcontinent,40
Ci10,Caucasus,33
Ea11,Western Asia,34
Ea8,Western Asia,34
Ea6,Western Asia,34
Ea3,Western Asia,34
Ea9,Western Asia,34
Ci11,Western Asia,34
Ea10,Indian Subcontinent,40
Ci6,Caucasus,33
Ea2,Indian Subcontinent,40
Cf4,Brazil,84
Se7,Western South America,83
Sc18,Northern South America,82
Cf5,Eastern Canada,72
Sb9,Caribbean,81
Ce5,Southeastern Europe,13
Ce2,Southwestern Europe,12
Ce3,Southeastern Europe,13
Sc6,Northern South America,82
Ce6,Southwestern Europe,12
Cg5,Middle Europe,11
Ch5,Southeastern Europe,13
Ch6,Eastern Europe,14
Ch3,Middle Europe,11
Ch2,Eastern Europe,14
Ch11,Eastern Europe,14
Ch1,Southeastern Europe,13
Ch7,Eastern Europe,14
Ci12,Caucasus,33
Ci4,Caucasus,33
Ci7,Caucasus,33
Ci8,Caucasus,33
Ie23,Papuasia,43
Ci9,Caucasus,33
Ie25,Papuasia,43
Ch8,Middle Europe,11
Cg4,Northern Europe,10
Ec11,Siberia,30
Ec4,Siberia,30
Ec10,Siberia,30
Ec9,China,36
Ed3,China,36
Eb6,Siberia,30
Ie26,Papuasia,43
Eb4,China,36
Ci1,Eastern Europe,14
Ie33,Papuasia,43
Ea7,Western Asia,34
Eb2,China,36
Eb1,Middle Asia,32
Ci3,Caucasus,33
Ie5,Papuasia,43
Eb5,Middle Asia,32
Ig1,Papuasia,43
Ec2,Siberia,30
Ed5,Eastern Asia,38
Ed7,Eastern Asia,38
Ec3,Russian Far East,31
Ec5,Russian Far East,31
Ed4,China,36
Na9,Subarctic America,70
Na11,Subarctic America,70
Na13,Subarctic America,70
Na21,Subarctic America,70
Na10,Subarctic America,70
Na3,Subarctic America,70
Na25,Subarctic America,70
Na12,Subarctic America,70
Na23,Eastern Canada,72
Na43,Subarctic America,70
Na16,Subarctic America,70
Na6,Subarctic America,70
Na14,Subarctic America,70
Na2,Subarctic America,70
Na22,Subarctic America,70
Na24,Subarctic America,70
