soc_id,Latitude,Longitude,OldLat,OldLong,region,tdwg_code
Ah9,10,9,10,9,West Tropical Africa,22
Ae7,3,25,3,25,West-Central Tropical Africa,23
Ae48,5,11,5,11,West-Central Tropical Africa,23
Ad1,-2,41,-2,41,East Tropical Africa,25
Ae49,6,10,6,10,West-Central Tropical Africa,23
Ad41,1,35,1,35,East Tropical Africa,25
Ae50,6,11,6,11,West-Central Tropical Africa,23
Ae51,5,11,5,11,West-Central Tropical Africa,23
Af16,6,9,6,9,West Tropical Africa,22
Ah11,8,8,8,8,West Tropical Africa,22
Ah12,8,7,8,7,West Tropical Africa,22
Ae13,-2,29,-2,29,West-Central Tropical Africa,23
Ac3,-11,31,-11,31,South Tropical Africa,26
Ad11,-9,36,-9,36,East Tropical Africa,25
Ad18,-7,31,-7,31,East Tropical Africa,25
Ae30,1,29,1,29,West-Central Tropical Africa,23
Ah17,10,9,10,9,West Tropical Africa,22
Af17,6,9,6,9,West Tropical Africa,22
Ae36,1,23,1,23,West-Central Tropical Africa,23
Ah18,10,10,10,10,West Tropical Africa,22
Ae44,4,9,4,9,West-Central Tropical Africa,23
Ae37,3,23,3,23,West-Central Tropical Africa,23
Ae31,2,28,2,28,West-Central Tropical Africa,23
Ae19,-11,28,-11,28,West-Central Tropical Africa,23
Ae2,4,9,4,9,West-Central Tropical Africa,23
Ad3,-3,37,-3,37,East Tropical Africa,25
Ah10,10,9,10,9,West Tropical Africa,22
Ac10,-14,33,-14,33,South Tropical Africa,26
Ad13,-3,30,-3,30,West-Central Tropical Africa,23
Ac12,-10,21,-10,21,South Tropical Africa,26
Ah13,12,5,12,5,West Tropical Africa,22
Ad30,-4,39,-4,39,East Tropical Africa,25
Ae12,4,10,4,10,West-Central Tropical Africa,23
Ad31,-4,39,-4,39,East Tropical Africa,25
Ae40,3,14,3,14,West-Central Tropical Africa,23
Ac22,-4,20,-4,20,West-Central Tropical Africa,23
Af19,5,8,5,8,West Tropical Africa,22
Ae35,0,28,0,28,West-Central Tropical Africa,23
Af18,6,8,6,8,West Tropical Africa,22
Ae20,-2,18,-2,18,West-Central Tropical Africa,23
Ae3,1,11,1,11,West-Central Tropical Africa,23
Ad19,-8,31,-8,31,East Tropical Africa,25
Ae52,7,10,7,10,West Tropical Africa,22
Ae38,2,21,2,21,West-Central Tropical Africa,23
Ad7,1,32,1,32,East Tropical Africa,25
Ad32,-3,40,-3,40,East Tropical Africa,25
Ad9,1,34,1,34,East Tropical Africa,25
Ad24,-7,36,-7,36,East Tropical Africa,25
Id13,-13.99,136.8,-14,137,Australia,50
Ah6,10,8,10,8,West Tropical Africa,22
Ad12,-1,35,-1,35,East Tropical Africa,25
Ae14,-5,30,-5,30,East Tropical Africa,25
Ad29,-6.6,39.15,-6,40,East Tropical Africa,25
Ad42,-1.15,31.73,-1,32,East Tropical Africa,25
Ad8,-8,35,-8,35,East Tropical Africa,25
Ab1,-21,16,-21,16,Southern Africa,27
Ae15,-2,28,-2,28,West-Central Tropical Africa,23
Af20,5,8,5,8,West Tropical Africa,22
Ac1,-16,27,-16,27,South Tropical Africa,26
Ad15,-10,32,-10,32,South Tropical Africa,26
Ah23,8,11,8,11,West Tropical Africa,22
Ah2,8,10,8,10,West Tropical Africa,22
Ah19,10,8,10,8,West Tropical Africa,22
Ah20,10,8,10,8,West Tropical Africa,22
Ad50,-6,37,-6,37,East Tropical Africa,25
Ad34,-2,38,-2,38,East Tropical Africa,25
Ah14,11,6,11,6,West Tropical Africa,22
Ac32,-13,26,-13,26,South Tropical Africa,26
Ad38,-2,33,-2,33,East Tropical Africa,25
Ah1,10,8,10,8,West Tropical Africa,22
Ae21,-3,23,-3,23,West-Central Tropical Africa,23
Ah24,7,10,7,10,West Tropical Africa,22
Ad43,-3,33,-3,33,East Tropical Africa,25
Ad4,-1,37,-1,37,East Tropical Africa,25
Ab21a,-10,14,-10,14,South Tropical Africa,26
Ae53,4,11,4,11,West-Central Tropical Africa,23
Ae54,6,10,6,10,West-Central Tropical Africa,23
Ac14,-7,15,-7,15,South Tropical Africa,26
Ad44,-1,30,-1,30,East Tropical Africa,25
Ae41,1,14,1,14,West-Central Tropical Africa,23
Ae5,5,10,5,10,West-Central Tropical Africa,23
Ac4,-5,22,-5,22,West-Central Tropical Africa,23
Ae32,-1,27,-1,27,West-Central Tropical Africa,23
Ac37,-15,32,-15,32,South Tropical Africa,26
Ae45,10,9,10,9,West Tropical Africa,22
Ah21,10,9,10,9,West Tropical Africa,22
Ae22,-4,22,-4,22,West-Central Tropical Africa,23
Ad27,-7,39,-7,39,East Tropical Africa,25
Ac13,-11.95,34,-12,34,South Tropical Africa,26
Ac33,-15,31,-15,31,South Tropical Africa,26
Ae23,-1,23,-1,23,West-Central Tropical Africa,23
Ac5,-13,28,-13,28,South Tropical Africa,26
Ac23,-5,21,-5,21,West-Central Tropical Africa,23
Ab16,-24.8,34.2,-25,34,South Tropical Africa,26
Ae27,1,25,1,25,West-Central Tropical Africa,23
Ab14,-24,31,-24,31,Southern Africa,27
Ab3,-15,23,-15,23,South Tropical Africa,26
Ac34,-10,29,-10,29,South Tropical Africa,26
Ae6,-8,26,-8,26,West-Central Tropical Africa,23
Ac27,-13,23,-13,23,South Tropical Africa,26
Ad14,-8,38,-8,38,East Tropical Africa,25
Ac28,-12,18,-12,18,South Tropical Africa,26
Ae16,-6,23,-6,23,West-Central Tropical Africa,23
Ac11,-12,22,-12,22,South Tropical Africa,26
Ae59,6,10,6,10,West-Central Tropical Africa,23
Ac41,-11,40,-11,40,South Tropical Africa,26
Ac42,-15,39,-15,39,South Tropical Africa,26
Ah4,7,12,7,12,West-Central Tropical Africa,23
Ac15,-5,18,-5,18,West-Central Tropical Africa,23
Ad5,-4,36,-4,36,East Tropical Africa,25
Ab5,-12,16,-12,16,South Tropical Africa,26
Aa5,2,28,2,28,West-Central Tropical Africa,23
Ad35,0,35,0,35,East Tropical Africa,25
Ae24,1,22,1,22,West-Central Tropical Africa,23
Ae46,-2,10,-2,10,West-Central Tropical Africa,23
Ae33,1,27,1,27,West-Central Tropical Africa,23
Ab17,-20,34,-20,34,South Tropical Africa,26
Ab9,-20,28,-20,28,South Tropical Africa,26
Ac6,-11,26,-11,26,West-Central Tropical Africa,23
Ae55,6,10,6,10,West-Central Tropical Africa,23
Ae9,6,10,6,10,West-Central Tropical Africa,23
Ah26,7,11,7,11,West Tropical Africa,22
Ae28,1,18,1,18,West-Central Tropical Africa,23
Ae39,2,20,2,20,West-Central Tropical Africa,23
Ad16,-10,34,-10,34,South Tropical Africa,26
Ac9,-12,33,-12,33,South Tropical Africa,26
Ad51,-6,38,-6,38,East Tropical Africa,25
Ae42,3,11,3,11,West-Central Tropical Africa,23
Ab20,-15,15,-15,15,South Tropical Africa,26
Ae4,0,20,0,20,West-Central Tropical Africa,23
Ae56,6,11,6,11,West-Central Tropical Africa,23
Ae57,6,11,6,11,West-Central Tropical Africa,23
Ad6,-9,34,-9,34,East Tropical Africa,25
Ad20,-5,33,-5,33,East Tropical Africa,25
Ab7,-15,14,-15,14,South Tropical Africa,26
Ac38,-16,36,-16,36,South Tropical Africa,26
Ad45,0,31,0,31,East Tropical Africa,25
Ac39,-13,35,-13,35,South Tropical Africa,26
Ad2,2,32,2,32,East Tropical Africa,25
Ad36,-4,38,-4,38,East Tropical Africa,25
Ab15,-25,30,-25,30,Southern Africa,27
Ac2,-6,20,-6,20,West-Central Tropical Africa,23
Ad21,-7,31,-7,31,East Tropical Africa,25
Ae34,1,30,1,30,West-Central Tropical Africa,23
Ac30,-18,28,-18,28,South Tropical Africa,26
Ad33,-1,40,-1,40,East Tropical Africa,25
Af4,6,8,6,8,West Tropical Africa,22
Ae29,2,22,2,22,West-Central Tropical Africa,23
Ae47,2,10,2,10,West-Central Tropical Africa,23
Ad25,-5,36,-5,36,East Tropical Africa,25
Ae17,-3,28,-3,28,West-Central Tropical Africa,23
Ah15,11,5,11,5,West Tropical Africa,22
Ae10,-2,30,-2,30,West-Central Tropical Africa,23
Ae8,-3,30,-3,30,West-Central Tropical Africa,23
Ad17,-8,33,-8,33,East Tropical Africa,25
Ac24,-3,18,-3,18,West-Central Tropical Africa,23
Ae43,2,16,2,16,West-Central Tropical Africa,23
Ad23,-8,34,-8,34,East Tropical Africa,25
Ac40,-18,35,-18,35,South Tropical Africa,26
Ad10,-5,38,-5,38,East Tropical Africa,25
Ac35,-10,28,-10,28,West-Central Tropical Africa,23
Ac16,-1,12,-1,12,West-Central Tropical Africa,23
Ab18,-19,31,-19,31,South Tropical Africa,26
Ad46,1,33,1,33,East Tropical Africa,25
Ae18,-6,25,-6,25,West-Central Tropical Africa,23
Ac25,-5,18,-5,18,West-Central Tropical Africa,23
Ae11,-4,26,-4,26,West-Central Tropical Africa,23
Ad39,-3,36,-3,36,East Tropical Africa,25
Ab8,-29,28,-29,28,Southern Africa,27
Ac17,-6,18,-6,18,West-Central Tropical Africa,23
Ad22,-3,34,-3,34,East Tropical Africa,25
Ad47,-4,32,-4,32,East Tropical Africa,25
Ac18,-5,14,-5,14,West-Central Tropical Africa,23
Ab2,-27,32,-27,32,Southern Africa,27
Ad37,-4,39,-4,39,East Tropical Africa,25
Ac19,-3,15,-3,15,West-Central Tropical Africa,23
Ae25,-4,25,-4,25,West-Central Tropical Africa,23
Ab4,-24,32,-24,32,South Tropical Africa,26
Ah25,17,11,17,11,West Tropical Africa,22
Ae58,6,12,6,12,West-Central Tropical Africa,23
Ad40,0,35,0,35,East Tropical Africa,25
Ah3,7,9,7,9,West Tropical Africa,22
Ae26,0,24,0,24,West-Central Tropical Africa,23
Ad48,1,31,1,31,East Tropical Africa,25
Ab13,-24,27,-24,27,Southern Africa,27
Ac36,-11.975,33.95,-12,34,South Tropical Africa,26
Ad26,-5,34,-5,34,East Tropical Africa,25
Ab6,-23,30,-23,30,Southern Africa,27
Af40,5.4,-4,5,-4,West Tropical Africa,22
Ah8,6,12,6,12,West-Central Tropical Africa,23
Ab11,-32.85,27.9,-33,28,Southern Africa,27
Ac20,-7,17,-7,17,West-Central Tropical Africa,23
Af44,5.4,-4,5,-4,West Tropical Africa,22
Ac26,-4,18,-4,18,West-Central Tropical Africa,23
Ac7,-13,36,-13,36,South Tropical Africa,26
Af50,8,8,8,8,West Tropical Africa,22
Ah22,9,10,9,10,West Tropical Africa,22
Ac8,-5,13,-5,13,West-Central Tropical Africa,23
Ad28,-6,39,-6,39,East Tropical Africa,25
Ad49,-3,31,-3,31,East Tropical Africa,25
Ah27,7,11,7,11,West Tropical Africa,22
Ab12,-29,31,-29,31,Southern Africa,27
Ai27,4,27,4,27,West-Central Tropical Africa,23
Ai3,5,27,5,27,West-Central Tropical Africa,23
Ai1,7,22,7,22,West-Central Tropical Africa,23
Ai7,6,16,6,16,West-Central Tropical Africa,23
Ai23,3,19,3,19,West-Central Tropical Africa,23
Ah28,8,11,8,11,West Tropical Africa,22
Af56,7,-8,7,-8,West Tropical Africa,22
Ai12,10,14,10,14,West-Central Tropical Africa,23
Ai13,8,16,8,16,Northeast Tropical Africa,24
Ah30,10,12,10,12,West Tropical Africa,22
Ai24,6,18,6,18,West-Central Tropical Africa,23
Ag25,15,10,15,10,West Tropical Africa,22
Ai25,4,21,4,21,West-Central Tropical Africa,23
Ai14,7,14,7,14,West-Central Tropical Africa,23
Ah31,9,12,9,12,West Tropical Africa,22
Ai15,10,14,10,14,West-Central Tropical Africa,23
Ai16,9,13,9,13,West-Central Tropical Africa,23
Ai26,4,22,4,22,West-Central Tropical Africa,23
Ah32,9,13,9,13,West-Central Tropical Africa,23
Ah33,10,12,10,12,West Tropical Africa,22
Ag37,11,-2,11,-2,West Tropical Africa,22
Ag48,9,1,9,1,West Tropical Africa,22
Ag5,10,-3,10,-3,West Tropical Africa,22
Ag30,13,-4,13,-4,West Tropical Africa,22
Ag38,11,-2,11,-2,West Tropical Africa,22
Ag39,11,-3,11,-3,West Tropical Africa,22
Ag44,9,0,9,0,West Tropical Africa,22
Ag33,11,-3,11,-3,West Tropical Africa,22
Ag3,15,-3,15,-3,West Tropical Africa,22
Ag34,11,-4,11,-4,West Tropical Africa,22
Ag45,12,2,12,2,West Tropical Africa,22
Ag40,10,-2,10,-2,West Tropical Africa,22
Ag49,10,2,10,2,West Tropical Africa,22
Ag13,11,-1,11,-1,West Tropical Africa,22
Ag10,10,0,10,0,West Tropical Africa,22
Ag35,7,-3,7,-3,West Tropical Africa,22
Ag41,11,0,11,0,West Tropical Africa,22
Ag11,10,-4,10,-4,West Tropical Africa,22
Ag28,14,-4,14,-4,West Tropical Africa,22
Ag46,10,-1,10,-1,West Tropical Africa,22
Ag31,12,-6,12,-6,West Tropical Africa,22
Ag50,11,1,11,1,West Tropical Africa,22
Ag47,12,-2,12,-2,West Tropical Africa,22
Ag12,10,-1,10,-1,West Tropical Africa,22
Ag42,12,-3,12,-3,West Tropical Africa,22
Ag32,10,-6,10,-6,West Tropical Africa,22
Ag51,11,1,11,1,West Tropical Africa,22
Ag36,11,-3,11,-3,West Tropical Africa,22
Ag52,11,1,11,1,West Tropical Africa,22
Ag43,8,-2,8,-2,West Tropical Africa,22
Ag2,13,-2,13,-2,West Tropical Africa,22
Af21,4.55,6.65,2,6,West Tropical Africa,22
Af38,5.25,-3,5,-3,West Tropical Africa,22
Af35,6,0,6,0,West Tropical Africa,22
Af23,6,8,6,8,West Tropical Africa,22
Af27,8,8,8,8,West Tropical Africa,22
Af12,7,-1,7,-1,West Tropical Africa,22
Ag4,11,-1,11,-1,West Tropical Africa,22
Af39,7,-4,7,-4,West Tropical Africa,22
Af3,7,-2,7,-2,West Tropical Africa,22
Ag6,11,-13,11,-13,West Tropical Africa,22
Af41,6,-4,6,-4,West Tropical Africa,22
Af45,5.25,-5,5,-5,West Tropical Africa,22
Af46,5,-7,5,-7,West Tropical Africa,22
Af9,8,-5,8,-5,West Tropical Africa,22
Af7,6,-7,6,-7,West Tropical Africa,22
Af37,6.05,0.85,3,1,West Tropical Africa,22
Af24,6,6,6,6,West Tropical Africa,22
Af32,7,3,7,3,West Tropical Africa,22
Af33,8,5,8,5,West Tropical Africa,22
Af36,7,1,7,1,West Tropical Africa,22
Af42,6,-1,6,-1,West Tropical Africa,22
Af1,7,2,7,2,West Tropical Africa,22
Af43,6,0,6,0,West Tropical Africa,22
Af28,10,10,10,10,West Tropical Africa,22
Af10,6,7,6,7,West Tropical Africa,22
Af29,7,8,7,8,West Tropical Africa,22
Af34,7,5,7,5,West Tropical Africa,22
Af30,7,7,7,7,West Tropical Africa,22
Af13,8,7,8,7,West Tropical Africa,22
Af25,5,6,5,6,West Tropical Africa,22
Af22,6,5,6,5,West Tropical Africa,22
Af31,18,8,18,8,West Tropical Africa,22
Af47,6,-8,6,-8,West Tropical Africa,22
Af48,5,-9,5,-9,West Tropical Africa,22
Af26,7,6,7,6,West Tropical Africa,22
Af8,9,6,9,6,West Tropical Africa,22
Af6,8,4,8,4,West Tropical Africa,22
Af49,6,-9,6,-9,West Tropical Africa,22
Ag1,13,-7,13,-7,West Tropical Africa,22
Ag53,12,0,12,0,West Tropical Africa,22
Ag7,14,-5,14,-5,West Tropical Africa,22
Ah29,8,11,8,11,West Tropical Africa,22
Ag27,9,-4,9,-4,West Tropical Africa,22
Af51,7,-6,7,-6,West Tropical Africa,22
Af54,8,-10,8,-10,West Tropical Africa,22
Af52,7,-6,7,-6,West Tropical Africa,22
Ag23,13,-11,13,-11,West Tropical Africa,22
Ag24,9,-11,9,-11,West Tropical Africa,22
Af15,7,-9,7,-9,West Tropical Africa,22
Ag9,11,-9,11,-9,West Tropical Africa,22
Af5,8,-11,8,-11,West Tropical Africa,22
Ai45,10,34,10,34,Northeast Tropical Africa,24
Ai9,10,16,10,16,Northeast Tropical Africa,24
Ag29,13,-3,13,-3,West Tropical Africa,22
Aj23,1,36,1,36,East Tropical Africa,25
Ag26,15,-13,15,-13,West Tropical Africa,22
Af11,11,-9,11,-9,West Tropical Africa,22
Af53,8,-7,8,-7,West Tropical Africa,22
Af58,7.05,-11.6,7,-12,West Tropical Africa,22
Ag54,10,-12,10,-12,West Tropical Africa,22
Ai21,11,17,11,17,Northeast Tropical Africa,24
Ai35,7,29,7,29,Northeast Tropical Africa,24
Ai29,2,30,2,30,West-Central Tropical Africa,23
Ai30,2,29,2,29,West-Central Tropical Africa,23
Ai31,3,30,3,30,West-Central Tropical Africa,23
Ai32,3,32,3,32,East Tropical Africa,25
Ai33,4,32,4,32,Northeast Tropical Africa,24
Ai5,3,29,3,29,West-Central Tropical Africa,23
Ai11,3,28,3,28,West-Central Tropical Africa,23
Ai34,5,30,5,30,Northeast Tropical Africa,24
Ai28,2,26,2,26,West-Central Tropical Africa,23
Aj25,0,36,0,36,East Tropical Africa,25
Ai22,9,18,9,18,Northeast Tropical Africa,24
Aj10,3,32,3,32,East Tropical Africa,25
Aj17,2,31,2,31,West-Central Tropical Africa,23
Ai44,8,34,8,34,Northeast Tropical Africa,24
Ca32,16,38,16,38,Northeast Tropical Africa,24
Aj8,5,32,5,32,Northeast Tropical Africa,24
Aj18,5,35,5,35,Northeast Tropical Africa,24
Aj19,4,34,4,34,East Tropical Africa,25
Aj11,9,29,9,29,Northeast Tropical Africa,24
Aa2,0,36,0,36,East Tropical Africa,25
Aj13,4,31,4,31,Northeast Tropical Africa,24
Aj26,1,36,1,36,East Tropical Africa,25
Aj21,3,34,3,34,East Tropical Africa,25
Ai36,8,28,8,28,Northeast Tropical Africa,24
Aj14,4,31,4,31,Northeast Tropical Africa,24
Cb21,8,13,8,13,West-Central Tropical Africa,23
Aj9,-1,36,-1,36,East Tropical Africa,25
Aj15,4,32,4,32,Northeast Tropical Africa,24
Aj22,3,34,3,34,East Tropical Africa,25
Aj4,2,33,2,33,East Tropical Africa,25
Aj12,4,33,4,33,Northeast Tropical Africa,24
Aj6,-1,34,-1,34,East Tropical Africa,25
Aj2,-2,36,-2,36,East Tropical Africa,25
Cb22,14,0,14,0,West Tropical Africa,22
Aj16,6,31,6,31,Northeast Tropical Africa,24
Aj7,0,35,0,35,East Tropical Africa,25
Aj3,8,32,8,32,Northeast Tropical Africa,24
Cb8,13,5,13,5,West Tropical Africa,22
Aj29,1,37,1,37,East Tropical Africa,25
Aj27,1,35,1,35,East Tropical Africa,25
Ai6,10,32,10,32,Northeast Tropical Africa,24
Aj20,6,35,6,35,Northeast Tropical Africa,24
Aj28,-5,35,-5,35,East Tropical Africa,25
Aj1,2,34,2,34,East Tropical Africa,25
Aj24,5,34,5,34,Northeast Tropical Africa,24
Aj5,4,35,4,35,East Tropical Africa,25
Ca33,15,37,15,37,Northeast Tropical Africa,24
Cd1,23,33,23,33,Northern Africa,20
Ai8,12,30,12,30,Northeast Tropical Africa,24
Cb11,16,27,16,27,Northeast Tropical Africa,24
Ai43,12,29,12,29,Northeast Tropical Africa,24
Cc14,17,18,17,18,Northeast Tropical Africa,24
Cb18,14,14,14,14,Northeast Tropical Africa,24
Cb19,12,13,12,13,West Tropical Africa,22
Cc2,21,17,21,17,Northeast Tropical Africa,24
Ai46,9,35,9,35,Northeast Tropical Africa,24
Ai47,9,35,9,35,Northeast Tropical Africa,24
Cc5,18,-3,18,-3,West Tropical Africa,22
Cc10,18,8,18,8,West Tropical Africa,22
Cc8,8,2,8,2,West Tropical Africa,22
Cc11,25,10,25,10,Northern Africa,20
Cd7,33,-7,33,-7,Northern Africa,20
Cc15,31,-7,31,-7,Northern Africa,20
Cd11,28,-16,28,-16,Macaronesia,21
Cc12,20,2,20,2,West Tropical Africa,22
Cd4,36,4,36,4,Northern Africa,20
Cc4,33,4,33,4,Northern Africa,20
Cd3,35,-4,35,-4,Northern Africa,20
Cd8,36,7,36,7,Northern Africa,20
Cd5,30,-9,30,-9,Northern Africa,20
Cc3,29,26,29,26,Northern Africa,20
Cd9,28,-11,28,-11,Northern Africa,20
Cc9,23,6,23,6,Northern Africa,20
Cc13,16,0,16,0,West Tropical Africa,22
Cd10,34,-2,34,-2,Northern Africa,20
Ca34,24,34,24,34,Northern Africa,20
Ca6,12,42,12,42,Northeast Tropical Africa,24
Ca35,20,36,20,36,Northeast Tropical Africa,24
Ca27,9,35,9,35,Northeast Tropical Africa,24
Ca18,5,37,5,37,Northeast Tropical Africa,24
Ca11,8,40,8,40,Northeast Tropical Africa,24
Ca40,6,38,6,38,Northeast Tropical Africa,24
Ca23,6,37,6,37,Northeast Tropical Africa,24
Ca19,6,36,6,36,Northeast Tropical Africa,24
Ca28,6,37,6,37,Northeast Tropical Africa,24
Ca36,18,38,18,38,Northeast Tropical Africa,24
Ca5,20,35,20,35,Northeast Tropical Africa,24
Ca37,16,36,16,36,Northeast Tropical Africa,24
Ca14,5,38,5,38,Northeast Tropical Africa,24
Ca15,6,38,6,38,Northeast Tropical Africa,24
Ca24,6,36,6,36,Northeast Tropical Africa,24
Ca41,6,38,6,38,Northeast Tropical Africa,24
Ca10,10,43,10,43,Northeast Tropical Africa,24
Ca20,5,36,5,36,Northeast Tropical Africa,24
Ca12,8,37,8,37,Northeast Tropical Africa,24
Ca9,-4,36,-4,36,East Tropical Africa,25
Ca21,5,36,5,36,Northeast Tropical Africa,24
Ca4,-4,35,-4,35,East Tropical Africa,25
Ca29,8,38,8,38,Northeast Tropical Africa,24
Ca39,8,37,8,37,Northeast Tropical Africa,24
Ca30,7,36,7,36,Northeast Tropical Africa,24
Ca1,6,37,6,37,Northeast Tropical Africa,24
Ca13,9,37,9,37,Northeast Tropical Africa,24
Ca22,6,37,6,37,Northeast Tropical Africa,24
Ca42,7,36,7,36,Northeast Tropical Africa,24
Ca25,6,37,6,37,Northeast Tropical Africa,24
Ca16,7,38,7,38,Northeast Tropical Africa,24
Ca2,8,48,8,48,Northeast Tropical Africa,24
Ca17,5,37,5,37,Northeast Tropical Africa,24
Ca26,6,37,6,37,Northeast Tropical Africa,24
Ah16,9,9,9,9,West Tropical Africa,22
Cb27,10,12,10,12,West Tropical Africa,22
Ah34,10,13,10,13,West Tropical Africa,22
Cb7,11,11,11,11,West Tropical Africa,22
Cb5,13,15,13,15,Northeast Tropical Africa,24
Ah35,10,12,10,12,West Tropical Africa,22
Cb28,10,12,10,12,West Tropical Africa,22
Ai17,10,14,10,14,West-Central Tropical Africa,23
Ah36,10,13,10,13,West Tropical Africa,22
Cb9,12,9,12,9,West Tropical Africa,22
Ah37,10,13,10,13,West Tropical Africa,22
Ah38,11,14,11,14,West-Central Tropical Africa,23
Cb10,12,11,12,11,West Tropical Africa,22
Ai18,12,15,12,15,West-Central Tropical Africa,23
Cb1,12,10,12,10,West Tropical Africa,22
